Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Everybody Everybody,Black Box,4:11,4,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,87,1990
Close To You,Maxi Priest,3:45,4,0.59,0.727,6,-7.955,1,0.0706,0.0259,0.0000648,0.0827,0.356,121.966,85,1990
Do Me!,Bell Biv DeVoe,3:56,4,0.615,0.534,9,-6.719,0,0.0386,0.106,0.0000176,0.0607,0.193,135.917,84,1990
Everything,Jody Watley,4:05,4,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,82,1990
What It Takes,Aerosmith,3:21,4,0.672,0.655,10,-5.021,0,0.031,0.0362,0,0.117,0.555,134.948,82,1990
Alright,Janet Jackson,3:39,4,0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,80,1990
Love Song,Tesla,2:28,4,0.64,0.355,5,-10.599,1,0.0906,0.83,0.000938,0.11,0.451,120.063,79,1990
Poison,Bell Biv DeVoe,3:32,3,0.689,0.394,2,-10.102,0,0.065,0.711,0.000905,0.0859,0.382,117.489,79,1990
Enjoy The Silence,Depeche Mode,4:17,4,0.626,0.667,0,-11.817,0,0.0283,0.209,0.000257,0.0779,0.83,112.776,78,1990
Free Fallin’,Tom Petty,4:16,4,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.573,84.383,78,1990
Another Day In Paradise,Phil Collins,5:22,4,0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,77,1990
Forever,Kiss,3:52,4,0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,77,1990
It Must Have Been Love,Roxette,4:18,4,0.52,0.652,5,-6.655,1,0.0274,0.339,0.0000614,0.256,0.722,80.61,77,1990
Unchained Melody,the Righteous Brothers,3:38,3,0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,77,1990
Dangerous,Roxette,2:27,4,0.635,0.772,7,-4.825,1,0.0279,0.216,0,0.285,0.948,119.017,76,1990
We Didn’t Start The Fire,Billy Joel,4:47,4,0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,76,1990
Just A Friend,Biz Markie,4:01,4,0.822,0.739,1,-4.541,0,0.0311,0.0264,0.0000428,0.181,0.745,118.99,75,1990
Swing The Mood,Jive Bunny and the Mastermixers,3:33,4,0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,75,1990
The Power,Snap!,3:54,4,0.768,0.828,5,-5.109,1,0.0313,0.0964,0.0000285,0.097,0.961,118.777,75,1990
Come Back To Me,Janet Jackson,6:28,4,0.623,0.462,4,-7.82,0,0.0326,0.397,0.0115,0.0492,0.344,73.007,74,1990
Nothing Compares 2 U,Sinéad O’Connor,4:40,4,0.512,0.574,5,-7.016,1,0.0273,0.0425,0.0000231,0.105,0.161,119.917,74,1990
Without You,Mötley Crüe,2:41,4,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,74,1990
Can’t Stop,After 7,3:57,4,0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,73,1990
Black Velvet,Alannah Myles,4:47,4,0.75,0.366,8,-10.07,1,0.0321,0.271,0.0000957,0.106,0.477,91.138,72,1990
U Can’t Touch This,MC Hammer,4:17,4,0.867,0.517,11,-13.22,0,0.088,0.00449,0.000343,0.0864,0.862,133.149,72,1990
Hold On,Wilson Phillips,3:47,4,0.777,0.414,6,-7.44,0,0.0946,0.00421,0.0000273,0.0724,0.287,100.002,71,1990
Hold On,En Vogue,3:47,4,0.777,0.414,6,-7.44,0,0.0946,0.00421,0.0000273,0.0724,0.287,100.002,71,1990
Step,STEP,3:48,4,0.648,0.397,11,-10.437,0,0.0586,0.622,0.00000618,0.476,0.362,99.644,71,1990
Ice Ice Baby,Vanilla Ice,4:14,4,0.979,0.792,2,-2.784,1,0.0388,0.0025,0.00000771,0.102,0.583,116.012,70,1990
How Am I Supposed To Live Without You,Michael Bolton,4:15,4,0.541,0.44,10,-12.206,1,0.031,0.191,0,0.114,0.232,140.273,69,1990
Pump Up The Jam,Technotronic featuring Felly,5:20,4,0.885,0.844,10,-9.225,0,0.0733,0.0147,0.00000449,0.0494,0.715,124.602,69,1990
Pray,M.C. Hammer,3:19,4,0.2,0.977,3,-3.494,0,0.159,0.00165,0.000011,0.259,0.39,195.711,68,1990
Ready Or Not,After 7,3:20,4,0.715,0.872,2,-3.835,1,0.0509,0.00351,0.0000384,0.107,0.748,93.043,68,1990
I Remember You,Skid Row,4:03,4,0.584,0.536,10,-8.158,1,0.0279,0.112,0,0.456,0.441,127.001,67,1990
Jerk Out,The Time,3:15,4,0.58,0.981,8,-2.603,0,0.06,0.0171,0.0000107,0.386,0.861,134.007,67,1990
Vogue,Madonna,5:16,4,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.997,67,1990
All I Wanna Do Is Make Love To You,Heart,5:10,4,0.626,0.746,7,-8.832,1,0.0282,0.16,0,0.0618,0.8,102.896,66,1990
Do You Remember,Phil Collins,2:24,4,0.598,0.289,2,-11.405,1,0.0334,0.762,0.0000817,0.262,0.714,92.035,65,1990
Epic,Faith No More,4:53,4,0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238,65,1990
Black Cat,Janet Jackson,1:39,4,0.495,0.616,10,-8.15,0,0.0429,0.323,0.000129,0.224,0.396,77.516,64,1990
I Wish It Would Rain Down,Phil Collins,5:27,4,0.51,0.667,8,-4.715,1,0.0294,0.292,0.00683,0.313,0.356,125.887,64,1990
All Around The World,Lisa Stansfield,2:27,4,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,63,1990
King Of Wishful Thinking,Go West,4:01,4,0.669,0.869,0,-7.378,1,0.0525,0.0331,0,0.0991,0.919,107.887,63,1990
No More Lies,Michel’le,5:27,4,0.601,0.836,10,-4.574,0,0.0429,0.0928,0.0000633,0.141,0.492,97.999,63,1990
Blaze Of Glory,Jon Bon Jovi,5:35,4,0.55,0.618,7,-9.822,1,0.0307,0.0564,0.0000262,0.0937,0.429,78.61,62,1990
The Humpty Dance,Digital Underground,6:31,4,0.813,0.693,10,-8,0,0.266,0.0343,0,0.121,0.618,103.508,62,1990
Don’t Wanna Fall In Love,Jane Child,0:55,3,0.352,0.344,9,-7.467,0,0.0355,0.773,0,0.377,0.341,107.722,61,1990
Just Like Jesse James,Cher,4:05,4,0.4,0.563,8,-10.233,1,0.0307,0.17,0,0.133,0.442,138.006,59,1990
Romeo,Dino,3:28,4,0.513,0.37,9,-13.933,0,0.0887,0.664,0.086,0.328,0.351,119.761,59,1990
Something Happened On The Way To Heaven,Phil Collins,4:51,4,0.656,0.88,5,-4.137,0,0.0287,0.184,0.00609,0.272,0.88,114.613,59,1990
Unskinny Bop,Poison,3:48,4,0.574,0.93,1,-2.949,1,0.0413,0.0657,0.00000778,0.108,0.69,92.303,59,1990
I Don’t Have The Heart,James Ingram,4:13,4,0.487,0.423,2,-8.181,1,0.0243,0.658,0,0.109,0.334,88.883,58,1990
Love Will Lead You Back,Taylor Dayne,4:37,4,0.547,0.513,1,-7.006,1,0.0267,0.201,0,0.0866,0.2,73.214,58,1990
Release Me,Wilson Phillips,2:49,1,0.152,0.00504,0,-34.183,1,0.0432,0.953,0.928,0.102,0.0303,136.702,57,1990
Roam,The B-52s,4:55,4,0.636,0.939,9,-5.551,1,0.0837,0.0485,0.00000669,0.271,0.694,134.937,57,1990
Get Up! (BEFORE The Night Is Over),Technotronic featuring Ya Kid K,5:37,4,0.79,0.727,6,-11.84,0,0.105,0.00418,0.000162,0.0628,0.67,123.958,56,1990
Vision Of Love,Mariah Carey,3:29,3,0.256,0.464,5,-10.959,1,0.0382,0.433,0,0.121,0.355,205.362,56,1990
Whole Wide World,A’me Lorain,2:35,4,0.729,0.447,5,-9.038,1,0.0387,0.598,0.000279,0.116,0.595,108.837,56,1990
Feels Good,Tony! Toni! Tone!,4:58,4,0.827,0.852,2,-12.052,1,0.0942,0.115,0.0000149,0.299,0.635,117.17,55,1990
Sending All My Love,Linear,3:54,4,0.703,0.517,7,-13.644,1,0.0529,0.000407,0.0969,0.0963,0.768,104.833,54,1990
Here And Now,Luther Vandross,2:51,4,0.506,0.813,9,-3.575,1,0.0532,0.0505,0,0.12,0.706,147.996,53,1990
How Can We Be Lovers,Michael Bolton,3:55,4,0.399,0.708,0,-10.541,0,0.0387,0.118,0,0.179,0.688,207.424,53,1990
Escapade,Janet Jackson,4:43,4,0.806,0.954,1,-6.741,1,0.0514,0.0259,0.000617,0.176,0.701,115.229,52,1990
Oh Girl,Paul Young,3:36,4,0.418,0.402,10,-12.942,1,0.0288,0.226,0,0.103,0.601,133.683,52,1990
Opposites Attract,Paula Abdul and The Wild Pair,4:31,4,0.608,0.814,6,-5.908,1,0.435,0.657,0.00000586,0.256,0.587,192.157,51,1990
Praying For Time,George Michael,4:40,4,0.579,0.64,10,-14.366,1,0.0352,0.0518,0.0148,0.0982,0.263,127.788,51,1990
Back To Life (HOWEVER Do You Want Me),Soul II Soul featuring Caron Wheeler,3:52,4,0.819,0.611,7,-7.428,1,0.129,0.0678,0.0000781,0.0477,0.653,101.003,50,1990
Cradle Of Love,Billy Idol,4:41,4,0.612,0.942,3,-4.588,1,0.0399,0.0163,0.0000039,0.0909,0.622,144.038,50,1990
Downtown Train,Rod Stewart,3:52,4,0.648,0.363,3,-15.848,1,0.0909,0.482,0.109,0.0923,0.696,115.765,50,1990
More Than Words Can Say,Alias,3:54,4,0.412,0.376,4,-11.789,1,0.0289,0.609,0.00223,0.11,0.153,69.064,50,1990
What Kind Of Man Would I Be?,Chicago,4:24,4,0.651,0.498,0,-8.868,0,0.0318,0.39,0,0.143,0.423,109.906,50,1990
Rhythm Nation,Janet Jackson,5:30,4,0.633,0.931,1,-7.752,1,0.0686,0.0504,0.109,0.375,0.676,109.116,49,1990
All Or Nothing,Milli Vanilli,3:30,4,0.419,0.785,10,-4.483,0,0.0313,0.0289,0,0.0799,0.332,152.053,48,1990
Don’t Know Much,Linda Ronstadt and Aaron Neville,4:02,4,0.611,0.568,9,-11.681,0,0.0882,0.382,0,0.0419,0.626,92.018,48,1990
Blame It On The Rain,Milli Vanilli,4:08,4,0.758,0.827,4,-6.151,0,0.0774,0.00326,0.000169,0.0946,0.506,97.515,47,1990
Have You Seen Her,MC Hammer,5:09,4,0.62,0.334,4,-15.598,1,0.0536,0.479,0.0000012,0.169,0.298,139.375,47,1990
I Go To Extremes,Billy Joel,4:23,4,0.592,0.918,5,-4.744,1,0.036,0.0143,0.0000125,0.287,0.568,127.095,47,1990
Rub You The Right Way,Johnny Gill,5:32,4,0.66,0.873,10,-6.952,1,0.0461,0.0152,0.00324,0.331,0.864,111.872,47,1990
Here We Are,Gloria Estefan,2:06,5,0.741,0.676,7,-13.334,1,0.0466,0.723,0.873,0.0635,0.861,109.007,46,1990
