,title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
0,Totally Killer,4.3,323,Prime Video,2023,R,Nahnatchka Khan,"Kiernan Shipka,Olivia Holt,Julie Bowen",
1,Guy Ritchie's The Covenant,4.7,13268,Prime Video,2023,R,Guy Ritchie,"Jake Gyllenhaal,Dar Salim,Antony Starr",5.99
2,A Million Miles Away,4.9,1126,Prime Video,2023,PG,Alejandra Márquez Abella,"Michael Peña,Rosa Salazar",
3,Kelce,5.0,570,Prime Video,2023,,Don Argott,"Jason Kelce,Travis Kelce,Kylie Kelce,Connor Barwin",
4,Despicable Me 3,4.8,31813,Prime Video,2017,PG,"Pierre Coffin,Kyle Balda","Steve Carell,Kristen Wiig,Trey Parker",
5,Those Who Wish Me Dead,4.3,7403,Prime Video,2021,R,Taylor Sheridan,"Angelina Jolie,Nicholas Hoult,Jon Bernthal",3.79
6,Renfield,4.1,9259,Prime Video,2023,R,Chris McKay,"Nicholas Hoult,Nicolas Cage,Awkwafina",5.99
7,The Proposal,4.8,52086,Prime Video,2009,PG-13,Anne Fletcher,"Betty White,Sandra Bullock,Ryan Reynolds",
8,Black Adam,4.2,22762,Prime Video,2022,PG-13,Jaume Collet-Serra,"Dwayne Johnson,Aldis Hodge,Pierce Brosnan",3.79
9,A Thousand and One,4.5,1317,Prime Video,2023,R,A.V. Rockwell,"Teyana Taylor,Will Catlett,Josiah Cross,Aven Courtney",5.89
10,Pokémon Detective Pikachu,4.6,52376,Prime Video,2019,PG,Rob Letterman,"Ryan Reynolds,Justice Smith,Kathryn Newton",
11,Top Gun: Maverick,4.8,107727,Prime Video,2022,PG-13,Joseph Kosinski,"Miles Teller,Val Kilmer,Tom Cruise",3.99
12,DC League of Super-Pets,4.6,8156,Prime Video,2022,PG,Jared Stern,"Dwayne Johnson,Kevin Hart,Kate Mckinnon",3.99
13,Aquaman,4.6,87453,Prime Video,2018,PG-13,James Wan,"Jason Momoa,Amber Heard,Patrick Wilson",3.79
14,Dungeons & Dragons: Honor Among Thieves,4.4,16970,Prime Video,2023,PG-13,"Jonathan Goldstein,John Francis Daley","Chris Pine,Michelle Rodriguez,Regé-Jean Page",5.89
15,Mechanic: Resurrection,4.6,11708,Prime Video,2016,R,Dennis Gansel,"Jason Statham,Jessica Alba,Tommy Lee Jones",
16,The Suicide Squad (2021),4.5,6303,Prime Video,2021,R,James Gunn,"Margot Robbie,Idris Elba,John Cena,Joel Kinnaman",3.79
17,The Batman,4.0,14732,Prime Video,2022,PG-13,Matt Reeves,"Robert Pattinson,Zoë Kravitz,Jeffrey Wright",3.99
18,F9: The Fast Saga,4.4,57096,Prime Video,2021,PG-13,Justin Lin,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson",
19,Sitting In Bars With Cake,4.6,118,Prime Video,2023,PG-13,Trish Sie,"Yara Shahidi,Odessa A’zion,Bette Midler",
20,The Other Woman,4.7,24838,Prime Video,2014,PG-13,Nick Cassavetes,"Cameron Diaz,Leslie Mann,Kate Upton",
21,Twilight,4.7,36270,Prime Video,2008,,Catherine Hardwicke,"Kristen Stewart,Robert Pattinson,Billy Burke",3.99
22,Teenage Mutant Ninja Turtles: Mutant Mayhem | Extended Preview,4.6,812,Prime Video,2023,PG,"Jeff Rowe,Kyler Spears","Micah Abbey,Shamon Brown,Nicolas Cantu,Brady Noon",5.99
23,Mike and Dave Need Wedding Dates (4K UHD),4.5,8980,Prime Video,2016,R,Jake Szymanski,"Anna Kendrick,Zac Efron,Adam Devine",
24,The Equalizer 3 - Bonus X-Ray Edition,4.5,448,Prime Video,2023,R,Antoine Fuqua,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea",19.99
25,Pitch Perfect,4.7,40717,Prime Video,2012,PG-13,Jason Moore,"Anna Kendrick,Skylar Astin,Rebel Wilson,Adam Devine",
26,Jurassic World Dominion,4.4,65028,Prime Video,2022,PG-13,Colin Trevorrow,"Chris Pratt,Bryce Dallas Howard,Laura Dern",3.99
27,Champions,4.6,4576,Prime Video,2023,PG-13,Bobby Farrelly,"Woody Harrelson,Kaitlin Olson,Matt Cook",5.99
28,Rock Dog 2: Rock Around the Park,4.3,2013,Prime Video,2021,,Mark Baldo,"Andrew Francis,Ashleigh Ball,Brian Dobson",
29,The Forever Purge,4.2,30058,Prime Video,2021,R,Everardo Valerio Gout,"Ana de la Reguera,Tenoch Huerta,Cassidy Freeman",
30,Halloween Ends,4.1,2875,Prime Video,2022,R,David Gordon Green,"Jamie Lee Curtis,Andi Matichak,Rohan Campbell",3.99
31,Elvis,4.4,27666,Prime Video,2022,PG-13,Baz Luhrmann,"Tom Hanks,Austin Butler,Helen Thomson",3.79
