YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,AUS,278,7,10,PAK,WON,LEEDS,WEST INDIES
1975,AUS,328,5,4,SL,WON,LONDON,
,AUS,192,10,3,WI,LOST,LONDON,
,AUS,94,6,10,ENG,WON,LEEDS,
,AUS,274,10,8,WI,LOST,LONDON,
,,,,,,,,
,ENG,334,4,3,IND,WON,LONDON,
,ENG,266,6,10,NZ,WON,NOTTHINGHAM,
,ENG,290,5,10,EA,WON,BIRMINGHAM,
,ENG,93,10,6,AUS,LOST,LEEDS,
,,,,,,,,
,IND,132,3,4,ENG,LOST,LONDON,
,IND,123,0,10,EA,WON,LEEDS,
,IND,230,10,6,NZ,LOST,MANCHESTER,
,,,,,,,,
,PAK,205,10,7,AUS,LOST,LEEDS,
,PAK,266,7,9,WI,LOST,BIRMINGHAM,
,PAK,330,6,10,SL,WON,NOTTHINGHAM,
,,,,,,,,
,SL,86,10,1,WI,LOST,MANCHESTER,
,SL,276,4,5,AUS,LOST,LONDON,
,SL,138,10,6,PAK,LOST,NOTTHINGHAM,
,,,,,,,,
,WI,87,1,10,SL,WON,MANCHESTER,
,WI,267,9,7,PAK,WON,BIRMINGHAM,
,WI,195,3,10,AUS,WON,LONDON,
,WI,159,5,10,NZ,WON,LONDON,
,WI,291,8,10,AUS,WON,LONDON,
,,,,,,,,
,EA,128,5,8,NZ,LOST,BIRMINGHAM,
,EA,120,10,0,IND,LOST,LEEDS,
,EA,94,10,5,ENG,LOST,BIRMINGHAM,
,,,,,,,,
,NZ,309,5,8,EA,WON,BIRMINGHAM,
,NZ,186,10,6,ENG,LOST,NOTTHINGHAM,
,NZ,233,6,10,IND,WON,MANCHESTER,
,NZ,158,10,5,WI,LOST,LONDON,
