super_opeid,name,par_income_bin,par_income_lab,attend,stderr_attend,attend_level,attend_sat,stderr_attend_sat,attend_level_sat,rel_apply,stderr_rel_apply,rel_attend,stderr_rel_attend,rel_att_cond_app,rel_apply_sat,stderr_rel_apply_sat,rel_attend_sat,stderr_rel_attend_sat,rel_att_cond_app_sat,attend_instate,stderr_attend_instate,attend_level_instate,attend_instate_sat,stderr_attend_instate_sat,attend_level_instate_sat,attend_oostate,stderr_attend_oostate,attend_level_oostate,attend_oostate_sat,stderr_attend_oostate_sat,attend_level_oostate_sat,rel_apply_instate,stderr_rel_apply_instate,rel_attend_instate,stderr_rel_attend_instate,rel_att_cond_app_instate,rel_apply_oostate,stderr_rel_apply_oostate,rel_attend_oostate,stderr_rel_attend_oostate,rel_att_cond_app_oostate,rel_apply_instate_sat,stderr_rel_apply_instate_sat,rel_attend_instate_sat,stderr_rel_attend_instate_sat,rel_att_cond_app_instate_sat,rel_apply_oostate_sat,stderr_rel_apply_oostate_sat,rel_attend_oostate_sat,stderr_rel_attend_oostate_sat,rel_att_cond_app_oostate_sat,attend_unwgt,stderr_attend_unwgt,attend_unwgt_level,attend_unwgt_instate,stderr_attend_unwgt_instate,attend_unwgt_oostate,stderr_attend_unwgt_oostate,attend_unwgt_level_instate,attend_unwgt_level_oostate,rel_attend_unwgt,rel_apply_unwgt,stderr_rel_attend_unwgt,stderr_rel_apply_unwgt,rel_att_cond_app_unwgt,rel_attend_unwgt_instate,rel_attend_unwgt_oostate,stderr_rel_attend_unwgt_instate,stderr_rel_attend_unwgt_oostate,rel_apply_unwgt_instate,rel_apply_unwgt_oostate,stderr_rel_apply_unwgt_instate,stderr_rel_apply_unwgt_oostate,rel_att_cond_app_unwgt_instate,rel_att_cond_app_unwgt_oostate,public,flagship,tier,tier_name,test_band_tier
1434,American University,10,0-20,.0011224474,.00012032317,.0016086748,.0013613658,.00023631459,.0015368059,.66644716,.026499446,.69774663,.074796461,1.0469646,.73150134,.052726503,.88584107,.15376997,1.2109903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.00026526806,.000020233034,.00067708862,,,,,,,.39177746,.33747351,.029882401,.0095103187,1.1609132,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,30,20-40,.0010045897,.000094077877,.0016086748,.0020622974,.00016689903,.0015368059,.68079799,.020936616,.62448281,.058481604,.91728061,.76244211,.042126022,1.3419375,.10860124,1.7600517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.00026213587,.000017000528,.00067708862,,,,,,,.38715148,.39289355,.025108276,.0086670527,.98538518,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,50,40-60,.0014080098,.00008235695,.0016086748,.0014302091,.00015031981,.0015368059,.70235002,.015597713,.87526071,.051195525,1.2461888,.69119209,.0291178,.93063748,.097813144,1.3464237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0004072352,.000018576633,.00067708862,,,,,,,.60145038,.50791007,.027436044,.0086426297,1.184167,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,65,60-70,.0014884059,.000092005692,.0016086748,.0014053341,.00016538119,.0015368059,.7154243,.017353598,.9252373,.057193469,1.2932707,.65511489,.031222766,.9144513,.10761359,1.395864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.00053898146,.000027062242,.00067708862,,,,,,,.79602796,.62132597,.039968539,.012111623,1.2811761,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,75,70-80,.0015009717,.00007657332,.0016086748,.0012585494,.00013053221,.0015368059,.722022,.014461212,.93304861,.047600251,1.2922717,.61282039,.025431195,.81893843,.084937342,1.3363433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0006313285,.000027150038,.00067708862,,,,,,,.93241632,.72330666,.040098205,.01215589,1.2891023,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,85,80-90,.0015242279,.000061324376,.0016086748,.0011896264,.0001114291,.0015368059,.8956821,.012672527,.9475053,.038121052,1.0578589,.85458332,.026013399,.77409023,.072506949,.90581012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0008027337,.000028309689,.00067708862,,,,,,,1.1855667,1.1447273,.041810907,.014311893,1.035676,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,92.5,90-95,.0016951667,.000073849616,.0016086748,.0015382823,.00015930034,.0015368059,1.1845143,.01672365,1.0537659,.045907114,.88961858,1.2673872,.040067803,1.0009607,.10365678,.78978288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0010954792,.000044191755,.00067708862,,,,,,,1.6179259,1.9318283,.06526731,.025167288,.83751023,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,95.5,95-96,.0022613457,.00017679502,.0016086748,.0024532629,.00042904218,.0015368059,1.5164493,.038581677,1.4057196,.10990103,.92698097,1.6513399,.097112469,1.5963389,.27917787,.9666931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0015948946,.000116487,.00067708862,,,,,,,2.3555181,2.7753911,.172041,.066201746,.84871572,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,96.5,96-97,.0021094824,.000160057,.0016086748,.0016606167,.0003296574,.0015368059,1.5230333,.037363786,1.311317,.099496178,.86099035,1.6780946,.095566891,1.0805638,.21450816,.64392304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0016571763,.00011813947,.00067708862,,,,,,,2.4475029,2.9396944,.17448154,.067647219,.83257049,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
1434,American University,97.5,97-98,.0022675896,.00016328096,.0016086748,.002068711,.00038923285,.0015368059,1.5925699,.037393332,1.409601,.1015003,.88511086,1.7605807,.096794248,1.3461108,.25327393,.76458347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0018208082,.00012335237,.00067708862,,,,,,,2.6891725,3.1539433,.18218052,.069780357,.85263819,,,,,,,,,,,Private,0,Highly selective private,Highly selective private,Other Top 100 Private
