"Position","Job Title","Company Name","Location","Salary","Date","Logo","Job Link","Company Rating"
1,"Associate Stop Loss Underwriter","The Insurance Center
2.7","Onalaska, WI","$57K - $84K (Glassdoor est.)","30d+","https://media.glassdoor.com/sql/453835/the-insurance-center-squarelogo-1492120667693.png","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fec98ce1&cb=1718615815858&jobListingId=1009279103245&cpc=CE7A661257FCF332&jrtk=5-yul1-0-1i0inod9uj3vg800-f027d38c6d0f7cc4---6NYlbfkN0AnQuubndRYe3sHAwG91sy-2q_Ty72wJwJiciqjP-K5IL2g08BrCEbYziRbiYLuuuM-ca5uNVfQx74THojaS7qrC1G0SIkiyXftmu_i8jWMcCA3yD5d6-bVRNnjE7svnYop4G125MSPhrflFbsNmIbpvPS-vJoVB1HdQ-x5Md_go0fLDilqdI8O32ZCkLrMbzaqmEwpCJOmr7gGoGZI64JAjyYcWOj3EirGUnnA8memakFxDNrXb1m2K6MHNrCIzHAA_rR-cCgVS_F83Ats4ANrvrZC5ufSmzHr14nbEDK7BWZaMyLbRJvxoxtAUQSu7tdlakSygBj_t3eLtMo8q3PVppmHk7UngpSVJbb6K-QcLxvgOI9fOsv3inq_Vf0lWrGFPiq8XlNhesP__yGAL70W9M5m_tZ7G264H5DPu9lryMxDrX6fwhg6-p-bHBmD9PJqJix4Kah9oBj87S9FAROAwGO_7jqZvO4cmH8Wre-Drj5IW7P3o5AnvkMr5n0kDliFuqbbsoHpx6DMopCAnpUotOgJS74ljfNsSL4ktaSmVx6xtXqoNOYyIPtyiy4bW5oyYYsUUrZYddlijtd6xoqZqKOglVSdVijm4bdkAr71MMr-5C4dJUm0Y-9uF8J5i-M%3D",2.7
2,"Manager of Data Science","Nuvative, Inc.
3.4","Wichita, KS","$106K - $157K (Glassdoor est.)","30d+","https://media.glassdoor.com/sql/1384674/net-pay-advance-squarelogo-1505283647927.png","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&cs=1_986917b1&cb=1718615815856&jobListingId=1009265840200&cpc=BCE4811A78D39AF3&jrtk=5-yul1-0-1i0inod9uj3vg800-26b42b99e5dd62ce---6NYlbfkN0D5G1Pw5mMTlBhXLeOkiBK4reZ5rZyoQRZHR8EzEOpuggy1oMLGZ2Ci0bNqnMYog9D6xIINomHvAzUgcvPHraELj4keUmE2VlTeFkrer7TDF67cWD_vFnOJzCTmoggTEvauH9QA6tiwnLAhpQbWxBVhR_bS9KCTlLrbkMQ9TypREE3hxKee1UZ_Zhc3s3M2KP0bAI0lkelK7eslTHu6kGKn6nJc2SPnFOlH7PJbBMrcSiIh3myzE_fv-8Y4e-nqb6DC_lq2wtSUv36VR_39fwJDmbUCd3C-yOpFt9RL8jrT_pv7P5X5-lU8rnUL3TfdomIAy-FZDmyQj383HOGcwxBDGqn96XqHSudF1OUZl90ph246Egv2CvSUQMSWP4PvFQX7Jzz4mVL0TLdz8y3haJ84DLDJrRO3EnLK_eynCPRgNNkFznmskSnqyR0FdtQ9vgJlnYuJDCJw3HknF_3rok4m-D0_fanzCZSSvtbIqRL3ipP4b1enR9x1-ssxtHfqxV5P7QsooJn4aqvma7C0OPzziZy64BDkeWnYYTeRIeHUiNziGwWLPQIRECtgJqe9CQVr_BkQUWr5Yqc9uANgpawnLVK-tf7hSpABTaqWB8cHqwLO6hZW2Yp3",3.4
3,"Senior Data Product Manager","ProviderTrust
4.2","Nashville, TN","$105K - $141K (Glassdoor est.)","11d","https://media.glassdoor.com/sql/1953857/hibob-squareLogo-1709829933063.png","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d8dead79&cb=1718615815856&jobListingId=1009310392688&cpc=9BE7264F9E667C9B&jrtk=5-yul1-0-1i0inod9uj3vg800-0720f3560d6299b4---6NYlbfkN0C2_CcuJik64_eQhfNbvUcsi-sRk8cbIc932ZPxa72blPAPYMkebcr-ixVQCS2Bv6Ie71Aw71vd3efOuKRkvKhU4pbTwkkMdGwr10beDgYHBtUL7UPmvFinJ2QqkzE5MMPKlPCSAYC2Bfc7WeZ9QWamyMdGXEOo3ai73QYeIgJP0b_nYy1dMZJim0YjHRXb7U748cMN5tPocPUsMGPhWEzKYCTY-DlbobeuBXGcRuLmrFq4mqdLMEdpInGKWMFnxRPTi8BfTHWoIq9MlghAHGbmiimnKZ9pQ1f9id4_PqZiOLEqHixyV-ebnyWF7klBFCiw1gQlJy8TUplpZZ2-607Mu3JKTtqYKVwXTTSegM6Qn-QlqhuA0h6PuGA8N6e3qd_DlTOO3dELsRakURtPc8qSwECHLjG-glGx0RLS0lxy8TCkf0EsT1BJ9wg3mzqAHgVEBHDa8eOnSK2RVAspGGKsRACKGmgHAlY7nSko01-eTX3J26C2xxr8rPED_jmF_BsYnW0U9urlSvj_tyXjb9Et8TfFclkDoFP3owU2-qVY43kNM1VSvPWeipJZUuAu6ZbMqJUAbNSPqhnyIrkiSPQatJmdVIsfUgEMrzZ-eQmBWmsugN07VTF-bFD_W7p6sPuoND494i9yvPXUuMCEAPV8",4.2
4,"Oncology Nurse Navigator","Inizio Engage
3.6","Portland, OR","$90K - $113K (Employer est.)","1d","https://media.glassdoor.com/sql/8794153/inizio-squarelogo-1686067168894.png","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6fbcba4b&cb=1718615815857&jobListingId=1009324865616&cpc=23F39E5DB52D8DE4&jrtk=5-yul1-0-1i0inod9uj3vg800-ee68464f53fa073e---6NYlbfkN0Cj5q7ci9j2SncqQ1w4XhRvVZPDzgJIf779KjkIt1WaM28mM8wiH_bTs4J5vY6fE3BFzqKpOTgiFNBvvT7Oaqe-nr9qdw1GKYyBDV4MoTexIAW1_JweuMNV6y18XUgp6Rnqk0sFX4pqHvnec3fuGNLbOH0Kg4IW2GPJNXsrANz51_FnAAFVNMA9YcZ5ohDVx-vorCh1RQ7uMeH5PmACWMRRsgt8wCmIcw6GT-lA2tqvLJyynLxI2ee3Cy4o8HEKn1U52lLO0HMPlyVx7U4OcHiBIJ6--8KXJp0Hc_OZm_1DhYhxlNQ0rxurXoxCpowhtJB-OPja7Hnxj63ceLgwFfgbdv2m6uAqZy33jakT0Jwr19AZ_XRG-QKvpOKL8QXRw9v_1ojjj1BqObpDaS1JuuQBpkW7k0hS6sNN8GKRHoXVWjJ0J86P-tw1LGGo-r6d8opPvvdroQ3-2PdCqkOcxh9axyqG8oDk6u4Y7DCMa47JjS3FbiBbbeexmegNYzO2ehGH7DNNRtYr357tAh1fAIDkSVU4x5A6YgNpe8wNnaGVoGM8lSuyOffy2l4aPbGUxTCF-EjYlZTFrUuC_BZZInWcA6xiPOMGZ_xz5eJUp51ZKsbtamYDiuI9jL16KD83T4o%3D",3.6
5,"Head of Artificial Intelligence – Americas Region","Covestro
3.6","Pittsburgh, PA","$89K - $148K (Glassdoor est.)","30d+","https://media.glassdoor.com/sql/27128/covestro-squarelogo-1453844629357.png","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d182df2f&cb=1718615815856&jobListingId=1009232280511&cpc=BC94DADD91C18169&jrtk=5-yul1-0-1i0inod9uj3vg800-d372bc699b0c08c0---6NYlbfkN0A7Bu8-4mgzNRUU62-HKvmK4FAxTxw6xrajimEEAbFlFrOXkKmFzpgHz7Wqn1TvZc_9T9vLYaBr9z6QQf_1LPK7OWiRHGvXiTFm0Yc_wKMi9cSmv2g9eIou3y1D3clCdvLN348qM9nvLIgV3oe498jKZSmBkl3JB2iusyZ0NqqcVNKXnnsvu33p9f-BAbx8U_ENB9bxo5IWtw6fcEP2evb9URnv8KNSMaIDUbe5N0_hmjCxtlCcIeXTeyct1Y5xlaFVI_iIL3rscnvlvSiJnOyK44W6vgv7-mNEw7H-jbrlDvG4joUR87u2zQCAVZst4n5Or73BbQFnOC2obY-JpkUCgpTnchbrptjM54MV1f2hqgDNOZwH1YKo6hivdATwxkrj1IWpFPt7SDAYXPXLA9etKQQW99MLP9F0eVcL5weKxWcEP2seMixzzGYD2Q99FPCW9Al7BtQMYIjZFJluFL61LlutAZjbWoy7vJb1QkQge1iMG5njCibV8mOUqjkL733ZL48e7dSmvwkkk5XyaiwDRUdDU2hosyCgDU05ZgGOTPn6K2yrG-JHbBkLfQV1KiDbZtljAm7mjQrQ5vGr-tQ04nRXt5VNI7r29M865_dzzeX_-Pem_FFGlK2_YpB4IMGkQzJskQivvZ_NUaif1Ymz047aUNJPu5FXvR0Jqv0720Fj2CZz0hbb6ePcA4C0CcwM-j082Z5TCHGh-gcrtYBQzj_UUptnX5vFtLAr5b0ccc1MxmE0CFyZ",3.6
6,"IT Manager","Western Welding Academy","Gillette, WY","$90K (Employer est.)","26d",,"https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_67fe4fba&cb=1718615815860&jobListingId=1009288101238&cpc=4B4B39186BDA197B&jrtk=5-yul1-0-1i0inod9uj3vg800-1bc1eb0f75b4af81---6NYlbfkN0DuEZ-_SKLLR4NW6cLEZ0Hw5bJildR38jYYaM85iY4FA6iXcMB7r52_huNCfCGZx4ZzYbkwT01ggUjqoQLovyV1NX9lNK9fTvb8dV7SFz1qK6G7HTnse6a2c6IpGV7F3dHC2g0OvH_26TAwSPhimjTAIUKd5eoUb1lz4QRhPdXF6WsSLo7x0GmweOaGrmgcItCLWj5cC7YL2iyDcus5yurVFtCSSeZYdAMOzCI1ZkthRR1461xUQ0T3km3tdxqrCauQsq5wY4t-zpHaJ-626YB-Mjoe5Lg6GV1RUteDjAhzfCFGqBEnCeBnwor1b8FvTLr6i2i5NQ9vvYog3PDS9Dqxh8vfYhZoWuX_n3Xn-VSP7pKeOMcLKpZ18BsgEw1ZHxtCJ__NXOgaw6JeLz_eAy7hTJ7q0C9iA4iLwYNgqHsiK_XkgjhVW3EanGhBwkJKggRiObZKe_XJK63PjgDiwICr2QfXfmtIg1EUT5WChv-cRtTcg1HGN3CvMqYQf-Htb96uwwa8f9kfxWNhDoTVXUzQBoGqh8s9NboeS_N2jhpYZsg44J-FCTCFlko_DunNl0raU5tX74yDrjV03DXR6A5beoMdn17SyMY%3D",
7,"Data Center Services Technician - IT, Crypto Mining","Growler Mining","Tuscaloosa, AL","$22.00 - $28.00 Per Hour (Employer est.)","30d+",,"https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e0714f9d&cb=1718615815858&jobListingId=1009058676448&cpc=9FE5D8D7282D4400&jrtk=5-yul1-0-1i0inod9uj3vg800-0ef5498a742295f1---6NYlbfkN0DavGBj9ReQWR3tNjDJOIEMJyRoa7o-wRqutVJPf8Bnjej5e6BCEIRDr5GrQbqrNjHof3JDeUnG8INJ9Q9Qr-Q1NR10HxwU7BBGRH_iI4W70Waj0uQ6zbLq7WxL3Kfm61lgW0gyOZLqPwWx5RulD4pDetZUyQNVIE4_rOhJBDCPB7xEQpZj1aHxF-oddp2I92B5c4MQYYnIvi4Sl4RVNFsIllvBOHhHqlcDAXgwKxfskdfTzOjvlzMfP4Nm0bwpFoaDdC-kbXdBOIMPYVQ5h3x4Jz8uovNWs2kLhSnMQhtZzohodErKCeToW9gOgEZ359B_v-G8x9HzgOMhLPk0Sc-_Z0ysOpekZ_pqr7mr1bCRZLd7L6Obnszq4lnoE8fT7HG2Ngw8ku3ISoDGnlnDvM6AffTPOeWGl_E7-4bFZgq8b0wyqU7-7NiZYwyDFD1fatN2ZUcRLaM_u79z5zeNOFW7hNm7pF23EW3cnYXYIEmoKz-8EfFLJsNoM2r02XP6UU_ZkReYbiDwmtYm_ZlDp4f1_6M-I0GHIn9yg0SFk98_raO6HVeuAVkZYS5WCKe5lQIpGEfjrK-qWU3RE2CsqwQkOIb4uthuuAj6ab5szl1EalrrDQtw_hghiqwqgRCBnGTvjwyDZzSwG3N9TDNhBiOb",
8,"Data Center Construction Coordinator","Applied Digital","Ellendale, ND","$58K - $80K (Employer est.)","23d",,"https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a7c36f18&cb=1718615815857&jobListingId=1009293438931&cpc=FD56AAAF1899B499&jrtk=5-yul1-0-1i0inod9uj3vg800-680f4f7bd6e31b07---6NYlbfkN0B515PmnkdYjqmny_OQHkeKGs6w20WT5r-UCNzKJyC9H4yMuIhzq4pbzq_m1VOP67fE0bkFe1iTPNhZK0l8yodSLoWwKFkmV8537v05_FwZwDzRs55l5p3pM8SIu1-zzAE64iX0qc_qOcZSrADWmv5zr3sg4WFRZGmnGJPKB02P738zZiDwXbBSLLjEce7I3lxTsGST0hmJUoHUlWAiRAaKIu0jkq55GxRGiYQAgHvZdW-hjt5XS0T-TxQHD6Y7l1rLfuQY-uvpy9ONgcJX4brpANq1uw6drz3gzX3ZSGXiXS51hvG0QPl5vBlZdq54xOxAY73hucQeuDmlGS1i0jYRY2Gf1pngGHXyefRnOIBQbz62uP5J5bhyrE_X1PSykKSCeWddt_1gOvyruQT69lXStZYqC1uV1R09z0bOc0ARfrjmuIzHEm_DC5PJl1cSh1auA4KJ3zE1zP303Eu5DSqbYMF6mgDUBGAodHJ4x5B5ZMXW_P2kMnM4G_Qx3z0dH69g0ABZ7ZZ00FqkubHZlEQaz_9BFX5qOP9ZoWmnYW13T642OEj8j7ElZX9EajrEz-pQuxXHu2ORqK_TGQL11pBgLEvmmsZwK760t-kimapge_15k3KEvfNatquAf7cv_POhljNgi9OidA%3D%3D",
9,"Senior AIOps Engineer","Health Data Analytics Institute
4.4","Dedham, MA","$151K - $175K (Employer est.)","30d+","https://media.glassdoor.com/sql/3037378/health-data-analytics-institute-squarelogo-1569367830238.png","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_af2ad9b8&cb=1718615815858&jobListingId=1009177301434&cpc=AA718BBA0476CE1A&jrtk=5-yul1-0-1i0inod9uj3vg800-07258ebd0e563511---6NYlbfkN0BCiN5p_k29LybVLB04mYa_egsHTCPsjUODsZMgeNdy5K9H95vVCIyOXh1M_2Aizzn2K5jKkdhnqN5b3Q-3RrLw8aLnMRBxc6VFgQJeu-06ZzdlvpH_nqQuDnJixmZDEFpjHGJjHkaG_hLfguXbO0ahpr-iFPz2LdEq2v0mLvH9nBPZcN0nC1WKTyozoPul0cECfRIh2RLUHV1tJN8QOjpWAlsiRKCGF8dAl1bGE_1kTQ6Sv15EXCVB33UpPWjuLu1NIcnuQpatpjjWOHPrTKRr0ae6yDxptbK742PRd2Gh-rLi0L-2zh6BnkpMf5hETDilvwIO1pb1Ov0Ab9n2SaR8S6LwNEC3_XzYQFdYDmyE7i7txEp5_l7Gt8NmvgTdJIYdnq0G5y0eIXVZvZlSizhRQgv3NIb14eaVy83gDKlnlJTsR5QKy72MsQtkg91oDujHoy1uVLodaaY6wveZYUXVXV55Fj8j2PUS33vqgnSw1aZBKKJMLt1uQVKG1_Y1blTZbHAOxALRp-rf-EJSA9Q1PGznZgMlrpReJzSVWJ-p6hh_F1Hf7__x09pCIlg_aelZbAja7WjR1xt3o2Kt31oYJIy-dOuKWyNqoWWO-g6HbsA3_1yFphpY",4.4
10,"Software Measurement and Estimation Analyst","Carnegie Mellon University Software Engineering Institute","Pittsburgh, PA",,"11d",,"https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000190257c3508a9ffb4b50bce008f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ade3f9d0&cb=1718615815859&jobListingId=1009310300812&cpc=ACBF47B84C432121&jrtk=5-yul1-0-1i0inod9uj3vg800-23919fc7d734634f---6NYlbfkN0CiUurEN8v09RCgpaIvVwwq_iNqwAL_buy-mHBCkPU0eZDUqmWM1QLZP777YVEGcjuM98Gn1ingHDq5QRwwAoYNFeFbI94OJkbF9Ms5VVPGVSUbfXy9axMA5UtmsEj8pGDJhrK6ZvitizRhwNk8vHB4QXh_lrwbT_kSxKaAzV6BdUGNTd04pHmkwPgbvtxzRFZ4gZxoTDsxnyyACjy5MDfJ0HUB_GOlKNvpxMpJR5hsBTw9GhdWhUd_9FuP3I13up2T1-Se8F3GrsPHAVvIHnSe-3ARWKRep2guMcG-fNOlnD-XgtU8VIe8_wGqbNsnYy610Sp62vOkbsc6h3kbbceN9cctVPXgzvQ3-wqN81cwflxjNeaweJiNJEx1ud1sL5S8WRSZ2xSu68jYnS46tiQdFtFCrudOb6tSQyVE_8nxZNNiUi5kF9m9JmjTj6Si2iEGkxG36I1ndg4fUW2u-HRA8sykLviTH9WXsisK2DMKsF_MNMoFy5qu0DyHjFqqFLvdrpBns659d0UOXShs0xGvu82gIyckyIoBro4gyXjah01VIZy6orZ-Am5zXEFbXxpSej0vQKVyEZ2f_ACp6oGk5UYRNV5yRS5F5KWP3KHLrpYOTNdHbyGIaYGqHFB634WGKyGyiN4NU2Hri6C_CC_d",
