NOC,Gold,Silver,Bronze,Total
AFG,0,0,1,1
ALG,0,1,1,2
ARG,2,0,4,6
ARM,0,1,4,5
AUS,14,15,17,46
AUT,0,1,2,3
AZE,1,1,4,6
BAH,0,1,1,2
BLR,3,4,7,14
BEL,2,0,0,2
BRA,3,4,10,17
BUL,1,1,3,5
CMR,1,0,0,1
CAN,3,9,8,20
CHI,0,1,0,1
TPE,1,1,2,4
COL,0,2,1,3
CRO,0,2,3,5
CUB,3,10,17,30
CZE,3,3,1,7
PRK,2,2,2,6
DEN,2,2,3,7
DOM,1,1,0,2
ECU,0,1,0,1
EGY,0,0,2,2
EST,1,1,0,2
ETH,4,2,1,7
FIN,1,1,2,4
FRA,7,16,20,43
GEO,3,2,2,7
GER,16,11,14,41
GBR,19,13,19,51
GRE,0,2,1,3
HUN,3,5,2,10
ISL,0,1,0,1
IND,1,0,2,3
INA,1,1,4,6
IRL,0,1,2,3
IRI,1,0,1,2
ISR,0,0,1,1
ITA,8,9,10,27
JAM,5,4,2,11
JPN,9,8,8,25
KAZ,2,3,4,9
KEN,6,4,6,16
KGZ,0,1,2,3
LAT,1,1,1,3
LTU,0,3,2,5
MAS,0,1,0,1
MRI,0,0,1,1
MEX,2,0,2,4
MGL,2,2,0,4
MAR,0,1,1,2
NED,7,5,4,16
NZL,3,2,4,9
NGR,0,3,2,5
NOR,3,5,1,9
PAN,1,0,0,1
CHN,48,22,30,100
POL,4,5,2,11
POR,1,1,0,2
KOR,13,11,8,32
MDA,0,0,1,1
ROU,4,1,4,9
RUS,24,13,23,60
SAM,0,1,0,1
SRB,0,1,2,3
SGP,0,1,0,1
SVK,3,3,0,6
SLO,1,2,2,5
RSA,0,1,0,1
ESP,5,11,3,19
SUD,0,1,0,1
SWE,0,4,1,5
SUI,2,1,4,7
TJK,0,1,1,2
THA,2,2,2,6
TOG,0,0,1,1
TTO,1,1,0,2
TUN,1,0,0,1
TUR,1,1,3,5
UKR,7,4,11,22
USA,36,39,37,112
UZB,0,1,3,4
VEN,0,0,1,1
VIE,0,1,0,1
ZIM,1,3,0,4
