Car Name,Year,Region,FuelType,Mileage,Price
Ford Transit,2002,Goris,Diesel,215000,12000
Ford Focus,2017,Ijevan,Gasoline,72000,11500
Opel Vectra,1998,Armavir,Gasoline,466000,4000
Mazda 6,2020,Nor Nork,Gasoline,100000,22000
Opel Vectra,1998,Armavir,Gasoline,318000,3500
Mazda 6,2018,Nor Nork,Gasoline,127000,17800
VAZ (Lada) 2110,2006,Avan,Gasoline,290000,2300
Mercedes-Benz E-Class,2001,Vedi,Gasoline,219779,7200
BMW X6,2008,Malatia-Sebastia,Gasoline,212000,18000
BMW 5 Series,2006,Chambarak,Gasoline,222700,8400
Mercedes-Benz B-Class hatchback,2006,Nor Nork,Gasoline,73000,7700
Opel Zafira,2002,Malatia-Sebastia,Gasoline,197900,6300
VAZ (Lada) 2121 (4x4),2005,Gavar,Gasoline,140000,4000
Mercedes-Benz E-Class,1996,Gyumri,Gasoline,468000,3000
Hyundai Sonata,2018,Kentron,Gasoline,63000,16500
BMW Z3,2001,Kentron,Gasoline,22000,12369
Volkswagen Passat,2017,Ajapnyak,Gasoline,91000,14000
Fiat 124 Spider,2018,Shengavit,Gasoline,43000,14700
Opel Vectra,2000,Ashtarak,Gasoline,267000,4800
GAZ (ГАЗ) Sobol,2002,Artashat,Gasoline,150000,2800
Nissan Teana,2008,Shengavit,Gasoline,250000,7700
Opel Astra,1999,Artashat,Gasoline,150000,3800
Mazda CX-5,2018,Ajapnyak,Gasoline,86000,20500
Mercedes-Benz GLK-Class,2008,Kentron,Gasoline,109000,15300
Mazda CX-5,2020,Erebuni,Gasoline,48000,26200
Ford Fusion (North America),2017,Davtashen,Gasoline,48000,14900
MINI Cooper hatchback,2003,Shengavit,Gasoline,95000,5500
Mercedes-Benz S-Class,2008,Kentron,Gasoline,165000,6000
Honda Accord,2006,Charentsavan,Gasoline,220000,7600
VAZ (Lada) 2101,1986,Mayakovski,Gasoline,110000,3000
Mercedes-Benz C-Class,2001,On the way,Gasoline,147000,7000
Chevrolet Malibu,2018,Vanadzor,Gasoline,160000,13400
Nissan Rogue Sport,2017,Avan,Gasoline,83000,16900
Toyota Camry,2020,Avan,Gasoline,98000,22500
Kia Sorento,2006,Nork-Marash,Gasoline,180000,7800
BMW 5 Series,1990,Gyumri,Gasoline,390000,3900
Hyundai Sonata,2001,Echmiadzin,Gasoline,165000,4350
Toyota Platz,2001,Echmiadzin,Gasoline,140000,3900
Mercedes-Benz Sprinter,2005,Kanaker-Zeytun,Diesel,308000,12000
UAZ (УАЗ) 452,1986,Avan,Gasoline,100000,8200
Toyota RAV4,2004,Malatia-Sebastia,Gasoline,165000,10400
Peugeot Bipper,2011,Avan,Gasoline,210000,6200
Infiniti QX80,2021,Shengavit,Gasoline,94000,45000
Ford Transit,2004,Shengavit,Diesel,137000,13800
Nissan X-Trail,2008,Avan,Gasoline,250000,8500
Toyota Camry,2019,Gyumri,Gasoline,35000,22500
Ford Fusion (North America),2016,Arabkir,Gasoline,127000,12300
Ford Transit,2002,Akhuryan,Diesel,252000,9200
Opel Astra,1998,Avan,Gasoline,292000,4100
Mercedes-Benz G-Class AMG,2015,Kentron,Gasoline,74000,115000
Toyota Land Cruiser,2020,Kentron,Gasoline,30000,130000
Nissan Sentra,2019,On the way,Gasoline,85901,10500
Ford EcoSport,2017,Kentron,Gasoline,38000,16000
MINI Countryman,2018,Nor Nork,Gasoline,150000,18500
Nissan Primera,2001,Ashtarak,Gasoline,100000,3700
Jeep Cherokee,2018,Ashtarak,Gasoline,50000,15000
BMW X5,2004,Sevan,Gasoline,450000,10800
Toyota Camry,2007,Arabkir,Gasoline,153000,8200
Jeep Cherokee,2017,Avan,Gasoline,92000,17300
Mercedes-Benz E-Class,2000,Hrazdan,Gasoline,233000,5800
Hyundai Tucson,2010,Vedi,Gasoline,101136,13200
Infiniti QX50,2021,Echmiadzin,Gasoline,10000,36700
VAZ (Lada) 2110,2010,Echmiadzin,Gasoline,12443,6800
BMW M5,1996,Yeghegnadzor,Gasoline,300000,5700
Opel Zafira,2002,Chambarak,Gasoline,250000,6000
BMW X5,2005,Gyumri,Gasoline,183000,9700
Peugeot 206 hatchback,2006,Kanaker-Zeytun,Gasoline,110000,4200
BMW 3 Series hatchback,2007,Erebuni,Gasoline,270000,7000
Honda CR-V,1999,Gyumri,Gasoline,264000,4800
Nissan Altima,2014,Shengavit,Gasoline,180000,10000
Nissan Altima,2013,Avan,Gasoline,11250,10300
Peugeot 406,1999,Kanaker-Zeytun,Gasoline,255000,4100
BMW X5,2009,Hrazdan,Gasoline,245000,14000
Toyota Camry,2010,Gyumri,Gasoline,180000,11900
Nissan X-Trail,2008,Gyumri,Gasoline,110000,9900
Infiniti QX50,2020,Gyumri,Gasoline,70000,32000
Jeep Compass,2017,Charentsavan,Gasoline,80000,16500
Nissan Murano,2006,Gyumri,Gasoline,178000,6200
Toyota Alphard,2006,Abovian,Gasoline,185000,17300
Toyota Camry,2009,Gyumri,Gasoline,160000,10200
VAZ (Lada) 2107,2008,Shahumyan,Gasoline,79000,2200
Lexus GX,2006,Gyumri,Gasoline,220000,24500
BMW 5 Series,2004,Nor Geghi,Gasoline,350000,8300
BMW X5,2006,Armavir,Gasoline,210000,15500
Mazda 6,2019,Shengavit,Gasoline,51000,19000
Mercedes-Benz 320,1995,Spitak,Gasoline,15680,4200
BMW 3 Series coupe,2007,Erebuni,Gasoline,160000,11000
Mercedes-Benz B-Class hatchback,2009,Ajapnyak,Gasoline,79000,8900
Mercedes-Benz 300,1989,Ararat,Gasoline,265000,4000
Toyota Prius,2014,Kanaker-Zeytun,Hybrid,70000,14900
Nissan X-Trail,2004,Avan,Gasoline,195000,6800
Mercedes-Benz C-Class,2001,Erebuni,Gasoline,273000,7800
Mercedes-Benz Sprinter,2014,Avan,Diesel,259000,38900
Mercedes-Benz C-Class,1996,Arabkir,Gasoline,409000,3000
Lexus LX,2008,Avan,Gasoline,230000,42000
Mercedes-Benz E-Class,1999,Gyumri,Gasoline,390000,4500
Toyota Camry,2015,Erebuni,Gasoline,195000,14400
Nissan March hatchback,2003,Malatia-Sebastia,Gasoline,18000,3200
Opel Astra,2001,Martuni,Gasoline,400000,4750
BMW 3 Series coupe,2002,Kentron,Gasoline,126000,8400
BMW 5 Series,2018,Kentron,Gasoline,93000,37000
BMW X1,2013,Kentron,Gasoline,160000,14000
Volkswagen Touareg,2003,Ashtarak,Gasoline,227000,8700
Volkswagen Tiguan,2010,Arabkir,Gasoline,128000,9900
Hyundai Kona,2019,Arabkir,Gasoline,65000,18800
Toyota RAV4,2023,Kentron,Gasoline,4919,41500
Ford Focus,2017,Arabkir,Gasoline,31000,10300
Nissan Tiida hatchback,2011,Masis,Gasoline,168000,8200
Opel Astra wagon,2003,Erebuni,Gasoline,270000,5000
Chevrolet Volt,2013,On the way,Hybrid,147726,6200
Hyundai Sonata,2017,Ajapnyak,Gasoline,55400,13500
BMW X5,2009,Kentron,Gasoline,260000,14000
Opel Astra hatchback,2003,Artashat,Gasoline,100000,4000
Dodge Journey,2019,Armavir,Gasoline,80000,15300
Kia Optima,2017,Kentron,Gasoline,48000,14000
IZH (ИЖ) Moskvich-412,1978,Kentron,Gasoline,217000,950
Hyundai Elantra,2019,Arabkir,Gasoline,60000,14000
BMW 3 Series,2000,Kanakeravan,Gasoline,225800,5500
Opel Vectra,1998,Martuni,Gasoline,22000,3500
Mitsubishi Lancer,2008,Artashat,Gasoline,355678,1200
Audi Q7,2007,Nor Kharberd,Gasoline,170000,12000
Opel Astra hatchback,1999,Erebuni,Gasoline,290000,4700
Honda CR-V,2008,Ajapnyak,Gasoline,310000,9000
Mazda CX-5,2019,Nor Kharberd,Gasoline,43000,24000
BMW X5,2005,Shengavit,Gasoline,150000,12000
BMW 5 Series,2008,Kentron,Gasoline,250000,9500
Honda Odyssey,2019,Kentron,Gasoline,50000,24000
Kia Optima,2016,Kentron,Gasoline,50000,13500
GAZ (ГАЗ) 3110 Volga,2003,Stepanavan,Gasoline,19850,3000
Mercedes-Benz C-Class,1998,Vanadzor,Gasoline,258000,5500
