,CompanyName,Rating,Reviews,Salaries,Jobs,Location,Industry,Description
0,Accenture,4.1,1.5L,78.6T,27.3T,Bengaluru,Business Consulting,"Growing customer expectations. Market-Shaping AI. Self-Optimizing systems. The post-digital age shows no signs of slow down, and the need for the new ideas powered by intelligent technologies has never been greater. A vision for the future can’t be realized without know-how. Accenture partners with our clients drive real innovation – the kind that turns an idea into an industry – helping them transform and grow their organizations. Learn how we work with companies from all industries across the globe to create the New, now."
1,Deloitte,4.1,1L,34T,35.3T,Bengaluru,Accounting & Tax,"Deloitte provides industry-leading audit and assurance, tax and legal, consulting, financial advisory, and risk advisory services to nearly 90% of the Fortune Global 500® and thousands of private companies. Our more than 412,000+ professionals deliver measurable and lasting results that help reinforce public trust in capital markets, enable clients to transform and thrive, and lead the way toward a stronger economy, a more equitable society and a sustainable world. Building on its 178-plus year history, Deloitte spans more than 150 countries and territories. Deloitte US-India Offices is part of region within the Deloitte US organization, with offices across four cities in India — Hyderabad, Mumbai, Delhi-NCR, Bengaluru, Kolkata, Pune and Chennai."
2,Cisco Systems,4.4,31.7T,8T,438,Bengaluru,Enterprise Software & Network Solutions,"#WeAreCisco, where each person is unique. We bring our talents to work as a team each day, helping power an inclusive future for all. Here's how we do it. At Cisco, we embody transformation and help our customers excel in their digital worlds. Some may think we're ""old"" (36+ years strong!) and only about hardware, but we're also a software company, a security company, a blockchain company, and an AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns, and protects. Our innovation never stops! Cisco values the perspectives and skillsets that arise from employees with diverse backgrounds. That's why Cisco is expanding the boundaries of discovering top talent by not only focusing on candidates with college degrees and experience but instead placing more emphasis on unlocking potential. As one of the leading forces in connecting the world, we understand our unique opportunity to bring communities together and create meaningful change for everyone, everywhere. That's why connecting starts within Cisco. Over 30,000 Cisconians participate in our Employee Resource Groups, called Inclusive Communities, where we network, learn to be informed allies, and help make a difference. Cisco didn't just build the Internet. We keep building it. And while our technology helps connect the unconnected, that's not where our edge comes from. It comes from our people—unique, innovative, and diverse. Be you, with us!"
3,Dell Technologies,4.3,33.3T,9.9T,136,Bengaluru,Information Technology Support Services,"We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you. Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us. Dell is a collective of customer-obsessed, industry-leading visionaries. At our core is a commitment to diversity, sustainability and our communities. We offer unparalleled growth and development opportunities for our team members. We believe that technology is essential for driving human progress, and we’re committed to providing that technology to people and organizations everywhere, so they can transform the way they work and live."
4,Microsoft,4.3,49.7T,9.9T,1.6T,Bengaluru,Computer Hardware Development,"Our drive to change the world unites us! Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course."
5,Google,4.4,45.8T,8.5T,1.8T,Bengaluru,Internet & Web Services,"Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create opportunities for everyone, whether down the street or across the globe. So whether you want to be a part of developing innovative technology, campaigns, products or partnerships, your work here is a chance to accomplish things that matter. To learn more about our job opportunities, teams, offices, benefits and workplace culture, visit careers.google.com."
6,Intel Corporation,4.1,29.3T,4.2T,1.3T,Bengaluru,Computer Hardware Development,
7,SAP,4.4,28.4T,5.1T,2T,Bengaluru,Enterprise Software & Network Solutions,"As market leader in enterprise application software, SAP helps companies of all sizes and industries run better. From back office to boardroom, warehouse to storefront, desktop to mobile device – SAP empowers people and organizations to work together more efficiently and use business insight more effectively to stay ahead of the competition. SAP helps simplify technology for companies of all sizes so they can consume our software the way they want – and without disruption. With an extensive global network of customers, partners, employees, and thought leaders around the world, SAP helps the world run better and improve people’s lives. For more information, visit https://jobs.sap.com"
8,Mindtree,4.0,11.1T,9.9T,--,https://www.mindtree.com/about/locations,Information Technology Support Services,"Mindtree [NSE: MINDTREE] is a global technology consulting and services company that enables enterprises across industries to drive superior competitive advantage, customer experiences and business outcomes by harnessing digital and cloud technologies. A digital transformation partner to approximately 276 of the world’s most pioneering enterprises, Mindtree brings extensive domain, technology and consulting expertise to help reimagine business models, accelerate innovation and maximize growth. As a socially and environmentally responsible business, Mindtree is focused on growth as well as sustainability in building long-term stakeholder value. Powered by more than 38,290 talented and entrepreneurial professionals across 24 countries, Mindtree — a Larsen & Toubro Group company — is consistently recognized among the best places to work."
9,Honeywell,4.0,20.4T,5.6T,2.8T,Bengaluru,Computer Hardware Development,We have been innovating for more than 100 years – and now we’re creating what’s next.
