SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1970.0;4793453718.79043
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1970.0;10150937123.2432
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1970.0;5585091953.61467
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Russian Federation;RUS;1970.0;
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;South Africa;ZAF;1970.0;2192399123.91731
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1971.0;5423630148.39019
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1971.0;11820727565.1962
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1971.0;6515395261.40077
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Russian Federation;RUS;1971.0;
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;South Africa;ZAF;1971.0;2624378642.57177
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1972.0;6294656311.57992
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1972.0;13653725825.1303
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1972.0;6670528128.43634
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Russian Federation;RUS;1972.0;
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;South Africa;ZAF;1972.0;2579595288.47149
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1973.0;8281010087.40018
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1973.0;15903831803.5589
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1973.0;7189577880.22002
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Russian Federation;RUS;1973.0;
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;South Africa;ZAF;1973.0;3255235080.05272
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1974.0;10243651651.0189
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1974.0;17372408861.9213
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1974.0;8599675528.69126
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Russian Federation;RUS;1974.0;
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;South Africa;ZAF;1974.0;4209119639.03471
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1975.0;13159614701.0133
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1975.0;19127977411.5496
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1975.0;9342760393.70074
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Russian Federation;RUS;1975.0;
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;South Africa;ZAF;1975.0;4905966129.51839
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1976.0;16062972517.3168
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1976.0;19507071175.4404
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1976.0;10045485297.5107
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Russian Federation;RUS;1976.0;
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;South Africa;ZAF;1976.0;4970299995.678
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1977.0;16622737159.8975
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1977.0;21936004150.07
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1977.0;11188705337.7016
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Russian Federation;RUS;1977.0;
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;South Africa;ZAF;1977.0;5304949995.387
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;Brazil;BRA;1978.0;19388031460.2157
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;China;CHN;1978.0;19289364280.4878
General government final consumption expenditure (current US$);NE.CON.GOVT.CD;India;IND;1978.0;12960610513.1876
