SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1970.0;0.37269084893844
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1970.0;1.38208472938873
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1970.0;0.521689600970435
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1970.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1970.0;1.39910146902705
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1971.0;0.378425725321239
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1971.0;1.57671474561823
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1971.0;0.551881702429692
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1971.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1971.0;1.53768088079857
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1972.0;0.379821040262936
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1972.0;1.5804887925936
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1972.0;0.591208049263743
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1972.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1972.0;1.60360253190187
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1973.0;0.35414260427483
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1973.0;1.46495185605317
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1973.0;0.552416965620705
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1973.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1973.0;1.28176569220743
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1974.0;0.323505520903421
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1974.0;1.61214296281354
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1974.0;0.550408403677165
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1974.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1974.0;1.16932020422637
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1975.0;0.328013666448273
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1975.0;1.85592516667967
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1975.0;0.680132713639086
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1975.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1975.0;1.34064375330539
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1976.0;0.296894394753982
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1976.0;2.23569682332017
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1976.0;0.740757135822129
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1976.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1976.0;1.58290773700499
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1977.0;0.296062694498277
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1977.0;2.35760170655043
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1977.0;0.724615429411538
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1977.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1977.0;1.6173369746599
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Brazil;BRA;1978.0;0.313107885958558
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;China;CHN;1978.0;3.39294418076573
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;India;IND;1978.0;0.71647809547712
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;Russian Federation;RUS;1978.0;
Adjusted savings: carbon dioxide damage (% of GNI);NY.ADJ.DCO2.GN.ZS;South Africa;ZAF;1978.0;1.56586473804438
