SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1970.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1970.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1970.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1970.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1970.0;3316598674.68717
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1971.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1971.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1971.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1971.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1971.0;3622301658.24039
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1972.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1972.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1972.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1972.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1972.0;4511200021.12327
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1973.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1973.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1973.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1973.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1973.0;6239348867.30073
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1974.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1974.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1974.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1974.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1974.0;8747567732.17531
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1975.0;8492000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1975.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1975.0;4666099650.11734
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1975.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1975.0;8839265940.9847
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1976.0;9961000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1976.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1976.0;5410356406.96001
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1976.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1976.0;8559449992.557
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1977.0;11923000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1977.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1977.0;6249084080.69098
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1977.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1977.0;10494899990.874
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1978.0;12473000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1978.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1978.0;6517736182.71147
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1978.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1978.0;12993849988.701
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1979.0;15244000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1979.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1979.0;7597036165.3426
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1979.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1979.0;17690058600.7603
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1980.0;20132000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1980.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1980.0;8303140035.18869
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1980.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1980.0;26013394351.1982
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1981.0;23276000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1981.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1981.0;8437352246.94923
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1981.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1981.0;21008683395.4139
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1982.0;20173000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1982.0;21125000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1982.0;9226332695.77026
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1982.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1982.0;17753330395.5743
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1983.0;21898000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1983.0;20707000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1983.0;9769874984.70398
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1983.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1983.0;18684414751.9414
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1984.0;27002000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1984.0;23905000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1984.0;10191575182.5532
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1984.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1984.0;17170850800.6315
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1985.0;25634000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1985.0;25108000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1985.0;9465033878.33395
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1985.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1985.0;16263926781.5449
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1986.0;22348000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1986.0;25756000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1986.0;10248046787.9495
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1986.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1986.0;18032550277.5562
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1987.0;26210000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1987.0;34734000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1987.0;11884034801.0492
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1987.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1987.0;23626305610.4052
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1988.0;33773000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1988.0;41054000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1988.0;13509794583.1496
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1988.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1988.0;24367871049.8668
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1989.0;34375000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1989.0;43220000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1989.0;16143880745.9945
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1989.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1989.0;22676225043.8648
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1990.0;31408000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1990.0;51519000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1990.0;18286186694.1932
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1990.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1990.0;23726268780.4563
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1991.0;31619000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1991.0;58919000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1991.0;18094877655.5263
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1991.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1991.0;22934999182.7559
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1992.0;35793000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1992.0;69568000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1992.0;20019380807.3115
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1992.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1992.0;24539919850.4024
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1993.0;39624000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1993.0;75659000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1993.0;22015873054.1079
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1993.0;
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1993.0;26017308969.7067
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1994.0;44102000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1994.0;102561000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1994.0;25522526247.8387
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1994.0;66127690000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1994.0;26250591782.8762
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1995.0;46506000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1995.0;128109690000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1995.0;31238525605.8308
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1995.0;81175810000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1995.0;29783450232.3617
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1996.0;47746000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1996.0;151077000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1996.0;33737287502.5263
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1996.0;88500570000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1996.0;30426457917.2845
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1997.0;52991000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1997.0;82983000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1997.0;35702052076.1125
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1997.0;85945190000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1997.0;31166601219.4039
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1998.0;51121000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1998.0;78985000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1998.0;34075707693.1442
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1998.0;73742200000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1998.0;29198775557.6002
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;1999.0;48263000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;1999.0;83794000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;1999.0;36877276368.8489
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;1999.0;69656950000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;1999.0;28533997381.825
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;2000.0;55280007537.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;2000.0;111331687000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;2000.0;43246625499.6013
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;2000.0;99219930000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;2000.0;31949744260.4212
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;2001.0;58200091000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;2001.0;118463000000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;2001.0;44793193848.5628
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;2001.0;96552830000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;2001.0;31063633958.2532
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;2002.0;60349854000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;China;CHN;2002.0;145460205585.428
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;India;IND;2002.0;51141118293.6083
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Russian Federation;RUS;2002.0;102068250000.0
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;South Africa;ZAF;2002.0;31772111971.7126
Goods exports (BoP, current US$);BX.GSR.MRCH.CD;Brazil;BRA;2003.0;72992574087.0
