SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Brazil;BRA;1970.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;China;CHN;1970.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;India;IND;1970.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Russian Federation;RUS;1970.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;South Africa;ZAF;1970.0;3719798513.56851
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Brazil;BRA;1971.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;China;CHN;1971.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;India;IND;1971.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Russian Federation;RUS;1971.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;South Africa;ZAF;1971.0;4207225524.24421
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Brazil;BRA;1972.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;China;CHN;1972.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;India;IND;1972.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Russian Federation;RUS;1972.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;South Africa;ZAF;1972.0;3831688257.0972
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Brazil;BRA;1973.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;China;CHN;1973.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;India;IND;1973.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Russian Federation;RUS;1973.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;South Africa;ZAF;1973.0;5331308044.63265
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;Brazil;BRA;1974.0;
Goods imports (BoP, current US$);BM.GSR.MRCH.CD;China;CHN;1974.0;
