SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Brazil;BRA;1970.0;20.5420321064948
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;China;CHN;1970.0;32.8694767118481
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;India;IND;1970.0;16.6531413945703
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Russian Federation;RUS;1970.0;
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;South Africa;ZAF;1970.0;28.5573122529644
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Brazil;BRA;1971.0;21.1179144400702
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;China;CHN;1971.0;33.6378280760308
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;India;IND;1971.0;17.6045113708662
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Russian Federation;RUS;1971.0;
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;South Africa;ZAF;1971.0;30.9564739049715
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Brazil;BRA;1972.0;21.17081373715
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;China;CHN;1972.0;31.2483152562294
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;India;IND;1972.0;16.1359539181538
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Russian Federation;RUS;1972.0;
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;South Africa;ZAF;1972.0;26.5318552807894
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Brazil;BRA;1973.0;23.2440898268721
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;China;CHN;1973.0;32.9560233727596
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;India;IND;1973.0;19.0580369291081
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Russian Federation;RUS;1973.0;
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;South Africa;ZAF;1973.0;26.6551893753074
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Brazil;BRA;1974.0;25.388690127755
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;China;CHN;1974.0;33.206194444248
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;India;IND;1974.0;19.2437065951725
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Russian Federation;RUS;1974.0;
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;South Africa;ZAF;1974.0;30.031987205118
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Brazil;BRA;1975.0;26.83887314599
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;China;CHN;1975.0;35.0357185622635
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;India;IND;1975.0;18.9575187533961
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Russian Federation;RUS;1975.0;
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;South Africa;ZAF;1975.0;32.3422975945505
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;Brazil;BRA;1976.0;23.1162106570636
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;China;CHN;1976.0;33.2197606069732
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;India;IND;1976.0;19.1531791012955
