,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType_x,isGoal_x,cardType_y,isGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,shirtNo,name,position,isFirstEleven,pro,shortName
0,0,2701067793.0,2,0,0.0,338,0.0,0.0,0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,,,,,,,,,Spain,,,,,0.0,
1,1,2701067783.0,2,0,0.0,345,0.0,0.0,0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,,,,,,,,,England,,,,,0.0,
2,2,2701067801.0,3,0,0.0,345,52.5,34.0,0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.07'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,460260.0,28.35,35.768,,,,,,,,,,,,6.0,4.0,3.0,4.0,-0.01689528,0.01132376,-0.005571519999999998,England,26.0,Kobbie Mainoo,DMC,True,-24.170387529997527,K. Mainoo
3,3,2701067825.0,4,0,4.0,345,29.505000000000003,38.556000000000004,0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '82.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.91'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '100.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.4'}]","[91, 120, 128, 36, 38, 217, 218]",True,110189.0,105.0,8.432,,,,,,,,,,,,,,,,,,,England,1.0,Jordan Pickford,GK,True,0.0,J. Pickford
4,4,2701067917.0,4,0,33.0,338,5.25,37.332,0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '9.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.2'}, {'type': {'value': 124, 'displayName': 'GoalKick'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.93'}]","[91, 117, 30, 36, 38, 215, 218]",True,332823.0,9.450000000000001,18.632,,,,,,,,,,,,0.0,4.0,0.0,2.0,0.00941056,0.0088799,-0.0005306600000000005,Spain,23.0,Unai Simón,GK,True,0.0,U. Simón
5,5,2701067931.0,5,0,35.0,338,9.450000000000001,18.632,0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.47'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.9'}]","[91, 117, 30, 36, 38, 215, 218]",True,367008.0,24.044999999999998,3.3320000000000003,,,,,,,,,,,,0.0,2.0,2.0,0.0,0.0088799,0.00844854,-0.0004313600000000004,Spain,3.0,Robin Le Normand,DC,True,0.0,R. L. Normand
6,6,2701067953.0,6,0,39.0,338,29.61,3.3320000000000003,0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.25'}]","[91, 117, 30, 36, 37, 216, 218]",True,106883.0,46.095,7.616,,,,,,,,,,,,3.0,0.0,5.0,0.0,0.00977659,0.01248344,0.0027068500000000002,Spain,2.0,Dani Carvajal,DR,True,0.0,D. Carvajal
7,7,2701067955.0,7,0,40.0,338,46.095,7.616,0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[91],True,261212.0,,,,,,,,,,,,,,,,,,,,,Spain,10.0,Dani Olmo,AMC,True,0.0,D. Olmo
8,8,2701067963.0,8,0,41.0,338,54.705000000000005,9.656,0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.9'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.00'}]","[91, 120, 29, 36, 216, 218]",True,91213.0,58.695,9.656,,,,,,,,,,,,,,,,,,,Spain,7.0,Álvaro Morata,FW,True,0.0,Á. Morata
9,9,2701067951.0,6,0,41.0,345,39.9,55.21600000000001,0,FirstHalf,BlockedPass,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}]","[91, 60]",True,374631.0,,,,,,,,,,,,,,,,,,,,,England,6.0,Marc Guéhi,DC,True,0.0,M. Guéhi
