Rank,Mall,Country,City (metropolitan area),Year opened,Gross leasable area (GLA),Shops
1,Iran Mall,Iran,Tehran,2018,"1,950,000 m2 (21,000,000 sq ft)","2,500"
2,IOI City Mall,Malaysia,Putrajaya,2014,"821,000 m2 (8,840,000 sq ft)",650
3,South China Mall,China,Dongguan,2005,"659,612 m2 (7,100,000 sq ft)","2,350"
4,Isfahan City Center,Iran,Isfahan,2012,"650,000 m2 (7,000,000 sq ft)",350
5,SM Mall of Asia,Philippines,Pasay (Metro Manila),2006,"589,891 m2 (6,349,530 sq ft)","3,500"
6,SM Tianjin,China,Tianjin,2016,"565,000 m2 (6,080,000 sq ft)","1,000"
7,Golden Resources Mall,China,Beijing,2004,"557,419 m2 (6,000,010 sq ft)",750
8,Central WestGate,Thailand,Nonthaburi (Bangkok Metropolitan Region),2015,"550,278 m2 (5,923,140 sq ft)",500
9,CentralWorld,Thailand,Bangkok,1990,"550,000 m2 (5,900,000 sq ft)",600
10,ICONSIAM,Thailand,Bangkok,2018,"525,000 m2 (5,650,000 sq ft)",550
11,Mall of America,United States,"Bloomington, MN (Minneapolis–Saint Paul)",1992,"520,257 m2 (5,600,000 sq ft)",520
12,1 Utama,Malaysia,Petaling Jaya,1995,"519,328 m2 (5,590,000 sq ft)",503
13,SM City North EDSA,Philippines,Quezon City (Metro Manila),1985,"497,213 m2 (5,351,960 sq ft)","1,000"
14,Global Harbor,China,Shanghai,2013,"480,000 m2 (5,200,000 sq ft)",450
15,SM Megamall,Philippines,Mandaluyong (Metro Manila),1991,"474,000 m2 (5,100,000 sq ft)","1,000"
16,SM Seaside City Cebu,Philippines,Cebu City,2015,"470,486 m2 (5,064,270 sq ft)",700
17,Persian Gulf Complex,Iran,Shiraz,2011,"450,000 m2 (4,800,000 sq ft)",355
18,The Avenues Mall,Kuwait,Al Rai,2007,"425,000 m2 (4,570,000 sq ft)",1100
19,Sunway Pyramid,Malaysia,Subang Jaya,1997,"400,000 m2 (4,300,000 sq ft)",1000
19,New Century Global Center,China,Chengdu,2013,"400,000 m2 (4,300,000 sq ft)","2,300"
19,Dream Mall,Taiwan,Kaohsiung,2007,"400,000 m2 (4,300,000 sq ft)",250
19,Siam Paragon,Thailand,Bangkok,2005,"400,000 m2 (4,300,000 sq ft)",200
19,Central Phuket,Thailand,Phuket,2004,"400,000 m2 (4,300,000 sq ft)",250
19,Festival Alabang,Philippines,Muntinlupa (Metro Manila),1998,"400,000 m2 (4,300,000 sq ft)",250
25,Lotte World Mall,South Korea,Seoul,2014,"383,470 m2 (4,127,600 sq ft)",200
26,Jamuna Future Park,Bangladesh,Dhaka,2013,"380,000 m2 (4,100,000 sq ft)",200
26,Albrook Mall,Panama,Panama City,2002,"380,000 m2 (4,100,000 sq ft)",200
28,Mal Taman Anggrek,Indonesia,Jakarta,1996,"360,000 m2 (3,900,000 sq ft)",150
29,Fashion Island (Thailand),Thailand,Bangkok,1995,"350,000 m2 (3,800,000 sq ft)",150
29,West Edmonton Mall,Canada,"Edmonton, Alberta",1981,"350,000 m2 (3,800,000 sq ft)",800
29,The Dubai Mall,United Arab Emirates,Dubai,2008,"350,000 m2 (3,800,000 sq ft)",400
32,Lucky One Mall,Pakistan,Karachi,2017,"340,000 m2 (3,700,000 sq ft)",200
33,Gandaria City,Indonesia,Jakarta,2010,"336,279 m2 (3,619,680 sq ft)",250
34,Limketkai Center,Philippines,Cagayan de Oro,1992,"320,000 m2 (3,400,000 sq ft)",250
34,Berjaya Times Square,Malaysia,Kuala Lumpur,2003,"320,000 m2 (3,400,000 sq ft)",200
36,SM City Fairview,Philippines,Quezon City (Metro Manila),1997,"312,749 m2 (3,366,400 sq ft)",350
37,The Grand Central Mall,Pakistan,Faisalabad,Under-Construction,"310,000 m2 (3,300,000 sq ft)",0
38,Zhengjia Plaza (Grandview Mall),China,Guangzhou,2005,"280,000 m2 (3,000,000 sq ft)",180
38,Centro Mayor,Colombia,Bogota,2010,"280,000 m2 (3,000,000 sq ft)",250
38,American Dream Meadowlands,United States,"East Rutherford, NJ (New York City area)",2019,"280,000 m2 (3,000,000 sq ft)",200
38,Haikou International Duty Free City,China,"Haikou, Hainan",2022,"280,000 m2 (3,000,000 sq ft)",200
42,SM City Cebu,Philippines,Cebu City,1993,"273,804 m2 (2,947,200 sq ft)",680
43,"The Avenues, Bahrain",Bahrain,Bahrain Bay,2017,"273,000 m2 (2,940,000 sq ft)",680
44,Medan Centre Point,Indonesia,Medan,2013,"270,000 m2 (2,900,000 sq ft)",680
44,Mal Artha Gading,Indonesia,Jakarta,2004,"270,000 m2 (2,900,000 sq ft)",330
46,Mall of Arabia,Saudi Arabia,Jeddah,2010,"261,000 m2 (2,810,000 sq ft)",187
47,King of Prussia,United States,King of Prussia (Philadelphia metropolitan area),1963,"259,500 m2 (2,793,000 sq ft)",200
48,Greenwich Mall,Russia,Ekaterinburg,2006,"258,673 m2 (2,784,330 sq ft)",250
49,Tunjungan Plaza,Indonesia,Surabaya,1986,"253,187 m2 (2,725,280 sq ft)",250
50,Emporium Mall,Pakistan,Lahore,2016,"250,000 m2 (2,700,000 sq ft)",200
50,Centro Sambil,Venezuela,Caracas,1998,"250,000 m2 (2,700,000 sq ft)",300
50,Aventura Mall,United States,Aventura (Miami area),1983,"250,000 m2 (2,700,000 sq ft)",300
50,Glorietta,Philippines,Makati (Metro Manila),1991,"250,000 m2 (2,700,000 sq ft)",300
50,Greenbelt,Philippines,Makati (Metro Manila),1991,"250,000 m2 (2,700,000 sq ft)",300
50,South Coast Plaza,United States,Costa Mesa (Greater Los Angeles),1967,"250,000 m2 (2,700,000 sq ft)",286
50,Centro Comercial Santafé,Colombia,Bogota,2006,"250,000 m2 (2,700,000 sq ft)",150
