Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,General merchandisers,"572,754",2.4%,"2,300,000","Bentonville, Arkansas"
2,Amazon,Retail and Cloud Computing,"469,822",21.7%,"1,608,000","Seattle, Washington"
3,Apple,Electronics industry,"365,817",33.2%,"154,000","Cupertino, California"
4,CVS Health,Healthcare,"292,111",32.0%,"258,000","Woonsocket, Rhode Island"
5,UnitedHealth Group,Healthcare,"287,597",11.8%,"350,000","Minnetonka, Minnesota"
6,Exxon Mobil,Petroleum industry,"285,640",57.4%,"63,000","Spring, Texas"
7,Berkshire Hathaway,Conglomerate,"276,094",12.5%,"372,000","Omaha, Nebraska"
8,Alphabet,Technology,"257,637",41.2%,"156,000","Mountain View, California"
9,McKesson Corporation,Health,"238,228",3.1%,"67,500","Irving, Texas"
10,AmerisourceBergen,Pharmaceutical industry,"213,989",12.7%,"40,000","Chesterbrook, Pennsylvania"
11,Microsoft,Technology,"198,087",17.5%,"181,000","Redmond, Washington"
12,Costco,Retail,"195,929",17.5%,"288,000","Issaquah, Washington"
13,Cigna,Health Insurance,"174,078",8.5%,"72,963","Bloomfield, Connecticut"
14,AT&T,Conglomerate,"168,864",1.7%,"202,600","Dallas, Texas"
15,Cardinal Health,Healthcare,"162,467",6.2%,"46,827","Dublin, Ohio"
16,Chevron Corporation,Petroleum industry,"162,465",71.6%,"42,595","San Ramon, California"
17,The Home Depot,Retail,"151,157",14.4%,"490,600","Atlanta, Georgia"
18,Walgreens Boots Alliance,Pharmaceutical industry,"148,579",6.5%,"258,500","Deerfield, Illinois"
19,Marathon Petroleum,Petroleum industry,"141,032",58.5%,"17,700","Findlay, Ohio"
20,Elevance Health,Healthcare,"138,639",13.8%,"98,200","Indianapolis, Indiana"
21,Kroger,Retail,"137,888",4.1%,"420,000","Cincinnati, Ohio"
22,Ford Motor Company,Automotive industry,"136,341",7.2%,"183,000","Dearborn, Michigan"
23,Verizon Communications,Telecommunications,"133,613",4.1%,"118,400","New York City, New York"
24,JPMorgan Chase,Financial services,"127,202",1.8%,"271,025","New York City, New York"
25,General Motors,Automotive,"127,004",3.7%,"157,000","Detroit, Michigan"
26,Centene,Healthcare,"125,982",13.4%,"72,500","St. Louis, Missouri"
27,Meta Platforms,Technology,"117,385",37.2%,"71,970","Menlo Park, California"
28,Comcast,Telecommunications,"116,385",12.4%,"189,000","Philadelphia, Pennsylvania"
29,Phillips 66,Petroleum industry,"114,852",75.4%,"14,000","Houston, Texas"
30,Valero Energy,Petroleum industry,"108,332",80.2%,"9,804","San Antonio, Texas"
31,Dell Technologies,Technology,"106,995",13.6%,"133,000","Round Rock, Texas"
32,Target Corporation,Retail,"106,005",13.3%,"450,000","Minneapolis, Minnesota"
33,Fannie Mae,Financials,"101,543",4.6%,"7,400","Washington, D.C."
