,Artificial object,Country,Year,Mass (lb),Mass (kg),Status,Location
0,Luna 2,Soviet Union,1959,860,390,Intentionally crashed,29°06′N 0°00′E﻿ / ﻿29.1°N 0°E
1,Luna 2 Third stage of Vostok rocket,Soviet Union,1959,20100,9100,Intentionally crashed,29°06′N 0°00′E﻿ / ﻿29.1°N 0°E
2,Ranger 4,United States,1962,730,331,Intentionally crashed,15°30′S 130°42′W﻿ / ﻿15.5°S 130.7°W
3,Ranger 6,United States,1964,840,381,Intentionally crashed,9°21′29″N 21°28′48″E﻿ / ﻿9.358°N 21.480°E
4,Ranger 7,United States,1964,805,365,Intentionally crashed,10°38′S 20°36′W﻿ / ﻿10.63°S 20.60°W
5,Luna 5,Soviet Union,1965,3250,1474,Crashed,8°N 23°W﻿ / ﻿8°N 23°W
6,Luna 7,Soviet Union,1965,3316,1504,Crashed,9°48′N 47°48′W﻿ / ﻿9.8°N 47.8°W
7,Luna 8,Soviet Union,1965,220,100,Crashed,9°06′N 63°18′W﻿ / ﻿9.1°N 63.3°W
8,Ranger 8,United States,1965,809,367,Intentionally crashed,2°38′17″N 24°47′13″E﻿ / ﻿2.638°N 24.787°E
9,Ranger 9,United States,1965,809,367,Intentionally crashed,12°49′41″S 2°23′13″W﻿ / ﻿12.828°S 2.387°W
10,Luna 9,Soviet Union,1966,220,100,Landed,7°05′N 64°22′W﻿ / ﻿7.08°N 64.37°W
11,Luna 10,Soviet Union,1966,3500,1600,Crashed (post-mission),Unknown[a]
12,Luna 11,Soviet Union,1966,3620,1640,Crashed,Unknown[a]
13,Luna 12,Soviet Union,1966,3680,1670,Crashed,Unknown[a]
14,Surveyor 1,United States,1966,600,270,Landed,2°28′26″S 43°20′20″W﻿ / ﻿2.474°S 43.339°W
15,Luna 13,Soviet Union,1966,249,113,Landed,18°52′N 62°03′W﻿ / ﻿18.87°N 62.05°W
16,Lunar Orbiter 1,United States,1966,851,386,Crashed (post-mission),6°42′N 162°00′E﻿ / ﻿6.70°N 162°E
17,Surveyor 2,United States,1966,644,292,Crashed,5°30′N 12°00′W﻿ / ﻿5.5°N 12°W
18,Lunar Orbiter 2,United States,1966,849,385,Crashed (post-mission),3°00′N 119°00′E﻿ / ﻿3.0°N 119°E
19,Lunar Orbiter 3,United States,1966,851,386,Crashed (post-mission),14°18′N 97°42′W﻿ / ﻿14.3°N 97.7°W
20,Surveyor 3,United States,1967,619,281,Landed[b],3°00′54″S 23°25′05″W﻿ / ﻿3.015°S 23.418°W
21,Lunar Orbiter 4,United States,1967,851,386,Crashed (post-mission),Unknown[a]
22,Surveyor 4,United States,1967,624,283,Crashed,0°24′N 1°20′W﻿ / ﻿0.4°N 1.33°W
23,Explorer 35,United States,1967,229,104,Crashed (post mission),Unknown[a]
24,Lunar Orbiter 5,United States,1967,851,386,Crashed (post-mission),3°S 83°W﻿ / ﻿3°S 83°W
25,Surveyor 5,United States,1967,619,281,Landed,1°27′40″N 23°11′42″E﻿ / ﻿1.461°N 23.195°E
26,Surveyor 6,United States,1967,622,282,Landed,0°29′N 1°24′W﻿ / ﻿0.49°N 1.40°W
27,Surveyor 7,United States,1968,640,290,Landed,40°52′S 11°28′W﻿ / ﻿40.86°S 11.47°W
28,Luna 14,Soviet Union,1968,3680,1670,Crashed,Unknown[a]
29,Apollo 10 LM-4 Snoopy descent stage,United States,1969,4874,2211,Likely Crashed (post-mission),Unknown[a]
30,Apollo 11 LM-5 Eagle descent stage,United States,1969,4484,2034,Landed,0°40′27″N 23°28′23″E﻿ / ﻿0.6741°N 23.4730°E
31,Luna 15,Soviet Union,1969,5992,2718,Crashed,Unknown
32,Apollo 11 LM-5 Eagle ascent stage[c],United States,1969,4815,2184,Crashed into moon or in Orbit,Unknown
33,Apollo 12 LM-6 Intrepid descent stage,United States,1969,4874,221,Landed,3°00′45″S 23°25′18″W﻿ / ﻿3.0124°S 23.4216°W
