Competitions,Rank,NOC,Gold,Silver,Bronze,Total
Archery,1, South Korea,5,1,1,7
Archery,2, France*,0,1,1,2
Archery,3, United States,0,1,1,2
Archery,4, China,0,1,0,1
Archery,5, Germany,0,1,0,1
Archery,6, Mexico,0,0,1,1
Archery,7, Turkey,0,0,1,1
Artistic swimming,1, China,2,0,0,2
Artistic swimming,2, Great Britain,0,1,0,1
Artistic swimming,3, United States,0,1,0,1
Artistic swimming,4, Netherlands,0,0,1,1
Artistic swimming,5, Spain,0,0,1,1
Athletics,1, United States,14,11,9,34
Athletics,2, Kenya,4,2,5,11
Athletics,3, Canada,3,1,1,5
Athletics,4, Netherlands,2,1,3,6
Athletics,5, Spain,2,1,1,4
Athletics,6, Norway,2,1,0,3
Athletics,7, Great Britain,1,4,5,10
Athletics,8, Jamaica,1,3,2,6
Athletics,9, Ethiopia,1,3,0,4
Athletics,10, Australia,1,2,4,7
Athletics,11, Germany,1,2,1,4
Athletics,12, China,1,1,2,4
Athletics,13, Belgium,1,1,1,3
Athletics,14, Bahrain,1,1,0,2
Athletics,15, Botswana,1,1,0,2
Athletics,16, Ecuador,1,1,0,2
Athletics,17, New Zealand,1,1,0,2
Athletics,18, Saint Lucia,1,1,0,2
Athletics,19, Uganda,1,1,0,2
Athletics,20, Ukraine,1,0,2,3
Athletics,21, Greece,1,0,1,2
Athletics,22, Dominica,1,0,0,1
Athletics,23, Dominican Republic,1,0,0,1
Athletics,24, Japan,1,0,0,1
Athletics,25, Morocco,1,0,0,1
Athletics,26, Pakistan,1,0,0,1
Athletics,27, Sweden,1,0,0,1
Athletics,28, South Africa,0,2,0,2
Athletics,29, Italy,0,1,2,3
Athletics,30, Brazil,0,1,1,2
Athletics,31, France*,0,1,0,1
Athletics,32, Hungary,0,1,0,1
Athletics,33, India,0,1,0,1
Athletics,34, Lithuania,0,1,0,1
Athletics,35, Portugal,0,1,0,1
Athletics,36, Grenada,0,0,2,2
Athletics,37, Algeria,0,0,1,1
Athletics,38, Croatia,0,0,1,1
Athletics,39, Czech Republic,0,0,1,1
Athletics,40, Poland,0,0,1,1
Athletics,41, Puerto Rico,0,0,1,1
Athletics,42, Qatar,0,0,1,1
Athletics,43, Zambia,0,0,1,1
Badminton,1, China,2,3,0,5
Badminton,2, South Korea,1,1,0,2
Badminton,3, Chinese Taipei,1,0,0,1
Badminton,4, Denmark,1,0,0,1
Badminton,5, Thailand,0,1,0,1
Badminton,6, Japan,0,0,2,2
Badminton,7, Malaysia,0,0,2,2
Badminton,8, Indonesia,0,0,1,1
Basketball,1, United States,2,0,1,3
Basketball,2, Germany,1,0,0,1
Basketball,3, Netherlands,1,0,0,1
Basketball,4, France*,0,3,0,3
Basketball,5, Spain,0,1,0,1
Basketball,6, Australia,0,0,1,1
Basketball,7, Lithuania,0,0,1,1
Basketball,8, Serbia,0,0,1,1
Boxing,1, Uzbekistan,5,0,0,5
Boxing,2, China,3,2,0,5
Boxing,3, Chinese Taipei,1,0,2,3
Boxing,4, Cuba,1,0,1,2
