Country,Population 2024,Population 2023,Area (km2),Density (/km2),Growth Rate,World %,World Rank
India,1441719852,1428627663,3M,485.0,0.0092,0.1801,1
China,1425178782,1425671352,9.4M,151.0,-0.0003,0.178,2
United States,341814420,339996563,9.1M,37.0,0.0053,0.0427,3
Indonesia,279798049,277534122,1.9M,149.0,0.0082,0.035,4
Pakistan,245209815,240485658,770.9K,318.0,0.0196,0.0306,5
Nigeria,229152217,223804632,910.8K,252.0,0.0239,0.0286,6
Brazil,217637297,216422446,8.4M,26.0,0.0056,0.0272,7
Bangladesh,174701211,172954319,130.2K,1342.0,0.0101,0.0218,8
Russia,143957079,144444359,16.4M,9.0,-0.0034,0.018,9
Ethiopia,129719719,126527060,1.1M,115.0,0.0252,0.0162,10
Mexico,129388467,128455567,1.9M,67.0,0.0073,0.0162,11
Japan,122631432,123294513,364.5K,336.0,-0.0054,0.0153,12
Philippines,119106224,117337368,298.2K,399.0,0.0151,0.0149,13
Egypt,114484252,112716598,1M,115.0,0.0157,0.0143,14
DR Congo,105625114,102262808,2.3M,47.0,0.0329,0.0132,15
Vietnam,99497680,98858950,313.4K,317.0,0.0065,0.0124,16
Iran,89809781,89172767,1.6M,55.0,0.0071,0.0112,17
Turkey,86260417,85816199,783.6K,110.0,0.0052,0.0108,18
Germany,83252474,83294633,349.4K,238.0,-0.0005,0.0104,19
Thailand,71885799,71801279,510.9K,141.0,0.0012,0.009,20
Tanzania,69419073,67438106,885.8K,78.0,0.0294,0.0087,21
United Kingdom,67961439,67736802,241.9K,281.0,0.0033,0.0085,22
France,64881830,64756584,547.6K,118.0,0.0019,0.0081,23
South Africa,61020221,60414495,1.2M,50.0,0.01,0.0076,24
Italy,58697744,58870762,295.7K,198.0,-0.0029,0.0073,25
Kenya,56203030,55100586,569.1K,99.0,0.02,0.007,26
Myanmar,54964694,54577997,652.7K,84.0,0.0071,0.0069,27
Colombia,52340774,52085168,1.1M,47.0,0.0049,0.0065,28
South Korea,51741963,51784059,97.6K,530.0,-0.0008,0.0065,29
Uganda,49924252,48582334,200.5K,249.0,0.0276,0.0062,30
Sudan,49358228,48109006,1.9M,26.0,0.026,0.0062,31
Spain,47473373,47519628,499.6K,95.0,-0.001,0.0059,32
Iraq,46523657,45504560,434.1K,107.0,0.0224,0.0058,33
Algeria,46278751,45606480,2.4M,19.0,0.0147,0.0058,34
Argentina,46057866,45773884,2.7M,17.0,0.0062,0.0058,35
Afghanistan,43372950,42239854,652.2K,66.0,0.0268,0.0054,36
Poland,40221726,41026067,306.1K,131.0,-0.0196,0.005,37
Canada,39107046,38781291,9M,4.0,0.0084,0.0049,38
Morocco,38211459,37840044,446.3K,86.0,0.0098,0.0048,39
