City,Country,Continent,Population (2024),Population (2023),Growth Rate
Tokyo,Japan,Asia,37115035,37194105,-0.0021
Delhi,India,Asia,33807403,32941309,0.0263
Shanghai,China,Asia,29867918,29210808,0.0225
Dhaka,Bangladesh,Asia,23935652,23209616,0.0313
Sao Paulo,Brazil,South America,22806704,22619736,0.0083
Cairo,Egypt,Africa,22623874,22183201,0.0199
Mexico City,Mexico,North America,22505315,22281442,0.01
Beijing,China,Asia,22189082,21766214,0.0194
Mumbai,India,Asia,21673149,21296517,0.0177
Osaka,Japan,Asia,18967459,19013434,-0.0024
Chongqing,China,Asia,17773923,17340704,0.025
Karachi,Pakistan,Asia,17648555,17236230,0.0239
Kinshasa,DR Congo,Africa,17032322,16315534,0.0439
Lagos,Nigeria,Africa,16536018,15945912,0.037
Istanbul,Turkey,Asia,16047350,15847768,0.0126
Buenos Aires,Argentina,South America,15618288,15490415,0.0083
Kolkata,India,Asia,15570786,15332793,0.0155
Manila,Philippines,Asia,14941953,14667089,0.0187
Guangzhou,China,Asia,14590096,14284353,0.0214
Tianjin,China,Asia,14470873,14238643,0.0163
Lahore,Pakistan,Asia,14407074,13979390,0.0306
Bangalore,India,Asia,14008262,13607800,0.0294
Rio De Janeiro,Brazil,South America,13824347,13727720,0.007
Shenzhen,China,Asia,13311855,13072633,0.0183
Moscow,Russia,Asia,12712305,12680389,0.0025
Chennai,India,Asia,12053697,11776147,0.0236
Bogota,Colombia,South America,11658211,11507960,0.0131
Jakarta,Indonesia,Asia,11436004,11248839,0.0166
Lima,Peru,South America,11361938,11204382,0.0141
Paris,France,Europe,11276701,11208440,0.0061
Bangkok,Thailand,Asia,11233869,11069982,0.0148
Hyderabad,India,Asia,11068877,10801163,0.0248
Seoul,South Korea,Asia,10004840,9988049,0.0017
Nanjing,China,Asia,9947548,9698464,0.0257
Chengdu,China,Asia,9828110,9653772,0.0181
London,United Kingdom,Asia,9748033,9648110,0.0104
Luanda,Angola,Africa,9651032,9292336,0.0386
Tehran,Iran,Asia,9616007,9499781,0.0122
Ho Chi Minh City,Vietnam,Asia,9567656,9320866,0.0265
Nagoya,Japan,Asia,9556879,9569328,-0.0013
Xi An Shaanxi,China,Asia,9013837,8785174,0.026
Ahmedabad,India,Asia,8854444,8650605,0.0236
Wuhan,China,Asia,8850850,8718250,0.0152
Kuala Lumpur,Malaysia,Asia,8815630,8621724,0.0225
Hangzhou,China,Asia,8419842,8237206,0.0222
Suzhou,China,Asia,8350625,8074031,0.0343
Surat,India,Asia,8330528,8064949,0.0329
Dar Es Salaam,Tanzania,Africa,8161231,7775865,0.0496
New York,United States,North America,7931147,8133522,-0.0249
Baghdad,Iraq,Asia,7921134,7711305,0.0272
Shenyang,China,Asia,7830377,7680967,0.0195
Riyadh,Saudi Arabia,Asia,7820551,7682430,0.018
Hong Kong,Hong Kong,Asia,7725859,7684801,0.0053
Foshan,China,Asia,7704935,7597386,0.0142
Dongguan,China,Asia,7675146,7587049,0.0116
Pune,India,Asia,7345848,7166374,0.025
Santiago,Chile,South America,6950952,6903392,0.0069
Haerbin,China,Asia,6938008,6803811,0.0197
Madrid,Spain,Europe,6783241,6751374,0.0047
Khartoum,Sudan,Africa,6542070,6344348,0.0312
Toronto,Canada,North America,6431430,6371958,0.0093
Johannesburg,South Africa,Africa,6324351,6198016,0.0204
Belo Horizonte,Brazil,South America,6300409,6247889,0.0084
Dalian,China,Asia,6217487,6077995,0.023
Singapore,Singapore,Asia,6119203,6080859,0.0063
Qingdao,China,Asia,6104597,5986525,0.0197
Zhengzhou,China,Asia,6014887,5859272,0.0266
Ji Nan Shandong,China,Asia,5940698,5806031,0.0232
Abidjan,Ivory Coast,Africa,5866704,5686350,0.0317
Barcelona,Spain,Europe,5711917,5687356,0.0043
Yangon,Myanmar,Asia,5709678,5610241,0.0177
Addis Ababa,Ethiopia,Africa,5703628,5460591,0.0445
Alexandria,Egypt,Africa,5696131,5588477,0.0193
Saint Petersburg,Russia,Asia,5581707,5561294,0.0037
Nairobi,Kenya,Africa,5541172,5325160,0.0406
Chittagong,Bangladesh,Asia,5513609,5379660,0.0249
Guadalajara,Mexico,North America,5499678,5419880,0.0147
Fukuoka,Japan,Asia,5478076,5490271,-0.0022
Ankara,Turkey,Asia,5477087,5397098,0.0148
Hanoi,Vietnam,Asia,5431801,5253385,0.034
Melbourne,Australia,Oceana,5315600,5235407,0.0153
Monterrey,Mexico,North America,5195355,5116647,0.0154
Sydney,Australia,Oceana,5184896,5120894,0.0125
Changsha,China,Asia,5027975,4921487,0.0216
Urumqi,China,Asia,5005964,4865038,0.029
Cape Town,South Africa,Africa,4977833,4890280,0.0179
Jiddah,Saudi Arabia,Asia,4943210,4862941,0.0165
