Name,Action,2018/19,2019/20,2020/21,2021/22,2022/23,May2023/24
Algeria,consumption,"2,080","2,124","1,936","1,889","1,682","1,897"
Algeria,ending,420,430,387,377,336,375
Algeria,export,208,334,364,366,360,365
Algeria,import,"2,328","2,468","2,257","2,245","2,001","2,301"
Argentina,production,"1,570","1,750","1,830","1,700","1,670","1,690"
Australia,export,"3,735","3,600","3,400","3,120","3,270","3,600"
Australia,production,"4,725","4,285","4,335","4,120","4,200","4,400"
Bangladesh,consumption,"2,519","2,480","2,416","2,769","2,428","2,680"
Bangladesh,ending,510,495,485,553,485,540
Bangladesh,import,"2,429","2,397","2,351","2,807","2,330","2,700"
Brazil,consumption,"10,600","10,650","10,150","9,500","9,500","9,542"
Brazil,ending,220,590,340,340,690,760
Brazil,export,"19,600","19,280","32,150","25,950","28,200","32,398"
Brazil,production,"29,500","30,300","42,050","35,450","38,050","42,010"
Canada,ending,265,250,280,272,295,315
Canada,import,"1,268","1,245","1,389","1,319","1,465","1,540"
Chile,import,449,648,532,654,640,640
China,consumption,"15,800","15,400","15,500","14,800","15,500","15,600"
China,ending,"5,408","4,027","5,374","5,014","2,712","1,862"
China,export,205,189,132,160,202,250
China,import,"4,086","3,808","6,379","5,000","4,400","5,000"
China,production,"10,760","10,400","10,600","9,600","9,000","10,000"
Colombia,consumption,"1,858","1,862","1,850","1,865","1,880","1,890"
Colombia,export,801,778,669,663,670,680
Colombia,production,"2,400","2,350","2,240","2,300","2,300","2,350"
Costa_Rica,ending,278,290,299,325,335,330
Ecuador,ending,389,351,324,359,344,339
Egypt,consumption,"3,100","3,250","3,340","3,430","3,320","3,400"
Egypt,export,200,300,300,300,300,300
Egypt,import,860,830,830,830,830,930
Egypt,production,"2,405","2,740","2,780","2,855","2,760","2,785"
El_Salvador,export,532,508,529,546,524,544
El_Salvador,production,788,827,784,807,785,805
Eswatini,export,582,778,634,524,545,581
Ethiopia,consumption,832,787,"1,642","2,057","1,825","1,965"
Ethiopia,ending,165,160,330,410,365,390
Ethiopia,import,532,432,"1,462","1,737","1,340","1,550"
European_Union,consumption,"17,000","17,000","16,700","17,000","17,000","17,000"
European_Union,ending,"1,260","2,076","1,106","1,384","1,370","1,440"
