"State/UT","Area","Ever tobacco users (%)","Current tobacco users (%)","Ever tobacco smokers (%)","Current tobacco smokers (%)","Ever cigarette users (%)","Current cigarette users (%)","Ever bidi users (%) ","Current bidi users (%)","Ever smokeless tobacco users (%)","Current smokeless tobacco users (%)","Ever users of  paan masala together with tobacco (%)","Never cigarette smokers susceptible to cigarette use in future (%)","Median age of initiation of Cigarette (in years)","Median age of initiation of Bidi (in years)","Median age of initiation of smokeless tobacco (in years)","Awareness about e-cigarette (%)","Ever e-cigarette use (%)","Ever tobacco smokers who quit in last 12 months (%)","Current tobacco smokers who tried to quit smoking in the past 12 months (%)","Current tobacco smokers who wanted to quit smoking now   (%)","Ever  smokeless tobacco users who quit  in last 12 months (%)","Current smokeless tobacco users who tried to quit tobacco in the past 12 months   (%)","Current  smokeless tobacco users who wanted to quit tobacco now     (%)","Exposure to tobacco smoke at home/public place (%)","Exposure to tobacco smoke at home   (%)","Exposure to tobacco smoke inside any enclosed public  places  (%)","Exposure to tobacco smoke at any outdoor public places  (%)","Students who saw anyone smoking inside the  school building or outside school property (%)","Major source of tobacco product- Cigarette: Store   (%)","Major source of tobacco product- Cigarette: Paan shop (%)","Major source of tobacco product- Bidi: Store   (%)","Major source of tobacco product- Bidi: Paan shop (%)","Major source of tobacco product- Smokeless tobacco: Store   (%)","Major source of tobacco product- Smokeless tobacco: Paan shop  (%)","Current cigarette smokers who bought cigarettes from a store, paan shop, street vendor, or vending machine       (%)","Current bidi smokers who bought bidi from a store, paan shop, or street vendor (%)","Refused sale of cigarette because of age in past 30 days   (%)","Refused sale of bidi because of age in past 30 days   (%)","Refused sale of smokeless tobacco because of age in past 30 days    (%)","Bought Cigarette as individual sticks in past 30 days    (%)","Bought Bidi as individual sticks in past 30 days     (%)","Students who noticed anti-tobacco messages anywhere in past 30 days    (%)","Students who noticed anti-tobacco messages in mass media in past 30 days    (%)","Students who noticed anti-tobacco messages at sporting,  fairs, concerts, community events or social gatherings in past 30 days   (%)","Students who noticed health warnings on any tobacco product/cigarette packages in past 30 days       (%)","Students who saw tobacco advertisements anywhere in past 30 days  (%)","Students who saw anyone using tobacco on mass media in past 30 days  (%)","Students who noticed cigarette advertisements/promotions at point of sale in past 30 days (%)","Students who were taught in class about harmful effects of tobacco use during past 12 months (%)","Students who thought it is difficult to quit once someone starts smoking tobacco (%)","Students who thought other people’s tobacco smoking is harmful to them (%)","Students who favoured ban on smoking inside enclosed public places (%)","Students who favoured ban on smoking at outdoor public places (%)","School heads aware of COTPA, 2003  (%)","Schools authorized by the state government to collect fine for violation under Section-6 of the COTPA, 2003  (%)","Schools followed ‘tobacco-free school’ guidelines  (%)","Schools aware of the policy for displaying ‘tobacco-free school’ board  (%)"
"India","Total","18.1","8.5","11.0","7.3","4.6","2.6","4.1","2.1","12.5","4.1","4.3","8.4","11.5","10.5","9.9","26.9","2.8","10.6","20.0","20.6","9.4","26.7","24.8","29.5","11.2","21.2","23.4","28.8","39.7","25.2","50.5","27.5","42.0","22.2","69.4","77.6","54.7","52.7","67.0","38.7","28.9","71.3","52.3","35.2","25.2","60.6","52.8","17.5","37.8","26.0","70.6","58.1","60.5","85.4","38.2","82.1","82.5"
"India","Urban","13.5","5.5","8.1","4.5","4.1","2.3","3.7","1.9","8.5","2.1","2.7","6.8","11.2","10.0","10.5","24.7","3.2","14.6","29.3","25.7","13.7","23.7","24","33.4","9.0","24.6","26.8","27.1","31.7","27.4","35.0","43.5","37.9","36.0","69.8","75.2","56.3","61.7","50","37.3","23.1","74.6","57.1","36.6","26.0","64.6","58.6","16.3","34.1","30.1","73.3","64.8","67.4","86.9","36.4","82.4","83.0"
"India","Rural","19.5","9.4","11.8","8.1","4.7","2.6","4.3","2.2","13.7","4.6","4.7","8.9","11.6","10.7","9.7","27.5","2.6","9.8","18.6","19.8","8.7","27.0","24.9","28.3","11.8","20.3","22.5","29.3","41.7","24.7","54.0","23.8","42.9","18.9","69.3","78.1","54.3","50.6","69.5","39.0","30.2","70.3","50.9","34.8","25.0","59.4","51.1","17.8","38.9","24.8","69.8","56.1","58.6","84.6","39.2","81.9","82.2"
"Andaman and Nicobar Islands","Total","21.5","4.4","8.8","3.7","4.4","1.3","2.7","1.0","17.2","1.4","7.1","10.2","12.0","12.3","11.4","13.6","1.6","19.8","32.9","30.9","4.6","16.3","11.1","35.6","7.0","26.9","26.9","29.0","29.5","29.4","28.0","18.7","44.3","41.5","42.3","37.5","59.8","63.2","12.2","42.2","45.1","74.0","57.9","40.1","29.2","57.4","46.2","21.1","23.4","23.0","69.0","65.0","60.6","88.6","1.1","76.0","67.9"
"Andaman and Nicobar Islands","Urban","13.3","3.4","6.5","2.6","3.7","1.3","2.0","0.7","9.0","1.3","2.1","7.3","12.4","13.8","12.3","10.0","1.1","10.7","24.2","24.2","9.8","18.6","5.0","36.2","5.1","25.2","28.6","24.4","23.2","29.9","0.0","13.6","38.6","35.5","59.4","40.3","56.3","27.2","0.0","54.6","41.9","66.8","46.8","28.8","26.4","57.4","47.6","20.2","25.7","26.9","66.6","65.1","60.9","89.1","0.0","85.3","42.5"
"Andaman and Nicobar Islands","Rural","26.8","5.1","10.2","4.4","4.8","1.4","3.2","1.3","22.5","1.4","10.4","12.5","11.8","11.8","11.3","15.8","2.0","23.5","36.1","33.5","3.3","15.0","14.7","35.2","8.3","27.9","25.8","32.0","33.8","29.0","47.2","22.2","51.2","48.8","32.3","36.6","61.8","79.6","20.4","33.8","47.2","78.7","64.9","47.4","31.1","57.4","45.3","21.7","22.0","20.5","70.6","65.0","60.4","88.0","2.4","64.2","100.0"
"Andhra Pradesh","Total","7.3","2.6","4.4","1.8","2.6","1.1","2.3","0.8","4.4","1.1","0.9","4.1","12.6","11.0","12.0","16.5","0.7","12.8","36.6","30.4","12.2","23.4","36.5","31.8","7.2","22.5","25.0","16.2","52.9","17.4","67.4","14.8","44.4","34.5","71.4","80.0","31.9","58.8","49.2","37.0","55.4","65.2","49.9","27.6","22.2","67.6","65.8","9.1","22.9","30.6","72.9","50.2","50.8","48.5","9.1","51.5","36.4"
"Andhra Pradesh","Urban","4.5","0.7","2.0","0.7","1.2","0.4","1.2","0.3","3.1","0","0.3","3.4","12.8","14.4","<7","17.7","0.4","7.4","53.6","59.9","1.2","85.9","85.9","26.0","3.6","18.1","20.2","13.6","82.9","5.2","69.3","6.3","0.0","0.0","69.4","75.6","16.6","26.0","50.0","51.0","30.7","65.6","53.1","29.0","20.2","74.7","73.7","10.6","18.4","34.8","78.2","64.1","62.4","58.3","8.3","50.0","41.7"
"Andhra Pradesh","Rural","8.8","3.5","5.6","2.4","3.4","1.4","2.9","1.0","5.1","1.6","1.2","4.4","12.5","10.8","12.1","15.9","0.9","13.9","34.1","26.0","15.6","22.6","35.8","34.9","9.1","24.8","27.5","17.6","48.8","19.1","67.0","16.3","45.0","34.9","71.8","80.7","34.2","65.3","49.2","35.1","59.8","64.9","48.2","26.9","23.3","63.8","61.6","8.3","25.3","28.5","70.1","42.9","44.7","42.9","9.5","52.4","33.3"
"Arunachal Pradesh","Total","63.1","57.9","59.2","53.5","47.9","45.9","48.8","45.9","41.7","40.7","12.2","25.6","8.7","8.6","8.5","25.9","16.6","22.6","35.1","23.8","17.8","20.4","16.8","69.7","31.4","67.9","64.1","62.8","64.2","24.1","65.3","16.3","74.5","11.8","94.3","87.7","70.6","68.4","65.1","15.9","21.4","94.4","70.4","71.0","63.1","62.7","50.7","19.0","20.9","15.6","47.1","67.6","69.6","63.6","50.0","50.0","63.6"
