TransactionID,Date,MobileModel,Brand,Price,UnitsSold,TotalRevenue,CustomerAge,CustomerGender,Location,PaymentMethod
79397f68-61ed-4ea8-bcb2-f918d4e6c05b,2024-01-06,direction,Green Inc,1196.95,85,28002.8,32,Female,Port Erik,Online
4f87d114-f522-4ead-93e3-f336402df6aa,2024-04-05,right,Thomas-Thompson,1010.34,64,2378.82,55,Female,East Linda,Credit Card
6750b7d6-dcc5-48c5-a76a-b6fc9d540fe1,2024-02-13,summer,Sanchez-Williams,400.8,95,31322.56,57,Male,East Angelicastad,Online
7da7de95-f772-4cc2-bce0-b0873f98233e,2024-04-17,keep,Greer and Sons,338.6,79,31159.75,46,Other,East Kevin,Cash
469044af-0d60-4d87-af66-c6603e844057,2024-06-02,option,Brown and Sons,839.79,41,11523.36,38,Male,New Lindaborough,Online
f7e98db9-cb87-453e-8179-e48ba5443932,2024-03-07,idea,"Massey, Nicholson and Young",1498.13,70,9703.89,45,Female,Port Daryl,Debit Card
61f1c03f-5527-49bf-88f6-0d8694e72d41,2024-07-13,southern,Coleman-Pena,975.77,63,8300.22,23,Other,Kathrynborough,Online
55d74ccb-e3c0-4ceb-a102-6d553736b944,2024-03-18,top,"Brock, Cruz and Santiago",530.7,79,4515.8,26,Female,Kyleborough,Online
889bd479-e06a-494d-baae-e099bea5469c,2024-04-12,anything,"Griffin, Boyle and Dawson",178.52,58,36150.93,20,Female,Jacquelinestad,Debit Card
567c276b-fec4-47e4-b5be-71f2b79bd745,2024-04-19,wall,"Arroyo, Jones and Clayton",774.79,92,24228.27,33,Male,South Jessicachester,Online
f7d25e75-e7e6-4b61-8879-63121787a1dd,2024-07-13,happen,"Carlson, Mcdonald and Hatfield",806.59,22,2327.26,41,Other,Allisonview,Cash
c28cafd9-08a6-4a72-8a89-b05d82993315,2024-02-18,very,Mckenzie LLC,317.64,21,100809.36,62,Female,Samanthafurt,Debit Card
1a9dfe22-c8d8-4872-8cb3-1e7d37c492a9,2024-01-27,nothing,Cross Inc,1460.22,49,14547.5,37,Other,West Amy,Online
740bd70e-8837-4f7f-8621-45d98a0788ea,2024-02-16,her,Jackson-Garza,761.48,45,36463.14,43,Female,Harrishaven,Debit Card
72122aaf-4049-4799-9c5e-56fa0bda637a,2024-07-02,admit,Neal-Francis,965.15,76,112966.65,53,Other,Brandonfort,Online
41e73345-7161-4b86-9922-848a9ca80bf9,2024-06-05,action,Shaw-Farmer,1354.69,10,38613.38,38,Male,Griffinland,Online
21c8f1ad-417b-46a8-8bec-ccfe5d9b18f9,2024-05-01,treatment,"Best, Ross and Smith",1025.05,97,3751.67,31,Other,Joetown,Debit Card
f0e76c4a-2a03-4c2d-821c-114e2877fa0d,2024-07-13,have,Burton LLC,1071.99,22,34368.64,56,Female,Port Mikehaven,Cash
a1dae876-8ee4-4d2e-ac91-35d2536426cf,2024-06-12,role,"Byrd, Thompson and Rhodes",1415.74,65,28099.3,35,Other,Sharonmouth,Debit Card
5a907002-ba75-4125-879a-217705dd56fd,2024-04-30,themselves,Taylor-Hutchinson,307.58,11,12066.0,25,Male,Hendersonfort,Cash
01ba7cfd-dc66-4825-9d40-3575f752c1cc,2024-01-02,wait,"Graves, Turner and Crawford",678.72,60,86889.63,59,Female,South Edward,Online
e2b513d1-e3c2-4592-b59e-735b9c1fc2c1,2024-05-12,class,Villanueva-Ramirez,1092.94,54,2833.22,60,Female,Lake Corey,Online
0e6b5315-5a90-4d0c-a4db-4b05d041c7e6,2024-02-27,wear,Miller-Price,182.24,71,70443.92,52,Female,Oconnellmouth,Cash
bba8307d-a14f-4411-a2b1-7691e9102fa7,2024-04-07,figure,Hood Inc,1431.15,54,26619.18,20,Male,North Richardville,Credit Card
8dfb7ce2-660c-48db-b717-3590cc89f89a,2024-06-30,dinner,Miller-Harper,1019.82,56,18108.4,32,Other,Shafferbury,Credit Card
daf241b5-33e3-44fb-addf-8c6038821655,2024-04-05,receive,Decker Ltd,1458.52,22,21524.72,27,Other,Nicholasfurt,Cash
e59a8eb1-8448-4719-8502-2c97407d0ff9,2024-01-08,free,Nelson and Sons,1333.31,79,49676.78,45,Female,East Brianstad,Online
4a18ec65-d781-4e34-b8e2-f7efb3303e04,2024-01-25,name,Mitchell Ltd,1481.04,4,6824.14,60,Male,Port Gabriellaburgh,Debit Card
b9c9fb79-ae15-4b97-a439-12327ad25869,2024-02-02,responsibility,"Burch, Wilson and Yang",785.38,87,71119.0,63,Male,New Sophiatown,Online
6f0c7e6b-bafc-4b7f-aec1-931619bd777c,2024-06-28,myself,"Ross, Strickland and Johns",421.01,51,86275.7,27,Female,New Tammy,Online
531d046b-c78e-4775-92ef-f4f69901107b,2024-03-22,market,Oliver-Oconnell,537.32,43,98720.64,42,Female,West Tabithafort,Cash
ec9dcc53-48a9-4453-b551-932a13366e8e,2024-07-17,step,Ho-Porter,192.48,85,95400.2,33,Male,South Michael,Cash
ee1a4d2e-f425-4fae-8400-b4c76d7d0175,2024-03-26,cover,Fisher-Marshall,875.91,4,14448.87,27,Male,Briantown,Cash
9f67b954-d752-4010-af62-002229ccef88,2024-04-30,then,"Watson, Carter and Woodard",546.53,11,90012.0,38,Male,Stephensfurt,Credit Card
49dca0a1-70c4-4b2a-b8a3-b751f042cc97,2024-04-29,theory,"Walters, Bennett and Barrett",278.72,19,39790.85,33,Other,Griffithland,Online
d8d17b9e-24f3-4611-a4ea-23740ccee03a,2024-04-18,good,"Jacobs, Shepherd and Green",335.83,98,8665.92,55,Female,Leehaven,Cash
4bf65265-8b98-440f-a66e-efef35df43f9,2024-01-02,can,Smith-Walters,312.97,58,31428.24,64,Male,West Rebekah,Debit Card
98a6dabf-c1a1-4141-98d1-8dfbf4844b24,2024-06-04,trip,Walker PLC,411.89,35,125995.87,56,Other,West Gina,Debit Card
f697038c-e26d-43b8-beae-3824a4242583,2024-04-03,with,"Hill, Mann and Martinez",1070.05,62,10732.82,21,Female,New Betty,Credit Card
