,order_id,order_date,product_id,quantity,total_price
0,1,2023-07-13,24,9,3726.45
1,2,2023-02-08,75,1,182.71
2,3,2023-02-14,6,6,2879.58
3,4,2023-10-07,16,7,2218.37
4,5,2023-02-03,100,10,3540.8
5,6,2023-12-03,39,3,752.4
6,7,2023-02-26,10,9,3340.44
7,8,2023-02-11,80,4,1720.96
8,9,2023-09-02,72,6,1834.56
9,10,2023-10-11,33,6,1809.12
10,11,2023-03-23,39,5,1254.0
11,12,2023-03-28,96,8,1237.36
12,13,2023-05-06,73,3,978.15
13,14,2023-07-03,32,6,1147.68
14,15,2023-04-26,71,2,438.52
15,16,2023-01-15,42,3,1160.16
16,17,2023-04-24,19,2,796.72
17,18,2023-06-06,99,5,1336.75
18,19,2023-12-02,3,6,264.72
19,20,2023-08-21,62,8,1885.92
20,21,2023-11-11,44,7,837.41
21,22,2023-05-26,66,10,3132.9
22,23,2023-07-15,55,7,170.17
23,24,2023-05-11,41,5,1117.2
24,25,2023-09-13,72,2,611.52
25,26,2023-12-05,89,2,877.48
26,27,2023-08-23,45,3,431.91
27,28,2023-08-01,51,2,668.22
28,29,2023-02-02,2,3,1028.73
29,30,2023-08-04,23,1,314.41
30,31,2023-02-01,80,1,430.24
31,32,2023-12-09,16,7,2218.37
32,33,2023-11-11,19,1,398.36
33,34,2023-11-15,75,3,548.13
34,35,2023-08-18,12,1,113.02
35,36,2023-06-12,2,3,1028.73
36,37,2023-04-13,96,10,1546.7
37,38,2023-10-28,71,7,1534.82
38,39,2023-07-07,53,2,294.42
39,40,2023-08-26,98,6,2610.84
40,41,2023-04-25,10,3,1113.48
41,42,2023-03-02,50,2,190.54
42,43,2023-07-01,87,7,1988.63
43,44,2023-08-20,66,2,626.58
44,45,2023-11-01,40,8,3985.84
45,46,2023-01-13,53,8,1177.68
46,47,2023-08-08,63,9,2812.32
47,48,2023-06-24,41,9,2010.96
48,49,2023-11-25,81,2,247.74
49,50,2023-12-07,42,2,773.44
50,51,2023-03-03,67,7,2252.46
51,52,2023-08-03,90,5,2155.9
52,53,2023-01-14,96,3,464.01
53,54,2023-11-06,33,5,1507.6
54,55,2023-01-15,9,3,1154.88
55,56,2023-04-11,94,1,406.72
56,57,2023-01-28,7,1,171.67
57,58,2023-05-13,84,9,399.24
58,59,2023-04-28,16,4,1267.64
59,60,2023-08-08,23,4,1257.64
60,61,2023-12-22,34,3,641.58
61,62,2023-01-11,64,8,3969.68
62,63,2023-03-08,40,3,1494.69
63,64,2023-04-19,62,8,1885.92
64,65,2023-04-07,26,5,2179.15
65,66,2023-10-11,43,5,604.1
66,67,2023-03-17,75,10,1827.1
67,68,2023-03-10,47,5,2093.8
68,69,2023-09-14,20,3,1488.63
69,70,2023-12-03,2,10,3429.1
70,71,2023-02-04,53,3,441.63
71,72,2023-04-10,34,8,1710.88
72,73,2023-06-12,79,2,950.58
73,74,2023-02-24,18,5,116.45
74,75,2023-12-04,54,2,491.74
75,76,2023-06-20,27,8,3138.48
76,77,2023-03-27,54,3,737.61
77,78,2023-11-23,87,5,1420.45
78,79,2023-10-05,87,6,1704.54
79,80,2023-10-18,65,6,1047.48
80,81,2023-02-24,62,3,707.22
81,82,2023-03-24,90,1,431.18
82,83,2023-09-26,97,5,1899.75
83,84,2023-02-12,80,5,2151.2
84,85,2023-12-20,4,1,15.49
85,86,2023-10-21,85,2,927.7
86,87,2023-10-07,88,4,1398.64
87,88,2023-04-26,98,10,4351.4
88,89,2023-05-16,31,10,4973.9
89,90,2023-05-21,45,5,719.85
90,91,2023-10-13,44,4,478.52
91,92,2023-07-03,82,9,1347.03
92,93,2023-05-21,49,8,2190.8
93,94,2023-07-14,72,6,1834.56
94,95,2023-12-05,69,10,1006.4
95,96,2023-06-03,93,4,1112.6
96,97,2023-06-26,6,4,1919.72
97,98,2023-07-16,67,8,2574.24
98,99,2023-06-22,79,10,4752.9
99,100,2023-04-02,31,2,994.78
