id,name,now_cost,position,team,ict_index_rank,transfers_in,news_added,threat_rank_type,cost_change_start_fall,red_cards,transfers_in_event,web_name,expected_goal_involvements_per_90,form_rank,minutes,goals_scored,value_season,chance_of_playing_next_round,threat_rank,expected_goals_per_90,goals_conceded_per_90,points_per_game,direct_freekicks_order,selected_rank_type,expected_assists,form,selected_rank,influence_rank_type,dreamteam_count,selected_by_percent,cost_change_start,clean_sheets_per_90,influence_rank,saves,ict_index,transfers_out,bps,expected_goals_conceded_per_90,ep_next,news,assists,expected_goals,expected_goal_involvements,status,form_rank_type,now_cost_rank_type,clean_sheets,expected_goals_conceded,creativity,starts_per_90,points_per_game_rank,starts,cost_change_event_fall,now_cost_rank,influence,points_per_game_rank_type,value_form,goals_conceded,ict_index_rank_type,saves_per_90,cost_change_event,threat,expected_assists_per_90,own_goals,event_points,chance_of_playing_this_round,corners_and_indirect_freekicks_order,transfers_out_event,yellow_cards,creativity_rank,creativity_rank_type,total_points,in_dreamteam,bonus,ep_this,penalties_order
1,Fábio Ferreira Vieira,54,MID,Arsenal,608,439,2024-08-29T11:06:25.241953Z,268,1,0,355,Fábio Vieira,0.0,604,0,0,0.0,0.0,594,0.0,0.0,0.0,,249,0.00,0.0,572,270,0,0.0,-1,0.0,604,0,0.0,1434,0,0.0,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0,0.00,0.00,u,273,108,0,0.00,0.0,0.0,604,0,1,171,0.0,273,0.0,0,274,0.0,-1,0.0,0.0,0,0,75.0,,560,0,605,274,0,False,0,0.8,4.0
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,336,15354,2024-08-25T11:00:05.312580Z,68,2,0,3184,G.Jesus,0.0,628,5,0,0.0,0.0,630,0.0,0.0,0.0,,30,0.00,0.0,180,35,0,1.2,-2,0.0,328,0,0.1,133342,1,2.7,0.0,Groin Injury - Expected back 15 Sep,0,0.00,0.00,i,68,17,0,0.15,0.8,0.0,628,0,1,38,0.2,68,0.0,0,36,0.0,-1,0.0,0.0,0,0,,,67197,1,284,30,0,False,0,1.0,
3,Gabriel dos Santos Magalhães,60,DEF,Arsenal,162,111133,,32,0,0,74410,Gabriel,0.08,31,180,0,2.0,,153,0.06,0.0,6.0,,10,0.04,6.0,29,30,0,13.0,0,1.0,96,0,4.6,137940,47,0.88,7.0,,0,0.12,0.16,a,8,5,2,1.75,3.3,1.0,35,2,0,82,35.2,10,1.0,0,51,0.0,0,8.0,0.02,0,6,,,76033,1,219,64,12,False,1,7.0,
4,Kai Havertz,81,FWD,Arsenal,28,613983,,8,-1,0,263029,Havertz,0.37,17,180,1,1.7,,20,0.33,0.0,7.0,,5,0.07,7.0,18,5,1,17.5,1,1.0,33,0,14.5,286205,46,0.88,8.0,,1,0.66,0.73,a,3,4,2,1.75,30.2,1.0,18,2,0,12,54.8,3,0.9,0,6,0.0,0,61.0,0.04,0,2,,,221077,0,69,5,14,False,3,8.0,3.0
5,Karl Hein,40,GKP,Arsenal,384,0,2024-08-14T08:31:46.556082Z,25,0,0,0,Hein,0.0,380,0,0,0.0,0.0,306,0.0,0.0,0.0,,63,0.00,0.0,509,46,0,0.1,0,0.0,376,0,0.0,1890,0,0.0,0.0,Loaned to Real Valladolid,0,0.00,0.00,u,45,63,0,0.00,0.0,0.0,380,0,0,611,0.0,45,0.0,0,46,0.0,0,0.0,0.0,0,0,0.0,,660,0,364,27,0,False,0,0.0,
6,Jurriën Timber,55,DEF,Arsenal,267,29769,,27,0,0,25470,J.Timber,0.04,93,99,0,1.3,,136,0.02,0.0,3.5,,68,0.02,3.5,186,102,0,1.0,0,0.91,281,0,1.8,24780,26,1.15,4.5,,0,0.02,0.04,a,35,13,1,1.27,5.5,0.91,96,1,0,132,3.4,37,0.6,0,90,0.0,0,10.0,0.02,0,6,,,12798,0,189,54,7,False,0,4.5,
7,Jorge Luiz Frello Filho,49,MID,Arsenal,537,5622,,210,1,0,3007,Jorginho,0.0,538,0,0,0.0,,498,0.0,0.0,0.0,,107,0.00,0.0,319,225,0,0.3,-1,0.0,530,0,0.0,13226,0,0.0,1.0,,0,0.00,0.00,a,233,190,0,0.00,0.0,0.0,538,0,1,291,0.0,233,0.0,0,231,0.0,-1,0.0,0.0,0,0,,,6462,0,529,232,0,False,0,1.0,
8,Jakub Kiwior,49,DEF,Arsenal,555,1480,,195,1,0,772,Kiwior,0.0,554,0,0,0.0,,520,0.0,0.0,0.0,,143,0.00,0.0,382,200,0,0.2,-1,0.0,548,0,0.0,6883,0,0.0,1.0,,0,0.00,0.00,a,198,40,0,0.00,0.0,0.0,554,0,1,324,0.0,198,0.0,0,200,0.0,-1,0.0,0.0,0,0,,,2933,0,546,200,0,False,0,1.0,
9,Gabriel Martinelli Silva,70,MID,Arsenal,47,40611,,33,0,0,19439,Martinelli,0.4,110,154,0,0.9,,54,0.05,0.0,3.0,,41,0.60,3.0,122,75,0,2.6,0,1.17,179,0,11.8,84122,25,0.93,4.0,,0,0.08,0.68,a,45,15,2,1.59,63.0,1.17,111,2,0,28,20.0,46,0.4,0,33,0.0,0,35.0,0.35,0,3,,,50192,0,23,20,6,False,0,4.0,
10,Reiss Nelson,50,MID,Arsenal,322,830,,234,0,0,578,Nelson,0.0,306,2,0,0.2,,539,0.0,0.0,1.0,,213,0.00,0.5,525,150,0,0.0,0,0.0,301,0,0.2,1564,3,0.9,1.5,,0,0.00,0.00,a,155,133,0,0.02,0.0,0.0,270,0,0,208,2.0,138,0.1,0,164,0.0,0,0.0,0.0,0,1,,,763,0,561,249,1,False,0,1.5,
