location,JAN_MaxTemp,JAN_MinTemp,FEB_MaxTemp,FEB_MinTemp,MAR_MaxTemp,MAR_MinTemp,APR_MaxTemp,APR_MinTemp,MAY_MaxTemp,MAY_MinTemp,JUN_MaxTemp,JUN_MinTemp,JUL_MaxTemp,JUL_MinTemp,AUG_MaxTemp,AUG_MinTemp,SEP_MaxTemp,SEP_MinTemp,OCT_MaxTemp,OCT_MinTemp,NOV_MaxTemp,NOV_MinTemp,DEC_MaxTemp,DEC_MinTemp
Abu Road,20,8,22,10,26,15,30,19,32,21,29,20,25,19,23,18,25,18,27,16,25,12,22,9
Agartala,26,10,29,13,33,19,34,22,33,24,32,25,31,25,32,25,32,24,31,22,29,17,26,11
Agastheeswaram,31,23,32,24,32,25,33,26,32,26,31,24,30,24,30,24,31,24,30,24,30,24,30,24
Agra,22,7,26,10,32,16,38,22,42,27,41,29,35,27,33,26,34,24,34,20,29,13,24,8
Ahmednagar,31,12,33,14,37,18,39,22,39,23,34,22,30,22,29,21,31,20,33,19,31,15,30,13
Aizawl,21,11,22,14,25,16,27,18,27,19,25,19,25,19,26,19,26,20,25,18,23,15,21,13
Ajmer,23,7,26,10,32,16,37,22,40,26,39,27,34,25,31,24,33,24,34,18,29,12,25,8
Akola,30,14,33,16,37,20,41,25,42,28,37,26,32,24,31,23,32,23,34,20,32,16,29,13
Alappuzha,32,23,32,24,33,25,33,26,32,25,30,24,29,23,29,24,30,24,30,24,31,24,32,23
Alibag,29,18,29,18,30,21,32,24,32,27,31,26,29,25,29,25,30,24,32,24,32,21,30,19
Alirajpur,28,11,31,12,35,17,39,23,40,26,36,25,31,24,29,23,31,23,34,20,32,14,29,12
Alwar,22,7,25,10,32,16,38,23,41,27,41,30,35,27,33,26,34,24,34,19,29,13,24,9
Amini,31,24,32,24,33,25,33,27,33,27,30,26,29,25,30,25,30,25,31,25,31,24,31,24
Amravati,29,15,33,18,37,21,40,25,42,28,37,26,31,24,30,23,32,23,33,21,31,18,29,15
Amritsar,19,4,22,7,27,11,34,17,39,21,40,25,35,26,34,25,35,23,32,16,27,9,21,5
Anantapur,30,17,33,19,37,22,39,26,38,26,35,25,33,24,33,24,33,23,32,23,30,20,29,18
Angul,27,14,31,17,35,20,39,24,40,26,36,26,32,25,31,24,32,24,31,22,29,17,27,14
Aurangabad,30,14,33,16,36,20,39,24,40,25,35,23,30,22,29,21,30,21,33,20,31,16,29,14
Bahraich,23,9,26,11,32,16,38,22,40,25,37,27,33,26,32,26,33,25,32,21,29,14,25,9
Balasore,27,14,30,17,34,21,37,24,37,26,34,26,32,26,32,26,32,25,31,23,29,18,27,14
Ballari,31,17,34,20,37,23,39,26,38,26,34,25,31,24,31,24,32,23,32,22,30,20,30,17
Ballia,23,9,27,11,33,16,39,21,40,24,39,26,34,25,33,25,33,24,32,21,29,14,24,10
Balurghat,25,10,28,12,33,17,36,21,35,23,33,24,33,25,33,25,33,25,32,22,30,17,27,12
Banswara,28,12,30,15,35,19,39,24,41,26,37,26,32,24,30,23,33,23,35,20,33,17,29,13
Baramati,30,13,33,15,37,19,39,22,39,23,34,23,30,22,30,21,31,21,32,20,31,16,30,14
Bardhaman Sadar,26,13,29,15,34,20,38,24,38,26,35,26,32,26,32,26,32,26,32,24,29,18,26,13
Bareilly,22,9,25,11,31,16,38,21,41,25,39,27,34,26,33,26,33,24,32,20,29,13,24,9
Baripada,28,13,31,16,36,20,39,24,39,26,36,26,32,26,32,25,32,25,32,22,30,17,27,13
Barmer,25,11,29,13,35,19,39,24,42,27,40,27,37,26,35,25,36,25,37,22,32,17,27,12
Bathinda,21,5,23,8,29,13,36,19,40,23,41,27,37,26,35,25,35,23,34,16,28,10,23,5
Beed,30,12,33,14,37,18,40,23,41,25,36,24,32,23,31,22,32,22,33,19,31,15,29,12
Belgaum,30,14,32,15,35,18,36,21,34,21,28,21,25,20,25,20,28,20,30,19,29,17,29,15
Bengaluru,27,15,30,17,32,19,34,22,33,21,29,20,28,20,27,19,28,19,28,19,27,17,26,16
Berhampore,25,12,29,14,34,19,38,23,37,25,35,26,33,26,33,26,33,26,32,23,30,18,27,13
Betul,26,10,30,12,34,16,38,21,39,24,35,24,29,22,27,21,29,21,30,17,28,13,27,10
Bhagalpur,24,12,27,14,33,19,37,24,38,25,35,26,33,26,33,26,33,26,32,23,29,17,25,13
Bharuch,31,12,34,14,38,19,40,23,40,26,36,27,32,26,31,25,33,24,36,22,35,17,32,13
Bhavnagar,28,13,31,15,35,20,38,24,40,26,37,27,33,26,32,25,33,24,35,22,32,18,29,14
Bhawanipatna,29,13,33,17,38,21,41,26,41,27,37,26,31,24,31,24,32,24,32,21,30,17,28,13
Bhilwara,24,7,27,10,33,15,38,22,41,26,39,26,34,25,31,24,33,22,34,18,30,13,26,9
Bhopal,25,10,29,12,34,17,38,22,41,26,37,25,31,23,29,22,31,21,32,18,29,14,26,11
Bhuj,27,9,30,12,35,18,39,22,40,25,37,27,34,26,33,25,34,24,36,21,32,16,28,11
Bidar,28,16,31,19,35,22,37,24,38,26,33,23,29,21,29,21,29,21,30,21,28,18,27,16
Bikaner,23,5,26,9,32,15,38,21,42,26,42,29,38,28,37,27,37,25,36,19,31,11,25,6
Brahmapuri,29,14,32,16,36,20,40,25,42,28,38,27,31,24,30,24,31,24,32,21,30,17,28,13
Buldana,27,15,30,17,34,21,37,25,38,26,34,23,29,22,27,21,29,21,31,21,29,17,27,15
Car Nicobar,30,22,31,22,32,22,33,24,31,24,30,24,29,24,29,24,29,23,30,23,30,23,30,23
Chaibasa,26,12,30,14,35,19,39,24,40,26,37,26,32,25,32,25,32,24,31,22,29,16,26,12
Champa,27,13,31,16,36,20,40,24,43,28,38,27,31,25,31,25,32,24,32,21,30,16,27,13
Chandigarh,20,6,23,8,28,13,35,19,38,23,39,25,34,24,33,23,33,22,32,17,27,11,22,7
Chandrapur,30,14,33,17,37,21,41,26,43,29,38,27,32,25,31,24,32,24,32,21,30,16,29,13
