Drug Name,Problem,Agents,Age Restrictions,Tablet/ Injection/Syrup/ Cream,Usage,Side effects,Safety Advice,Interaction with drugs,Remarks
Acetyl Salicylic acid Tablets IP 75mg,Heart Problems,anti-platelet agents,40,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it. Acetyl Salicylic Acid 75mg Tablet is to be taken with food.","Heartburn, Increased bleeding tendency, Nausea, Upset stomach and Vomiting","Acetyl Salicylic Acid 75mg Tablet is a medication that is not recommended for consumption during pregnancy, breastfeeding, driving, or in patients with kidney disease. It is unsafe to consume alcohol with this medication, as there is a risk to the developing baby. However, doctors may prescribe it in life-threatening situations if the benefits outweigh the potential risks. Breastfeeding should be held until the mother's treatment is complete and the drug is eliminated from her body. Driving is also unsafe, as it may decrease alertness, affect vision, or cause sleepiness and dizziness. Patients with kidney disease should consult their doctor before using Acetyl Salicylic Acid 75mg Tablet. In patients with liver disease, dose adjustment may be needed, and the medication is not recommended for severe liver disease.","Nimesulide, Oxyphenbutazone and Metamizole",
Acetyl Salicylic acid Tablets IP 75mg,Chest Pains,anti-platelet agents,40,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it. Acetyl Salicylic Acid 75mg Tablet is to be taken with food.","Heartburn, Increased bleeding tendency, Nausea, Upset stomach and Vomiting","Acetyl Salicylic Acid 75mg Tablet is a medication that is not recommended for consumption during pregnancy, breastfeeding, driving, or in patients with kidney disease. It is unsafe to consume alcohol with this medication, as there is a risk to the developing baby. However, doctors may prescribe it in life-threatening situations if the benefits outweigh the potential risks. Breastfeeding should be held until the mother's treatment is complete and the drug is eliminated from her body. Driving is also unsafe, as it may decrease alertness, affect vision, or cause sleepiness and dizziness. Patients with kidney disease should consult their doctor before using Acetyl Salicylic Acid 75mg Tablet. In patients with liver disease, dose adjustment may be needed, and the medication is not recommended for severe liver disease.","Nimesulide, Oxyphenbutazone and Metamizole",
Acetyl Salicylic acid Tablets IP 75mg,Fever,anti-platelet agents,40,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it. Acetyl Salicylic Acid 75mg Tablet is to be taken with food.","Heartburn, Increased bleeding tendency, Nausea, Upset stomach and Vomiting","Acetyl Salicylic Acid 75mg Tablet is a medication that is not recommended for consumption during pregnancy, breastfeeding, driving, or in patients with kidney disease. It is unsafe to consume alcohol with this medication, as there is a risk to the developing baby. However, doctors may prescribe it in life-threatening situations if the benefits outweigh the potential risks. Breastfeeding should be held until the mother's treatment is complete and the drug is eliminated from her body. Driving is also unsafe, as it may decrease alertness, affect vision, or cause sleepiness and dizziness. Patients with kidney disease should consult their doctor before using Acetyl Salicylic Acid 75mg Tablet. In patients with liver disease, dose adjustment may be needed, and the medication is not recommended for severe liver disease.","Nimesulide, Oxyphenbutazone and Metamizole",
Acetyl Salicylic acid Tablets IP 75mg,Inflammation,anti-platelet agents,40,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it. Acetyl Salicylic Acid 75mg Tablet is to be taken with food.","Heartburn, Increased bleeding tendency, Nausea, Upset stomach and Vomiting","Acetyl Salicylic Acid 75mg Tablet is a medication that is not recommended for consumption during pregnancy, breastfeeding, driving, or in patients with kidney disease. It is unsafe to consume alcohol with this medication, as there is a risk to the developing baby. However, doctors may prescribe it in life-threatening situations if the benefits outweigh the potential risks. Breastfeeding should be held until the mother's treatment is complete and the drug is eliminated from her body. Driving is also unsafe, as it may decrease alertness, affect vision, or cause sleepiness and dizziness. Patients with kidney disease should consult their doctor before using Acetyl Salicylic Acid 75mg Tablet. In patients with liver disease, dose adjustment may be needed, and the medication is not recommended for severe liver disease.","Nimesulide, Oxyphenbutazone and Metamizole",
Adrenaline Bitartrate Injection IP 1 mg,Severe allergic reactions,alpha-beta-adrenergic agonists,ALL,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Headache, Palpitations and Tremors","Adrenaline Bitartrate Injection is not safe to consume during pregnancy, breastfeeding, driving, or in patients with kidney or liver disease. It may be unsafe during breastfeeding due to potential drug contamination. Your doctor will weigh the benefits and risks before prescribing the medication. It is also not usually affected by driving. Consult your doctor for more information.",Clonidine,For to get Pulsation
Adrenaline Bitartrate Injection IP 1 mg,Heart stroke,alpha-beta-adrenergic agonists,ALL,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Headache, Palpitations and Tremors","Adrenaline Bitartrate Injection is not safe to consume during pregnancy, breastfeeding, driving, or in patients with kidney or liver disease. It may be unsafe during breastfeeding due to potential drug contamination. Your doctor will weigh the benefits and risks before prescribing the medication. It is also not usually affected by driving. Consult your doctor for more information.",Clonidine,For to get Pulsation
Albendazole Suspension 200 mg,Parasitic infections,anti-worm medication,B2,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Sore throat, Vomiting, Dizziness, Increased liver enzymes, Nausea and Loss of appetite","Albendazole 200mg Oral Suspension is generally safe for use in patients with kidney disease, but dose adjustments may be necessary. It should be used cautiously in patients with liver disease, as it may cause elevated enzyme levels, and monitoring liver function tests and CBC is recommended.","Estradiol, Tibolone, Estriol and Carbamazepine",
Albendazole Suspension 200 mg,Infections caused by pork tapeworm and dog tapeworm.,anti-worm medication,B2,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Sore throat, Vomiting, Dizziness, Increased liver enzymes, Nausea and Loss of appetite","Albendazole 200mg Oral Suspension is generally safe for use in patients with kidney disease, but dose adjustments may be necessary. It should be used cautiously in patients with liver disease, as it may cause elevated enzyme levels, and monitoring liver function tests and CBC is recommended.","Estradiol, Tibolone, Estriol and Carbamazepine",
Albendazole Tablets Chewable IP 400 mg,Parasitic infections,anti-worm medication,2,Tablet,"Take this medicine in the dose. Swallow it as a whole. Do not chew, crush or break it. Albendazole 400mg Tablet may be taken with or without food, but it is better to take it at a fixed time.","Vomiting, Dizziness, Increased liver enzymes, Nausea and Loss of appetite","Albendazole 400mg Tablet is not safe to consume during pregnancy, breastfeeding, driving, or in patients with kidney or liver disease. It may cause decreased alertness, vision issues, sleepiness, and dizziness. It is recommended to consult a doctor for any potential risks. The drug is safe for breastfeeding if prescribed, but caution is advised for patients with liver disease. If symptoms of jaundice occur, it is important to inform a doctor.","Estradiol, Tibolone, Estriol and Carbamazepine",Every 6 months
Albendazole Tablets Chewable IP 400 mg,Infections caused by pork tapeworm and dog tapeworm.,anti-worm medication,2,Tablet,"Take this medicine in the dose. Swallow it as a whole. Do not chew, crush or break it. Albendazole 400mg Tablet may be taken with or without food, but it is better to take it at a fixed time.","Vomiting, Dizziness, Increased liver enzymes, Nausea and Loss of appetite","Albendazole 400mg Tablet is not safe to consume during pregnancy, breastfeeding, driving, or in patients with kidney or liver disease. It may cause decreased alertness, vision issues, sleepiness, and dizziness. It is recommended to consult a doctor for any potential risks. The drug is safe for breastfeeding if prescribed, but caution is advised for patients with liver disease. If symptoms of jaundice occur, it is important to inform a doctor.","Estradiol, Tibolone, Estriol and Carbamazepine",Every 6 months
Alprazolam Tablets IP 0.5 mg,Treatment of Anxiety,antianxiety agents,18,Tablet,"Swallow it whole. Do not chew, crush or break it. Alpram 0.5mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",feel dizzy and lethargy,"Alpram 0.5mg Tablet is a potentially dangerous medication, especially during pregnancy, breastfeeding, driving, kidney disease, and liver disease. It is unsafe to consume alcohol, pregnant, breastfeeding, driving, and driving due to potential risks. It is recommended to consult a doctor when the benefits outweigh the risks, as it can cause harm to the baby. Patients with kidney or liver disease should consult their doctor before use.","abacavir, adefovir, amisulpiride and amitriptyline",
Alprazolam Tablets IP 0.5 mg,Panic disorder,antianxiety agents,18,Tablet,"Swallow it whole. Do not chew, crush or break it. Alpram 0.5mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",feel dizzy and lethargy,"Alpram 0.5mg Tablet is a potentially dangerous medication, especially during pregnancy, breastfeeding, driving, kidney disease, and liver disease. It is unsafe to consume alcohol, pregnant, breastfeeding, driving, and driving due to potential risks. It is recommended to consult a doctor when the benefits outweigh the risks, as it can cause harm to the baby. Patients with kidney or liver disease should consult their doctor before use.","abacavir, adefovir, amisulpiride and amitriptyline",
Aluminium Hydroxide + Magnesium Hydroxide and Simethicone Tablets USP 250mg+250mg + 50mg,Acidity,antacid agents,12,Tablet,"Take this medication by mouth, usually after meals and at bedtime as needed. If you are taking the chewable tablets, chew thoroughly before swallowing, then drink a full glass of water (8 ounces or 240 milliliters).","Nausea, constipation, diarrhea and headache","This medication may cause allergic reactions or other problems, especially if you have allergies to aluminum hydroxide, magnesium, simethicone, or other ingredients. Consult your doctor or pharmacist if you have health problems like frequent alcohol use, dehydration, kidney problems, aspartame, or sugar intake. Use only when clearly needed during pregnancy and consult your doctor before breastfeeding.","digoxin, iron, pazopanib, tetracycline antibiotics, quinolone antibiotics such as ciprofloxacin",
Aluminium Hydroxide + Magnesium Hydroxide and Simethicone Tablets USP 250mg+250mg + 50mg,Stomach ulcers,antacid agents,12,Tablet,"Take this medication by mouth, usually after meals and at bedtime as needed. If you are taking the chewable tablets, chew thoroughly before swallowing, then drink a full glass of water (8 ounces or 240 milliliters).","Nausea, constipation, diarrhea and headache","This medication may cause allergic reactions or other problems, especially if you have allergies to aluminum hydroxide, magnesium, simethicone, or other ingredients. Consult your doctor or pharmacist if you have health problems like frequent alcohol use, dehydration, kidney problems, aspartame, or sugar intake. Use only when clearly needed during pregnancy and consult your doctor before breastfeeding.","digoxin, iron, pazopanib, tetracycline antibiotics, quinolone antibiotics such as ciprofloxacin",
Aluminium Hydroxide + Magnesium Hydroxide and Simethicone Tablets USP 250mg+250mg + 50mg,Bloating,antacid agents,12,Tablet,"Take this medication by mouth, usually after meals and at bedtime as needed. If you are taking the chewable tablets, chew thoroughly before swallowing, then drink a full glass of water (8 ounces or 240 milliliters).","Nausea, constipation, diarrhea and headache","This medication may cause allergic reactions or other problems, especially if you have allergies to aluminum hydroxide, magnesium, simethicone, or other ingredients. Consult your doctor or pharmacist if you have health problems like frequent alcohol use, dehydration, kidney problems, aspartame, or sugar intake. Use only when clearly needed during pregnancy and consult your doctor before breastfeeding.","digoxin, iron, pazopanib, tetracycline antibiotics, quinolone antibiotics such as ciprofloxacin",
Amlodipine Tablets IP 5mg,high blood pressure,antihypertensive agents,6,Tablet,"Take this medication by mouth with or without food as directed by your doctor, usually once daily.","Headache, Nausea, Abdominal pain, Flushing (sense of warmth in the face, ears, neck and trunk), Dizziness, Palpitations, Edema (swelling), Muscle cramp, Visual disturbance, Shortness of breath, Change in bowel habits, Weakness","This drug may make you dizzy. Alcohol or marijuana (cannabis) can make you more dizzy. Do not drive, use machinery, or do anything that needs alertness until you can do it safely. Limit alcoholic beverages.",ibuprofen/naproxen,
Amlodipine Tablets IP 5mg,Angina (heart-related chest pain).,antihypertensive agents,6,Tablet,"Take this medication by mouth with or without food as directed by your doctor, usually once daily.","Headache, Nausea, Abdominal pain, Flushing (sense of warmth in the face, ears, neck and trunk), Dizziness, Palpitations, Edema (swelling), Muscle cramp, Visual disturbance, Shortness of breath, Change in bowel habits, Weakness","This drug may make you dizzy. Alcohol or marijuana (cannabis) can make you more dizzy. Do not drive, use machinery, or do anything that needs alertness until you can do it safely. Limit alcoholic beverages.",ibuprofen/naproxen,
Amoxicillin Capsules IP 250 mg,Bacterial infections,antibiotic,B18,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Amoxycillin 250mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",Nausea Diarrhea Skin rash Vomiting,Consuming alcohol with Amoxycillin 250mg Tablet does not cause any harmful side effects.,"Viagra, Cialis, Levitra, Stendra, Staxyn, sildenafil, avanafil, tadalafil, vardenafil",
Amoxicillin Capsules IP 500 mg,Bacterial infections,antibiotic,18,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Amoxycillin 250mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",Nausea Diarrhea Skin rash Vomiting,Consuming alcohol with Amoxycillin 250mg Tablet does not cause any harmful side effects.,"Viagra, Cialis, Levitra, Stendra, Staxyn, sildenafil, avanafil, tadalafil, vardenafil",
Amoxicillin oral suspension IP 125 mg,nausea,Pencillin antibiotic,16,Syrup,"Shake the oral suspension well before each use.Use the provided measuring device to ensure accurate dosage.Administer the prescribed amount orally, either with or without food, as directed by a doctor.","Allergy, Nausea, Diarrhea, Skin rash, Vomiting","Amoxycillin 125mg Oral Suspension should be used with caution in patients with kidney disease,liver disease.Dose adjustment of Amoxycillin 125mg Oral Suspension may be needed. Inform your healthcare provider about any allergies, pre-existing medical conditions, or medications you are currently taking. Please consult your doctor.","Probenecid, Allopurinol, Methotrexate, Anticoagulants",full course as prescribed
Amoxicillin oral suspension IP 125 mg,vomiting,Pencillin antibiotic,16,Syrup,"Shake the oral suspension well before each use.Use the provided measuring device to ensure accurate dosage.Administer the prescribed amount orally, either with or without food, as directed by a doctor.","Allergy, Nausea, Diarrhea, Skin rash, Vomiting","Amoxycillin 125mg Oral Suspension should be used with caution in patients with kidney disease,liver disease.Dose adjustment of Amoxycillin 126mg Oral Suspension may be needed. Inform your healthcare provider about any allergies, pre-existing medical conditions, or medications you are currently taking. Please consult your doctor.","Probenecid, Allopurinol, Methotrexate, Anticoagulants",full course as prescribed
Amoxicillin oral suspension IP 125 mg,headache,Pencillin antibiotic,16,Syrup,"Shake the oral suspension well before each use.Use the provided measuring device to ensure accurate dosage.Administer the prescribed amount orally, either with or without food, as directed by a doctor.","Allergy, Nausea, Diarrhea, Skin rash, Vomiting","Amoxycillin 125mg Oral Suspension should be used with caution in patients with kidney disease,liver disease.Dose adjustment of Amoxycillin 127mg Oral Suspension may be needed. Inform your healthcare provider about any allergies, pre-existing medical conditions, or medications you are currently taking. Please consult your doctor.","Probenecid, Allopurinol, Methotrexate, Anticoagulants",full course as prescribed
Ascorbic Acid Tablets IP (Chewable) 500 mg,Diarrhea,Vitamin C,12,Tablet,"Typically, these tablets are chewable and can be taken with or without food. Follow the dosage instructions provided by your healthcare provider or as indicated on the product packaging.","Dizziness, Side or lower back pain, Headache, Vomitings",Pregnant or breastfeeding women should consult their healthcare provider before using.Individuals with a history of kidney stones or certain medical conditions should use caution.Do not exceed the recommended dosage unless directed by a healthcare professional,"Acetylcysteine,Multivitamin,Biotin,Dextrose",Based on vitamin C deficiency 
Ascorbic Acid Tablets IP (Chewable) 500 mg,nausea,Vitamin C,12,Tablet,"Typically, these tablets are chewable and can be taken with or without food. Follow the dosage instructions provided by your healthcare provider or as indicated on the product packaging.","Dizziness, Side or lower back pain, Headache, Vomitings",Pregnant or breastfeeding women should consult their healthcare provider before using.Individuals with a history of kidney stones or certain medical conditions should use caution.Do not exceed the recommended dosage unless directed by a healthcare professional,"Acetylcysteine,Multivitamin,Biotin,Dextrose",Based on vitamin C deficiency 
Ascorbic Acid Tablets IP (Chewable) 500 mg,Stomach cramps,Vitamin C,12,Tablet,"Typically, these tablets are chewable and can be taken with or without food. Follow the dosage instructions provided by your healthcare provider or as indicated on the product packaging.","Dizziness, Side or lower back pain, Headache, Vomitings",Pregnant or breastfeeding women should consult their healthcare provider before using.Individuals with a history of kidney stones or certain medical conditions should use caution.Do not exceed the recommended dosage unless directed by a healthcare professional,"Acetylcysteine,Multivitamin,Biotin,Dextrose",Based on vitamin C deficiency 
