Category,States/ UTs/Cities,Year,Incest (Rape) - No. of Cases Reported,Incest (Rape) No. of Victims - Upto 10 Years,Incest (Rape) No. of Victims - (10-14) Years,Incest (Rape) No. of Victims - (14-18) Years,Incest (Rape) No. of Victims - (18-30)Years,Incest (Rape) No. of Victims - (30-50) Years,Incest (Rape) No. of Victims - Above 50 Years,Incest (Rape) No. of Victims - Total Victims,Other (Rape) - No. of Cases Reported,Other (Rape) No. of Victims - Upto 10 Years,Other (Rape) No. of Victims - (10-14) Years,Other (Rape) No. of Victims - (14-18) Years,Other (Rape) No. of Victims - (18-30)Years,Other (Rape) No. of Victims - (30-50) Years,Other (Rape) No. of Victims - Above 50 Years,Other (Rape) No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) No. of Victims - Upto 10 Years,Rape Cases (Total) No. of Victims - (10-14) Years,Rape Cases (Total) No. of Victims - (14-18) Years,Rape Cases (Total) No. of Victims - (18-30)Years,Rape Cases (Total) No. of Victims - (30-50) Years,Rape Cases (Total) No. of Victims - Above 50 Years,Rape Cases (Total) No. of Victims - Total Victims
State,Andhra Pradesh,2003,15,3,2,1,7,2,0,15,931,30,133,214,422,125,7,931,946,33,135,215,429,127,7,946
State,Arunachal Pradesh,2003,0,0,0,0,0,0,0,0,31,3,5,4,19,0,0,31,31,3,5,4,19,0,0,31
State,Assam,2003,19,0,0,0,19,0,0,19,1076,0,5,0,808,260,3,1076,1095,0,5,0,827,260,3,1095
State,Bihar,2003,1,0,0,1,0,0,0,1,984,1,1,0,686,296,0,984,985,1,1,1,686,296,0,985
State,Chhattisgarh,2003,39,1,2,16,13,7,0,39,859,26,95,46,363,324,5,859,898,27,97,62,376,331,5,898
State,Goa,2003,0,0,0,0,0,0,0,0,31,6,9,8,7,2,0,32,31,6,9,8,7,2,0,32
State,Gujarat,2003,7,1,0,3,3,0,0,7,229,16,17,43,140,13,0,229,236,17,17,46,143,13,0,236
State,Haryana,2003,14,0,0,3,11,0,0,14,339,2,5,67,237,28,0,339,353,2,5,70,248,28,0,353
State,Himachal Pradesh,2003,2,0,0,1,1,0,0,2,124,8,14,24,55,23,0,124,126,8,14,25,56,23,0,126
State,Jammu & Kashmir,2003,2,0,0,0,2,0,0,2,209,1,1,0,145,62,0,209,211,1,1,0,147,62,0,211
State,Jharkhand,2003,14,0,2,6,6,0,0,14,698,0,4,4,600,90,0,698,712,0,6,10,606,90,0,712
State,Karnataka,2003,1,1,0,0,0,0,0,1,320,17,47,67,135,38,16,320,321,18,47,67,135,38,16,321
State,Kerala,2003,7,1,3,0,3,0,0,7,387,19,33,13,264,56,2,387,394,20,36,13,267,56,2,394
State,Madhya Pradesh,2003,123,3,10,23,71,16,0,123,2615,60,221,382,1475,470,7,2615,2738,63,231,405,1546,486,7,2738
State,Maharashtra,2003,18,4,1,6,8,0,0,19,1250,75,115,411,533,119,4,1257,1268,79,116,417,541,119,4,1276
State,Manipur,2003,0,0,0,0,0,0,0,0,18,0,0,7,10,0,1,18,18,0,0,7,10,0,1,18
State,Meghalaya,2003,5,1,2,1,1,0,0,5,35,3,3,14,13,1,1,35,40,4,5,15,14,1,1,40
State,Mizoram,2003,2,0,1,1,0,0,0,2,52,1,2,5,22,22,0,52,54,1,3,6,22,22,0,54
State,Nagaland,2003,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,14,14,0,0,0,14,0,0,14
State,Orissa,2003,0,0,0,0,0,0,0,0,725,5,18,32,586,83,1,725,725,5,18,32,586,83,1,725
State,Punjab,2003,9,0,2,2,5,0,0,9,371,6,12,32,257,63,1,371,380,6,14,34,262,63,1,380
State,Rajasthan,2003,32,1,0,2,24,5,0,32,1018,6,11,29,727,238,7,1018,1050,7,11,31,751,243,7,1050
State,Sikkim,2003,0,0,0,0,0,0,0,0,10,4,4,1,1,0,0,10,10,4,4,1,1,0,0,10
