Date,Declaration Date,Record Date,Payment Date,Dividend
2020-12-01,2020-11-05,2020-12-02,2020-12-23,0.17
2021-03-02,2021-02-02,2021-03-03,2021-03-24,0.17
2021-06-01,None,None,None,0.17
2021-08-31,2021-08-04,2021-09-01,2021-09-22,0.17
2021-12-07,2021-11-03,2021-12-08,2021-12-22,0.17
2022-03-08,2022-02-01,2022-03-09,2022-03-23,0.17
2022-06-07,2022-05-10,2022-06-08,2022-06-22,0.19
2022-08-30,2022-08-02,2022-08-31,2022-09-21,0.19
2022-11-29,2022-11-01,2022-11-30,2022-12-21,0.19
2023-02-28,2023-01-31,2023-03-01,2023-03-22,0.19
2023-05-30,2023-05-08,2023-05-31,2023-06-21,0.19
2023-08-29,2023-07-31,2023-08-30,2023-09-20,0.19
2023-11-28,2023-11-01,2023-11-29,2023-12-20,0.19
2024-02-27,2024-01-26,2024-02-28,2024-03-20,0.19
2024-05-29,2024-05-07,2024-05-29,2024-06-19,0.19
2024-08-28,2024-07-30,2024-08-28,2024-09-18,0.19
