SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1970.0;6.67902293288275
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1970.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1970.0;9.4911321924241
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1970.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1970.0;7.9482108934633
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1971.0;8.90212709149782
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1971.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1971.0;9.80178457906366
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1971.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1971.0;7.94861993609948
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1972.0;8.53455864958508
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1972.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1972.0;0.958468015719347
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1972.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1972.0;-0.452316367572195
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1973.0;12.2748756504777
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1973.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1973.0;-0.140397640931667
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1973.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1973.0;4.4021020557461
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1974.0;0.181793095234454
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1974.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1974.0;-3.73596935127961
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1974.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1974.0;7.73869217516521
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1975.0;15.1578746926262
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1975.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1975.0;9.65879062679626
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1975.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1975.0;12.1012685418333
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1976.0;7.70053326105742
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1976.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1976.0;7.4866130692711
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1976.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1976.0;5.49780439121757
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1977.0;-5.48393555526899
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1977.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1977.0;3.41949108216843
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1977.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1977.0;3.83090149542898
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1978.0;5.46796416175927
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1978.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1978.0;7.39890182586214
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1978.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1978.0;0.671535542306231
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1979.0;8.16287864770904
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1979.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1979.0;6.25746089490369
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1979.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1979.0;4.8026103031678
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1980.0;0.18480379072885
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1980.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1980.0;4.63995203433609
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1980.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;South Africa;ZAF;1980.0;9.11531854335441
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Brazil;BRA;1981.0;-3.10805240557983
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;China;CHN;1981.0;
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;India;IND;1981.0;4.20910007438067
General government final consumption expenditure (annual % growth);NE.CON.GOVT.KD.ZG;Russian Federation;RUS;1981.0;
