SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Brazil;BRA;1970.0;169813989457.215
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;China;CHN;1970.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;India;IND;1970.0;949114413692.38
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Russian Federation;RUS;1970.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;South Africa;ZAF;1970.0;138653000000.0
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Brazil;BRA;1971.0;184931046617.839
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;China;CHN;1971.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;India;IND;1971.0;1042144563931.35
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Russian Federation;RUS;1971.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;South Africa;ZAF;1971.0;149674000000.0
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Brazil;BRA;1972.0;200714095252.73
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;China;CHN;1972.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;India;IND;1972.0;1052133186254.19
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Russian Federation;RUS;1972.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;South Africa;ZAF;1972.0;148997000000.0
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Brazil;BRA;1973.0;225351500857.984
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;China;CHN;1973.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;India;IND;1973.0;1050656016081.23
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Russian Federation;RUS;1973.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;South Africa;ZAF;1973.0;155556000000.0
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Brazil;BRA;1974.0;225761174326.551
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;China;CHN;1974.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;India;IND;1974.0;1011403829333.06
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Russian Federation;RUS;1974.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;South Africa;ZAF;1974.0;167594000000.0
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Brazil;BRA;1975.0;259981770235.571
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;China;CHN;1975.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;India;IND;1975.0;1109093207599.74
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Russian Federation;RUS;1975.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;South Africa;ZAF;1975.0;187875000000.0
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Brazil;BRA;1976.0;280001752925.247
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;China;CHN;1976.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;India;IND;1976.0;1192126724630.3
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Russian Federation;RUS;1976.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;South Africa;ZAF;1976.0;198204000000.0
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Brazil;BRA;1977.0;264646637241.203
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;China;CHN;1977.0;
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;India;IND;1977.0;1232891391667.18
General government final consumption expenditure (constant LCU);NE.CON.GOVT.KN;Russian Federation;RUS;1977.0;
