SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Brazil;BRA;1970.0;0.0080019999
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;China;CHN;1970.0;24989577010.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;India;IND;1970.0;41888189652.11
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Russian Federation;RUS;1970.0;
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;South Africa;ZAF;1970.0;1566000000.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Brazil;BRA;1971.0;0.0104240002
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;China;CHN;1971.0;29100267120.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;India;IND;1971.0;48484965377.24
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Russian Federation;RUS;1971.0;
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;South Africa;ZAF;1971.0;1877000000.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Brazil;BRA;1972.0;0.013576
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;China;CHN;1972.0;30653979850.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;India;IND;1972.0;51567184749.69
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Russian Federation;RUS;1972.0;
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;South Africa;ZAF;1972.0;1983000000.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Brazil;BRA;1973.0;0.0184380002
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;China;CHN;1973.0;31639082990.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;India;IND;1973.0;56531650872.17
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Russian Federation;RUS;1973.0;
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;South Africa;ZAF;1973.0;2259000000.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Brazil;BRA;1974.0;0.0252800006
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;China;CHN;1974.0;34070768260.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;India;IND;1974.0;68587572146.63
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Russian Federation;RUS;1974.0;
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;South Africa;ZAF;1974.0;2860000000.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Brazil;BRA;1975.0;0.0388710015
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;China;CHN;1975.0;35574212390.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;India;IND;1975.0;80846642790.85
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Russian Federation;RUS;1975.0;
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;South Africa;ZAF;1975.0;3628000000.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Brazil;BRA;1976.0;0.0623110011
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;China;CHN;1976.0;37871027980.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;India;IND;1976.0;89789561234.74
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Russian Federation;RUS;1976.0;
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;South Africa;ZAF;1976.0;4322000000.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Brazil;BRA;1977.0;0.0854530036
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;China;CHN;1977.0;40752708510.0
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;India;IND;1977.0;95803289454.07
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;Russian Federation;RUS;1977.0;
