SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Brazil;BRA;1970.0;441242321530.974
GNI (constant 2010 US$);NY.GNP.MKTP.KD;China;CHN;1970.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;India;IND;1970.0;218607712840.205
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Russian Federation;RUS;1970.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;South Africa;ZAF;1970.0;133928040774.181
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Brazil;BRA;1971.0;492825480368.526
GNI (constant 2010 US$);NY.GNP.MKTP.KD;China;CHN;1971.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;India;IND;1971.0;222255524957.464
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Russian Federation;RUS;1971.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;South Africa;ZAF;1971.0;140149675245.218
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Brazil;BRA;1972.0;553662436988.159
GNI (constant 2010 US$);NY.GNP.MKTP.KD;China;CHN;1972.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;India;IND;1972.0;221073376977.673
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Russian Federation;RUS;1972.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;South Africa;ZAF;1972.0;142270028582.473
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Brazil;BRA;1973.0;628983311542.643
GNI (constant 2010 US$);NY.GNP.MKTP.KD;China;CHN;1973.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;India;IND;1973.0;228492747513.651
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Russian Federation;RUS;1973.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;South Africa;ZAF;1973.0;148618894546.661
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Brazil;BRA;1974.0;688479182280.91
GNI (constant 2010 US$);NY.GNP.MKTP.KD;China;CHN;1974.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;India;IND;1974.0;231502312694.622
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Russian Federation;RUS;1974.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;South Africa;ZAF;1974.0;157333001099.678
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Brazil;BRA;1975.0;720336979262.617
GNI (constant 2010 US$);NY.GNP.MKTP.KD;China;CHN;1975.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;India;IND;1975.0;252859659738.533
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Russian Federation;RUS;1975.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;South Africa;ZAF;1975.0;159351881720.981
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Brazil;BRA;1976.0;789266013290.198
GNI (constant 2010 US$);NY.GNP.MKTP.KD;China;CHN;1976.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;India;IND;1976.0;257137092649.867
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Russian Federation;RUS;1976.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;South Africa;ZAF;1976.0;162957441774.592
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Brazil;BRA;1977.0;824239076402.594
GNI (constant 2010 US$);NY.GNP.MKTP.KD;China;CHN;1977.0;
GNI (constant 2010 US$);NY.GNP.MKTP.KD;India;IND;1977.0;275865298440.643
GNI (constant 2010 US$);NY.GNP.MKTP.KD;Russian Federation;RUS;1977.0;
