SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1970.0;776233492037.29
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1970.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1970.0;10829968758456.6
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1970.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1970.0;980513810377.678
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1971.0;866978585064.311
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1971.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1971.0;11010683751323.8
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1971.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1971.0;1026063633153.47
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1972.0;974002959149.57
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1972.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1972.0;10952119368929.9
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1972.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1972.0;1041587161445.54
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1973.0;1106507441665.82
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1973.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1973.0;11319679827196.1
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1973.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1973.0;1088068471275.34
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1974.0;1211172577468.58
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1974.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1974.0;11468775650316.8
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1974.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1974.0;1151866177647.69
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1975.0;1267216813918.8
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1975.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1975.0;12526832560770.6
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1975.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1975.0;1166646804014.28
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1976.0;1388476770580.12
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1976.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1976.0;12738739378669.6
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1976.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1976.0;1193043825924.51
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1977.0;1450001383207.44
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1977.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1977.0;13666546915653.9
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1977.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1977.0;1190042840101.64
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1978.0;1486590525847.38
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1978.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1978.0;14459276596978.3
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1978.0;
GNI (constant LCU);NY.GNP.MKTP.KN;South Africa;ZAF;1978.0;1226199101848.85
GNI (constant LCU);NY.GNP.MKTP.KN;Brazil;BRA;1979.0;1581676318189.32
GNI (constant LCU);NY.GNP.MKTP.KN;China;CHN;1979.0;
GNI (constant LCU);NY.GNP.MKTP.KN;India;IND;1979.0;13736293899609.6
GNI (constant LCU);NY.GNP.MKTP.KN;Russian Federation;RUS;1979.0;
