SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GNI (current US$);NY.GNP.MKTP.CD;Brazil;BRA;1970.0;41728566935.8317
GNI (current US$);NY.GNP.MKTP.CD;China;CHN;1970.0;92602973434.0726
GNI (current US$);NY.GNP.MKTP.CD;India;IND;1970.0;62043816387.8507
GNI (current US$);NY.GNP.MKTP.CD;Russian Federation;RUS;1970.0;
GNI (current US$);NY.GNP.MKTP.CD;South Africa;ZAF;1970.0;17754792905.1848
GNI (current US$);NY.GNP.MKTP.CD;Brazil;BRA;1971.0;48684157318.5706
GNI (current US$);NY.GNP.MKTP.CD;China;CHN;1971.0;99800958648.1436
GNI (current US$);NY.GNP.MKTP.CD;India;IND;1971.0;66959943084.3313
GNI (current US$);NY.GNP.MKTP.CD;Russian Federation;RUS;1971.0;
GNI (current US$);NY.GNP.MKTP.CD;South Africa;ZAF;1971.0;19677946199.0171
GNI (current US$);NY.GNP.MKTP.CD;Brazil;BRA;1972.0;58075347258.6067
GNI (current US$);NY.GNP.MKTP.CD;China;CHN;1972.0;113687586299.051
GNI (current US$);NY.GNP.MKTP.CD;India;IND;1972.0;71072538512.5786
GNI (current US$);NY.GNP.MKTP.CD;Russian Federation;RUS;1972.0;
GNI (current US$);NY.GNP.MKTP.CD;South Africa;ZAF;1972.0;20654974276.5256
GNI (current US$);NY.GNP.MKTP.CD;Brazil;BRA;1973.0;78380807935.1819
GNI (current US$);NY.GNP.MKTP.CD;China;CHN;1973.0;138544284708.957
GNI (current US$);NY.GNP.MKTP.CD;India;IND;1973.0;85101941339.3056
GNI (current US$);NY.GNP.MKTP.CD;Russian Federation;RUS;1973.0;
GNI (current US$);NY.GNP.MKTP.CD;South Africa;ZAF;1973.0;28370548143.4608
GNI (current US$);NY.GNP.MKTP.CD;Brazil;BRA;1974.0;104325590448.443
GNI (current US$);NY.GNP.MKTP.CD;China;CHN;1974.0;144182133387.722
GNI (current US$);NY.GNP.MKTP.CD;India;IND;1974.0;99161036284.1391
GNI (current US$);NY.GNP.MKTP.CD;Russian Federation;RUS;1974.0;
GNI (current US$);NY.GNP.MKTP.CD;South Africa;ZAF;1974.0;35558230628.9222
GNI (current US$);NY.GNP.MKTP.CD;Brazil;BRA;1975.0;122016649141.279
