SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1970.0;4639.12495834282
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1970.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1970.0;393.753120086555
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1970.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1970.0;6068.39148590276
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1971.0;5055.50593240873
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1971.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1971.0;391.385881776255
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1971.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1971.0;6183.45464500371
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1972.0;5544.42076803298
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1972.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1972.0;380.447815186077
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1972.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1972.0;6110.85968239141
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1973.0;6150.85473716581
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1973.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1973.0;384.169840501189
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1973.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1973.0;6214.95752376809
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1974.0;6575.34315476635
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1974.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1974.0;380.258416594511
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1974.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1974.0;6408.01322794619
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1975.0;6718.5457577296
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1975.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1975.0;405.807228558806
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1975.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1975.0;6324.69533649349
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1976.0;7188.80836312918
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1976.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1976.0;403.270011708007
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1976.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1976.0;6307.16213866746
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1977.0;7331.43164315223
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1977.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1977.0;422.841182689185
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1977.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1977.0;6138.29055529354
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1978.0;7340.42175520946
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1978.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1978.0;437.253906749652
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1978.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1978.0;6171.42582248374
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1979.0;7627.25248129326
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1979.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1979.0;405.966410398879
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1979.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1979.0;6249.78945967489
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1980.0;8082.0338799935
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1980.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1980.0;423.885491519456
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1980.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1980.0;6481.7312512234
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1981.0;7479.00970246969
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1981.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1981.0;438.111720994793
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1981.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1981.0;6651.40172935824
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1982.0;7270.65228713498
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1982.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1982.0;441.413535176711
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1982.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1982.0;6454.74775744075
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1983.0;6791.84989549783
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1983.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1983.0;462.308733478457
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1983.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1983.0;6164.3158731005
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1984.0;6989.80606085702
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1984.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1984.0;468.429520376464
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1984.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1984.0;6305.76263492676
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1985.0;7431.13002741928
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1985.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1985.0;482.322136950041
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1985.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1985.0;6042.72774355503
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1986.0;7944.34130653172
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1986.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1986.0;493.980612551453
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1986.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1986.0;5900.4753879296
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1987.0;8130.45118999141
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1987.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1987.0;501.685228150129
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1987.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1987.0;5924.93097605321
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1988.0;7944.47451476351
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1988.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1988.0;536.71025552431
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1988.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1988.0;6045.02440496934
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1989.0;8828.34386079388
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;China;CHN;1989.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;India;IND;1989.0;556.101535572563
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Russian Federation;RUS;1989.0;
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;South Africa;ZAF;1989.0;6043.49759385782
GNI per capita (constant 2010 US$);NY.GNP.PCAP.KD;Brazil;BRA;1990.0;7780.98635940914
