SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1970.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1970.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1970.0;2.88915702696259
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1970.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;South Africa;ZAF;1970.0;2.50460129058001
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1971.0;8.97542053307083
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1971.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1971.0;-0.601198616478129
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1971.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;South Africa;ZAF;1971.0;1.89610639603993
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1972.0;9.67093782820069
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1972.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1972.0;-2.79470136749359
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1972.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;South Africa;ZAF;1972.0;-1.17401948878133
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1973.0;10.937733525372
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1973.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1973.0;0.978327425350443
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1973.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;South Africa;ZAF;1973.0;1.70348930898612
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1974.0;6.90129153978593
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1974.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1974.0;-1.01814965526054
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1974.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;South Africa;ZAF;1974.0;3.10630770105489
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1975.0;2.17787269185253
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1975.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1975.0;6.71880249044916
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1975.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;South Africa;ZAF;1975.0;-1.30021409895568
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1976.0;6.99947015853171
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1976.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1976.0;-0.62522712072186
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1976.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;South Africa;ZAF;1976.0;-0.277218061791302
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1977.0;1.98396274902186
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1977.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1977.0;4.85311836064541
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1977.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;South Africa;ZAF;1977.0;-2.67745746282026
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Brazil;BRA;1978.0;0.122624236231218
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;China;CHN;1978.0;
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;India;IND;1978.0;3.40854312458528
GNI per capita growth (annual %);NY.GNP.PCAP.KD.ZG;Russian Federation;RUS;1978.0;
