SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Brazil;BRA;1970.0;450.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;China;CHN;1970.0;120.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;India;IND;1970.0;120.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Russian Federation;RUS;1970.0;
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;South Africa;ZAF;1970.0;800.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Brazil;BRA;1971.0;510.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;China;CHN;1971.0;130.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;India;IND;1971.0;120.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Russian Federation;RUS;1971.0;
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;South Africa;ZAF;1971.0;870.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Brazil;BRA;1972.0;590.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;China;CHN;1972.0;130.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;India;IND;1972.0;120.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Russian Federation;RUS;1972.0;
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;South Africa;ZAF;1972.0;920.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Brazil;BRA;1973.0;760.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;China;CHN;1973.0;160.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;India;IND;1973.0;140.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Russian Federation;RUS;1973.0;
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;South Africa;ZAF;1973.0;1110.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Brazil;BRA;1974.0;980.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;China;CHN;1974.0;180.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;India;IND;1974.0;170.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Russian Federation;RUS;1974.0;
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;South Africa;ZAF;1974.0;1400.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Brazil;BRA;1975.0;1180.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;China;CHN;1975.0;200.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;India;IND;1975.0;190.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Russian Federation;RUS;1975.0;
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;South Africa;ZAF;1975.0;1610.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;Brazil;BRA;1976.0;1360.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;China;CHN;1976.0;190.0
GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;India;IND;1976.0;180.0
