SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Brazil;BRA;1970.0;28230000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;China;CHN;1970.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;India;IND;1970.0;147350000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Russian Federation;RUS;1970.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;South Africa;ZAF;1970.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Brazil;BRA;1971.0;22640000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;China;CHN;1971.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;India;IND;1971.0;230260000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Russian Federation;RUS;1971.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;South Africa;ZAF;1971.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Brazil;BRA;1972.0;13030000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;China;CHN;1972.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;India;IND;1972.0;171200000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Russian Federation;RUS;1972.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;South Africa;ZAF;1972.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Brazil;BRA;1973.0;8070000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;China;CHN;1973.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;India;IND;1973.0;148610000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Russian Federation;RUS;1973.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;South Africa;ZAF;1973.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Brazil;BRA;1974.0;5630000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;China;CHN;1974.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;India;IND;1974.0;242690000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Russian Federation;RUS;1974.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;South Africa;ZAF;1974.0;
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;Brazil;BRA;1975.0;9360000.0
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;China;CHN;1975.0;
