SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1970.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1970.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1970.0;-0.165526354201816
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1970.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1970.0;17.4241515049686
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1971.0;15.3484632552323
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1971.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1971.0;8.3613286447586
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1971.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1971.0;10.315558167463
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1972.0;16.7146909135578
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1972.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1972.0;-4.58099384816862
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1972.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1972.0;-12.19524623502
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1973.0;20.9906713668282
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1973.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1973.0;19.4404894909281
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1973.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1973.0;13.8985465192962
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1974.0;13.2586211181576
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1974.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1974.0;-5.14704383972125
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1974.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1974.0;16.4718906475087
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1975.0;9.73434430746769
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1975.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1975.0;-10.0678990323425
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1975.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1975.0;1.74428315768542
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1976.0;7.0271977723261
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1976.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1976.0;18.2799325601036
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1976.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1976.0;-11.1759095670664
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1977.0;-1.17063631965657
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1977.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1977.0;16.6300645067836
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1977.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1977.0;-5.45844994807344
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Brazil;BRA;1978.0;4.74768698844355
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;China;CHN;1978.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;India;IND;1978.0;18.9982550382607
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;Russian Federation;RUS;1978.0;
Gross capital formation (annual % growth);NE.GDI.TOTL.KD.ZG;South Africa;ZAF;1978.0;-2.65825730776392
