SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1970.0;103634328453.906
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1970.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1970.0;36834819919.0784
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1970.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1970.0;26728535478.4977
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1971.0;119540605276.461
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1971.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1971.0;39914700268.2175
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1971.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1971.0;29485733103.0931
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1972.0;139521447964.617
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1972.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1972.0;38086210304.4155
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1972.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1972.0;25889875346.9701
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1973.0;168807936593.111
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1973.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1973.0;45490356016.1382
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1973.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1973.0;29488191715.8566
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1974.0;191189541323.371
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1974.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1974.0;43148947449.1423
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1974.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1974.0;34345454409.2202
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1975.0;209800589555.656
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1975.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1975.0;38804754986.4441
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1975.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1975.0;34944536385.9107
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1976.0;224543691911.238
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1976.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1976.0;45898238028.0795
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1976.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1976.0;31039166600.7907
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1977.0;221915101900.227
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1977.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1977.0;53531144619.6262
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1977.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1977.0;29344909227.5875
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1978.0;232450936318.536
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1978.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1978.0;63701127999.363
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1978.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;South Africa;ZAF;1978.0;28564846033.5884
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Brazil;BRA;1979.0;241483245159.459
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;China;CHN;1979.0;
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;India;IND;1979.0;56291002743.2285
Gross capital formation (constant 2010 US$);NE.GDI.TOTL.KD;Russian Federation;RUS;1979.0;
