SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1970.0;0.0145150004
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1970.0;74932546060.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1970.0;77964782738.0282
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Russian Federation;RUS;1970.0;
Gross capital formation (current LCU);NE.GDI.TOTL.CN;South Africa;ZAF;1970.0;3757000000.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1971.0;0.019971
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1971.0;82644779800.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1971.0;88233654743.0603
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Russian Federation;RUS;1971.0;
Gross capital formation (current LCU);NE.GDI.TOTL.CN;South Africa;ZAF;1971.0;4502000000.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1972.0;0.0267290007
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1972.0;79758199860.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1972.0;89143620593.4105
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Russian Federation;RUS;1972.0;
Gross capital formation (current LCU);NE.GDI.TOTL.CN;South Africa;ZAF;1972.0;4356000000.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1973.0;0.0410300009
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1973.0;90833391620.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1973.0;128147491423.985
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Russian Federation;RUS;1973.0;
Gross capital formation (current LCU);NE.GDI.TOTL.CN;South Africa;ZAF;1973.0;5419000000.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1974.0;0.0658740029
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1974.0;93897156030.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1974.0;152752455779.284
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Russian Federation;RUS;1974.0;
Gross capital formation (current LCU);NE.GDI.TOTL.CN;South Africa;ZAF;1974.0;7511000000.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1975.0;0.0980729982
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1975.0;106491066570.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1975.0;161541661294.894
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Russian Federation;RUS;1975.0;
Gross capital formation (current LCU);NE.GDI.TOTL.CN;South Africa;ZAF;1975.0;9116000000.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1976.0;0.1369089931
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1976.0;99280576550.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1976.0;175848561028.436
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Russian Federation;RUS;1976.0;
Gross capital formation (current LCU);NE.GDI.TOTL.CN;South Africa;ZAF;1976.0;9670000000.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1977.0;0.1998690069
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1977.0;110106619870.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1977.0;204028936897.096
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Russian Federation;RUS;1977.0;
Gross capital formation (current LCU);NE.GDI.TOTL.CN;South Africa;ZAF;1977.0;10515000000.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;Brazil;BRA;1978.0;0.3029690087
Gross capital formation (current LCU);NE.GDI.TOTL.CN;China;CHN;1978.0;138333244300.0
Gross capital formation (current LCU);NE.GDI.TOTL.CN;India;IND;1978.0;261929124630.214
