SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Brazil;BRA;1970.0;155518550.362996
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;China;CHN;1970.0;1279851554.79222
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;India;IND;1970.0;323676138.140608
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Russian Federation;RUS;1970.0;3913016788.48337
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;South Africa;ZAF;1970.0;248407568.359151
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Brazil;BRA;1971.0;184233375.449334
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;China;CHN;1971.0;1573576431.27363
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;India;IND;1971.0;369539673.83976
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Russian Federation;RUS;1971.0;4494638758.9703
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;South Africa;ZAF;1971.0;302584016.436115
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Brazil;BRA;1972.0;220582388.093953
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;China;CHN;1972.0;1796819560.02668
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;India;IND;1972.0;420186568.502438
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Russian Federation;RUS;1972.0;5082292628.54403
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;South Africa;ZAF;1972.0;331223690.462045
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Brazil;BRA;1973.0;277579834.473306
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;China;CHN;1973.0;2029607070.29946
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;India;IND;1973.0;470117562.030905
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Russian Federation;RUS;1973.0;5755891390.33003
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;South Africa;ZAF;1973.0;363643952.794071
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Brazil;BRA;1974.0;337499044.815805
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;China;CHN;1974.0;2324422117.0446
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;India;IND;1974.0;545790676.881264
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Russian Federation;RUS;1974.0;6709416480.56181
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;South Africa;ZAF;1974.0;415789575.009395
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;Brazil;BRA;1975.0;400231284.525635
Adjusted savings: carbon dioxide damage (current US$);NY.ADJ.DCO2.CD;China;CHN;1975.0;3033167299.77569
