City,Year,R&D Expenditure (% of GDP),"Patents per 100,000 Inhabitants",Unemployment Rate (%),Youth Unemployment Rate (%),SME Employment (%),Tourism Sector Employment (%),ICT Sector Employment (%)
Ahmedabad,2019,1.06,3.4,5.6,11.8,38.5,5.2,20.7
Ahmedabad,2020,1.93,2.1,6.6,10.4,19.5,4.2,6.8
Ahmedabad,2021,1.6,6.6,5.8,8.9,16.7,5.1,13.4
Ahmedabad,2022,1.4,6.3,6.2,10.7,33.5,7.5,22.6
Ahmedabad,2023,0.73,2.9,7.8,10.5,29.4,6.5,23.9
Ahmedabad,2024,0.73,5.1,5.5,9.4,36,9.4,14.3
Bengaluru,2019,0.59,6,7.8,8.5,18.5,8.9,17.3
Bengaluru,2020,1.8,4.6,7.6,10.7,34.9,6.1,8.3
Bengaluru,2021,1.4,4.4,4.8,10.1,20,5.6,24.8
Bengaluru,2022,1.56,2.8,4.3,11.1,19.1,6.3,9.6
Bengaluru,2023,0.53,2,4.4,10.1,19.1,7.5,23.9
Bengaluru,2024,1.95,6.4,4.1,11.4,35.4,5.6,18
Mumbai,2019,1.75,6.5,4.4,10.2,31.6,7.7,17.2
Mumbai,2020,0.82,5,6.7,10.2,28.1,6.5,15.3
Mumbai,2021,0.77,3.4,4.3,11.5,24,7.3,9.6
Mumbai,2022,0.78,3.4,5.3,9.6,36.9,6.6,8.5
Mumbai,2023,0.96,5.5,7.4,8.5,24.8,5.8,9.4
Mumbai,2024,1.29,6.4,4.1,8.1,35.4,9.7,8.7
Hyderabad,2019,1.15,6.4,7.3,11,26,8.6,20.6
Hyderabad,2020,0.94,5.8,5.1,10.5,24.4,4.8,12
Hyderabad,2021,1.42,5,4.5,10.8,26.6,9.2,6.2
Hyderabad,2022,0.71,2,6.8,8.9,22.5,6.9,24.4
Hyderabad,2023,0.94,2.4,6.5,8.5,33.7,9.4,22.7
Hyderabad,2024,1.05,6.4,7.5,8.1,27.6,8.8,23.6
Chennai,2019,1.18,4.8,6.9,9.4,20.8,6.6,24.9
Chennai,2020,1.68,1.6,7.2,10.4,37.5,4.1,8.5
Chennai,2021,0.8,2.1,5.1,9.6,24.6,5.6,12.9
Chennai,2022,1.27,5.1,4.7,9.7,28.6,7.2,20.2
Chennai,2023,1.39,1.5,7,11.6,37.7,7.8,18.9
Chennai,2024,0.57,2.4,7.2,9.4,30.6,5.5,8.1
Kolkata,2019,1.41,4.5,8,10.1,17.9,4.8,21.3
Kolkata,2020,0.76,5.3,5.7,11.1,38.5,9,9.5
Kolkata,2021,0.6,5.1,5.5,9.6,30.7,9.9,9.5
Kolkata,2022,1.92,2.7,7.1,10.5,23.4,7.2,15.7
Kolkata,2023,1.95,5.4,5.4,11.4,18.5,5,16.9
Kolkata,2024,1.71,2.8,7.7,11.8,34.9,5.6,16.6
Delhi,2019,0.96,3.3,7.4,8.6,30.5,4.1,6.8
Delhi,2020,0.65,5.6,5.7,11.7,28.3,9.5,22.5
Delhi,2021,1.53,5.1,7,10,37.3,4.7,10.3
Delhi,2022,1.16,6.2,7,9,34.7,7.5,7.6
Delhi,2023,0.68,5.1,4.4,9.8,18.8,5.6,22.8
Delhi,2024,1.24,4.6,7.6,11.9,22.8,7.3,24.1
Pune,2019,0.55,2,6,10,21.2,7.9,22.2
Pune,2020,1.86,3.5,7.3,9.3,33.6,9,21.2
Pune,2021,0.89,3,5.3,10.5,15.8,5.2,18.1
Pune,2022,1.49,2.8,7.6,9,29.2,4.1,16
Pune,2023,0.97,6.9,5.6,8.3,34.1,4.8,6.7
Pune,2024,1.28,3.7,4,8.5,36.9,9.4,13.2
Surat,2019,1.32,6.4,7.6,8.5,23.6,9.2,12.5
Surat,2020,0.78,5,4.4,8.6,35.5,7.6,10.2
Surat,2021,1.95,5.9,5.3,8.6,17.8,7.6,19.5
Surat,2022,1.66,4.3,7.8,10.6,36.2,8,14.9
Surat,2023,1.91,4.7,7.8,8.7,18.2,5.1,6.6
Surat,2024,1.84,4.2,6.3,9.4,24.9,9.5,9.4
Jaipur,2019,1.4,2.6,6.5,11.6,34.9,6.5,18.7
Jaipur,2020,1.88,5.5,5.8,9.9,18.7,6.3,6.5
Jaipur,2021,0.63,3,5.2,10.7,20.7,7.1,22
Jaipur,2022,0.79,1.6,5.3,8.7,33.1,4.3,14.9
Jaipur,2023,0.57,5.1,6.7,8.8,33,5,14.6
Jaipur,2024,0.99,2.5,7,8.2,31,8.4,16.8
Lucknow,2019,1.08,6.7,7.2,8.7,32.3,4.5,21.5
Lucknow,2020,0.91,6.7,7.2,9.1,28.6,7.6,12
Lucknow,2021,1.74,6.5,4.4,8.7,21.3,5.5,18.6
Lucknow,2022,1.04,3.5,6,8.4,23.6,6.3,16.3
Lucknow,2023,0.92,1.6,4.2,8.5,19.5,5.7,10.3
Lucknow,2024,1.31,6.6,6.2,9.8,37.7,6.1,22.6
Kanpur,2019,0.71,3.9,5.8,8.8,29.6,8.3,20.9
Kanpur,2020,1.7,6.8,7.6,9.5,25,5.8,18.2
Kanpur,2021,0.61,6.8,5.4,10,26.6,7.4,22
Kanpur,2022,1.98,6.2,4.5,10.8,38.7,6.9,22.3
Kanpur,2023,1.66,3.1,4.6,8.2,18.8,8,19.2
Kanpur,2024,0.8,3.6,7,11.2,29.7,9.6,21.7
Nagpur,2019,0.51,6.2,6.5,10.5,27.6,8.4,18.9
Nagpur,2020,1.72,3.2,4.4,8.3,30.3,5.3,18.6
Nagpur,2021,1.56,2.4,4.3,11.5,15.5,4.2,17.4
Nagpur,2022,1.59,4.6,6.8,11.7,36.8,5.6,20.1
Nagpur,2023,1.66,6.6,4.3,8.2,38.3,7.6,8.2
Nagpur,2024,0.61,5.3,7.3,9.1,29.1,4.3,22.6
Indore,2019,1.04,4.6,6.8,11.2,32.4,7,22.4
Indore,2020,0.67,2,4.3,11,38.1,7.6,5.6
Indore,2021,1.79,4.9,4.3,8.7,32.7,6,21.5
Indore,2022,1.43,6.9,7.9,8.8,18.8,8.6,7.6
Indore,2023,1,2.3,5.5,9.5,29.4,4.6,11.7
Indore,2024,0.6,4.4,5.5,9.9,30.2,4.5,19.9
Bhopal,2019,0.97,6.3,7.3,10.5,25.6,8.4,8.2
Bhopal,2020,0.99,5.6,7.8,9.5,33.4,7,21.4
Bhopal,2021,1.59,5.3,7.9,9.9,38.4,8.1,21.6
Bhopal,2022,1.46,5.4,7,11,38.1,6.6,15.1
Bhopal,2023,1.83,3.5,5.5,8.1,26.3,5.5,5.1
Bhopal,2024,1.21,3.1,4.3,9,17.8,8.9,10.7
Patna,2019,0.68,6,7.1,10.9,39.6,8.8,17.3
Patna,2020,1.57,6,6.2,11.6,36,8.2,24.6
Patna,2021,1.64,6.3,5.7,10,18.1,5.6,17.6
Patna,2022,1.34,6.5,7.6,10.1,38,7.5,10.2
Patna,2023,1.66,4.3,4.4,8.4,36.7,6.2,17.7
Patna,2024,1.24,4.3,6,9.8,28,4.5,15.8
Vadodara,2019,1.28,5.9,4,10.1,29.8,9.5,20.6
Vadodara,2020,1.14,5.1,5.9,9,25,4.8,7.1
Vadodara,2021,0.54,5.4,4.2,9.1,16.4,9.7,20.2
Vadodara,2022,0.66,5.9,4.5,9.5,23.4,6.7,15.8
Vadodara,2023,0.55,6.4,4.5,8.1,35.1,5.1,24.3
Vadodara,2024,1.45,3.4,6.6,9.3,15.1,7.3,11.8
Ludhiana,2019,0.97,3.6,7,8.8,23.3,9.2,17.7
Ludhiana,2020,1.26,2,6.3,9.3,25,8.4,23.6
Ludhiana,2021,1.86,4.7,7.8,8.5,28.4,8.8,7.1
Ludhiana,2022,0.87,1.7,5.5,11.6,38,8,23.7
Ludhiana,2023,1.12,4.1,5.1,10.4,23.7,8.2,18.8
Ludhiana,2024,1.63,4.5,7.5,10.7,23.7,9.1,6.4
Agra,2019,0.84,3.1,4.9,11.2,33.4,5.5,11
Agra,2020,0.62,4.7,7.9,10,26.3,6.9,19.2
Agra,2021,0.93,1.7,4,8.3,20.6,5.3,6.3
Agra,2022,0.74,1.7,7.9,10.1,26.3,9.9,16.6
Agra,2023,1.89,6,4.2,10.3,18.5,9.7,11.9
Agra,2024,1.71,3.5,7.6,11,19.4,4.2,17.4
Nashik,2019,1.45,2.2,6.1,9.7,27.5,8.2,5.9
Nashik,2020,1.81,4.4,8,8.5,25.5,9.6,22.4
Nashik,2021,1.71,5.7,4.3,9.1,37.9,5.1,24.5
Nashik,2022,0.78,2.7,6.2,9.5,24.1,7.4,24.4
Nashik,2023,1.84,4.9,7.9,10.6,29.5,9.5,20
Nashik,2024,1.31,2,6.1,10.3,30.8,4.2,7.6
Faridabad,2019,1.71,1.8,6.5,9.4,15.3,8.2,20.2
Faridabad,2020,1.84,4.4,6.8,11.9,31.6,5.8,5.5
Faridabad,2021,0.98,4.5,5.8,10.4,19.5,9.5,5.4
Faridabad,2022,0.67,5,6.5,8.9,39,9.8,11.5
Faridabad,2023,0.84,5.5,6.3,8.4,18.7,9.7,14.8
Faridabad,2024,1.14,6.9,7.6,8.6,25.4,6.8,20.4
Meerut,2019,1.73,4.3,4.2,9,17.1,9.2,18.7
Meerut,2020,1.79,3.3,5.1,8.6,39.9,9.1,13.9
Meerut,2021,0.51,5.9,7.8,8.7,27.6,5.9,10.5
Meerut,2022,1.27,3,7.6,9.1,29.9,9,24.9
Meerut,2023,1.13,3.9,5.8,8.7,16.7,4.2,13.5
Meerut,2024,0.83,1.9,6.5,11.6,33.7,7.6,14
Rajkot,2019,0.68,1.6,5.1,8.3,20.2,5.4,8.3
Rajkot,2020,1.01,6.8,4.8,10.1,37.5,4.7,20.9
Rajkot,2021,1.91,6.1,5.9,9.6,20.1,4.5,18.9
Rajkot,2022,0.98,5.3,5.4,11.9,19.8,8.2,9.4
Rajkot,2023,1.28,3.7,6.3,8.4,15.9,6,6.6
Rajkot,2024,1.55,2.5,4.3,9.6,26.8,8.3,18.6
Varanasi,2019,1.05,2.4,7.9,11.9,29.1,4.4,18.1
Varanasi,2020,1.96,2.9,7.9,11.5,16.6,5.9,10.5
Varanasi,2021,1.94,4.5,6.8,11.3,34.4,7.2,24
Varanasi,2022,0.88,5.4,6.1,9,26.3,8.7,8
Varanasi,2023,1.25,5.1,5.2,8.7,28.1,5.9,13.6
Varanasi,2024,0.95,3,7.3,10.7,26,7.8,23.9
Srinagar,2019,0.93,6.8,6.7,11.7,25,9.3,13.4
Srinagar,2020,0.56,5.6,4.7,10.2,29,7.7,17.8
Srinagar,2021,1.41,4.5,7.6,10.3,18.9,5.4,13
Srinagar,2022,1.25,4.9,7.3,9.1,19.5,4.1,10.5
Srinagar,2023,0.58,3.8,7.8,11.1,36.5,9.2,24.7
Srinagar,2024,0.92,2.9,6.9,8.7,38.7,4.1,13.2
Aurangabad,2019,1.86,3.5,6.5,9.3,24.3,9.2,22.9
Aurangabad,2020,0.86,5.7,5.7,9.7,21.8,7.2,9.6
Aurangabad,2021,0.72,1.6,7.7,10,31.1,9.6,9.3
Aurangabad,2022,1.23,2.1,7.5,9,25.2,8.8,5.6
Aurangabad,2023,1.98,1.8,4.2,8.5,15.6,10,18
Aurangabad,2024,0.86,1.7,4.1,10.4,18.9,6.1,12.4
Dhanbad,2019,1.51,6.2,5.5,9.2,32.9,8.6,22.3
Dhanbad,2020,1.64,5.4,7.2,10.3,31.5,6.4,14.5
Dhanbad,2021,0.86,4.1,7.9,8.6,15.7,6.9,24.4
Dhanbad,2022,1.59,2,4.6,9.9,20.5,7.8,8.7
Dhanbad,2023,1.05,4.2,6.4,10.1,20.8,9.2,22.4
Dhanbad,2024,1.45,4.1,5.5,8.2,31.8,9.9,20.5
Amritsar,2019,1.45,2.5,7.9,9.3,15.5,8.6,20.4
Amritsar,2020,1.3,3.9,7.4,8.5,17.6,6.5,21.9
Amritsar,2021,0.64,3.7,7.4,8.3,35,6.5,20.2
Amritsar,2022,1.75,4.9,5.9,12,19.5,8.4,17.5
Amritsar,2023,0.98,5,5.7,9.3,31.3,5.4,7.6
Amritsar,2024,0.78,1.7,5.1,11.2,21,4.7,5.7
Allahabad,2019,0.56,3.6,4.2,9,17.5,6.1,23.4
Allahabad,2020,1.39,4.9,7.5,10.7,21.1,5.7,17.3
Allahabad,2021,1.52,4.3,7.3,11,33.1,5.8,20.9
Allahabad,2022,0.52,6.2,8,10.4,36.4,5.4,14.6
