#,School Name,Alumni network rank,Carbon footprint rank,Weighted salary (US$),Value for money rank,Career progress rank,"Location, by primary campus",Rank in 2022,Three-year average rank,Audit year *,Rank in 2023,Salary today (US$) **,Employed at three months (%),Salary percentage increase,Aims achieved (%),Careers service rank,International board (%),Women on board (%),International students (%),Sector diversity rank,Female faculty (%),Female students (%),International faculty (%),Overall satisfaction **,ESG and net zero teaching rank,International mobility rank,International course experience rank,Faculty with doctorates (%),FT research rank
1,University of Pennsylvania: Wharton,25,56,"245,772",95,18,US,1,-,"2,018",-,"247,875",92 (92),121,89,23,35,21,35,84,31,50,32,9.198,61,54,34,96,1
2,Insead,20,13,"198,904",23,40,France,3,2,"2,020",2,"202,294",84 (99),110,88,51,83,50,96,81,24,36,88,9.155,8,13,11,99,10
3,Columbia Business School,17,61,"232,760",76,9,US,2,2,"2,019",1,"232,756",81 (91),127,89,20,37,21,57,78,29,44,58,9.225,67,55,55,93,4
3,SDA Bocconi School of Management,38,1,"202,534",5,43,Italy,13,7,"2,019",6,"202,534",95 (94),135,86,17,79,36,74,33,38,29,44,8.997,29,35,15,99,29
5,IESE Business School,5,7,"186,339",97,26,Spain,10,6,"2,022",3,"187,667",94 (89),139,91,8,90,32,87,20,41,34,73,9.603,2,22,12,100,36
6,"Northwestern University, Kellogg School of Management",7,18,"216,134",88,25,US,5,7,"2,019",9,"220,178",92 (99),125,90,12,26,45,47,41,25,48,56,9.32,23,68,36,100,14
6,MIT: Sloan,12,13,"229,639",77,14,US,11,9,"2,019",11,"229,639",87 (100),130,89,43,49,25,41,88,28,46,49,9.4,58,51,75,100,21
8,London Business School,24,58,"192,331",99,12,UK,8,11,"2,020",16,"196,169",90 (99),108,91,26,94,38,95,82,31,43,88,9.198,12,12,5,99,7
9,Cornell University: Johnson,3,36,"194,542",72,52,US,17,11,"2,024",8,"197,906",93 (99),150,91,7,36,25,54,76,29,43,48,9.256,69,85,45,100,6
10,University of Chicago: Booth,14,86,"228,901",89,55,US,7,9,"2,024",11,"230,621",94 (98),126,90,13,50,16,48,70,21,42,35,9.56,71,66,48,93,2
11,Harvard Business School,13,17,"246,509",93,5,US,3,6,"2,018",4,"245,217",80 (100),112,90,24,0 ?,0 ?,39,99,33,45,42,9.636,90,56,77,88,2
