City,Year,GDP (in billion $),Agriculture (%),Industry (%),Services (%),Technology (%)
Ahmedabad,2019,187.2,15.7,32.1,40.9,20.6
Ahmedabad,2020,211.5,11.6,37.8,49.3,19.6
Ahmedabad,2021,247.9,12.9,31.4,48.5,11.8
Ahmedabad,2022,71.8,5.3,36.7,45.6,31.8
Ahmedabad,2023,294.7,17,29.2,45.6,13
Bengaluru,2019,210,7.2,38.9,40.4,20.4
Bengaluru,2020,116.1,16.6,29.1,41.4,10.5
Bengaluru,2021,204.4,14.2,32.3,48.9,27
Bengaluru,2022,139.9,11.6,34,31.2,26.7
Bengaluru,2023,217.7,8.2,22.6,36.3,19.1
Mumbai,2019,192.5,11.6,39.8,32,15.2
Mumbai,2020,90.3,14.8,25.1,39.3,16.1
Mumbai,2021,89.7,6.7,33.1,32.8,14.9
Mumbai,2022,142.2,17.3,21.9,46.8,12.4
Mumbai,2023,294.1,12,39.5,42.1,28.5
Delhi,2019,59.8,9.2,22.4,35.9,13
Delhi,2020,129.5,11.2,21.3,43.8,24.2
Delhi,2021,116.3,12.8,21.9,41.5,33.2
Delhi,2022,129.6,15,22.6,44.3,17.2
Delhi,2023,95.8,13.8,20.4,46.6,10.1
Hyderabad,2019,219.5,9.1,34.7,49.2,16.2
Hyderabad,2020,194,13.9,31.4,34.5,33.8
Hyderabad,2021,161.8,17.7,34,35.9,30.3
Hyderabad,2022,149.1,18.2,31.6,47.6,27.3
Hyderabad,2023,231.3,12.5,39.1,42.9,20.6
Kolkata,2019,201.6,5.3,26,43.2,17.3
Kolkata,2020,204.5,11.4,22.7,36,24.2
Kolkata,2021,197.7,13.6,33.1,43,20.8
Kolkata,2022,274.1,10.5,28.7,47.8,30.2
Kolkata,2023,226,6.5,38.4,44.3,35
Chennai,2019,87.4,18,23.2,42.3,13.1
Chennai,2020,262,17.1,31.4,38.1,11.7
Chennai,2021,224.4,11.8,34.4,47.3,34.4
Chennai,2022,264,5.2,27.2,44.6,14.3
Chennai,2023,180.3,5.8,24,30.4,29.8
Pune,2019,106,10.2,38.6,44.1,10.8
Pune,2020,91.2,14.3,31.5,34.8,33.4
Pune,2021,203.5,13,31.8,44.6,17.8
Pune,2022,149.6,8.1,23.7,48.9,28.5
Pune,2023,172.6,8.4,25.1,31.2,20.9
Jaipur,2019,127.9,15.4,27.6,33.6,10.6
Jaipur,2020,66.8,15.2,29.1,40.7,32.4
Jaipur,2021,297.6,8.3,33.3,35.3,10.5
Jaipur,2022,239.6,9.8,27.7,41.8,30.8
Jaipur,2023,207.2,18.1,25.5,46,14.6
Lucknow,2019,288.2,15.3,24.3,48.9,28.3
Lucknow,2020,113.5,8.2,30.4,30.5,15.2
Lucknow,2021,156.2,10.6,29.3,35.6,24.7
Lucknow,2022,266,6.8,30.3,32.6,27.9
Lucknow,2023,149,13.5,23.7,32.9,22.2
Gurugram,2019,138.9,19.1,35.3,45,32.6
Gurugram,2020,70.9,13.3,31.7,49.2,17.3
Gurugram,2021,110.2,6.5,20.3,48.6,26.7
Gurugram,2022,246.3,9.2,31.7,31.3,22.1
Gurugram,2023,294.4,18.1,26.8,49.2,15.8
Chandigarh,2019,287.3,19.1,36,42.6,31.9
Chandigarh,2020,123.3,17.7,32.4,30.3,18.7
Chandigarh,2021,87,19.7,29.6,39.9,26
Chandigarh,2022,142.1,7.1,36.4,33.8,22.8
Chandigarh,2023,106.1,6.5,37.2,49.5,34
Coimbatore,2019,276.6,16.6,26.7,31.6,20.2
Coimbatore,2020,108.1,7,21.1,44.5,10.3
Coimbatore,2021,242.6,7.2,21.6,31.8,26.8
Coimbatore,2022,111.3,11.3,31.1,47.2,28.2
Coimbatore,2023,117.6,7,21.1,36,16.6
Visakhapatnam,2019,164,15.2,33.9,35.7,19.5
Visakhapatnam,2020,95.3,16.8,21.1,43.9,29.5
Visakhapatnam,2021,244.4,8.9,27.5,41.8,16.8
Visakhapatnam,2022,142.7,8,29.2,30.9,30
Visakhapatnam,2023,69.2,12.8,26.1,41.6,34
Patna,2019,211.4,5.5,28.6,40.2,23.4
Patna,2020,220.3,9.2,22.6,37.9,33.9
Patna,2021,96.8,18.6,30.9,39.1,32.1
Patna,2022,164.7,15.9,28,48.1,27.3
Patna,2023,224.9,9.9,35.1,42.7,16
Bhopal,2019,90.1,16.9,39.2,39.2,24.8
Bhopal,2020,264.4,11.9,39,41.5,30.5
Bhopal,2021,277.2,17.2,23.2,42.6,20
Bhopal,2022,65.7,11.4,25.2,47,10.8
Bhopal,2023,289.7,10.3,27.1,30.3,14.6
Thiruvananthapuram,2019,150.3,18.9,22,48.9,31.7
Thiruvananthapuram,2020,163.5,9.9,24.7,42.3,10.8
Thiruvananthapuram,2021,53.9,11.4,21.4,35,15.5
Thiruvananthapuram,2022,113.3,7,20.2,32.3,25.5
Thiruvananthapuram,2023,293.6,19.9,28.2,33.3,26
Ernakulam,2019,172.6,19.8,21.3,45.7,17.2
Ernakulam,2020,110.4,14.9,24.9,43.3,22.9
Ernakulam,2021,156,13.3,25.7,44.1,20.4
Ernakulam,2022,140.1,17.4,38.5,30.9,15.8
Ernakulam,2023,137.1,17.2,39.7,49.4,32.6
Amritsar,2019,124.1,19.9,25,32.1,33.8
Amritsar,2020,108.4,15.3,21.2,44.6,32
Amritsar,2021,118.1,10.7,27.5,45,15.9
Amritsar,2022,93,11.7,26.1,46.8,15.9
Amritsar,2023,175.6,19.1,32.7,47.3,33.5
Shillong,2019,237.7,15.5,39.4,49.9,21.3
Shillong,2020,67.7,9.4,23,38.3,13.3
Shillong,2021,201,10.7,37.9,49.4,23.7
Shillong,2022,118.7,13.9,37.9,38.1,23.8
Shillong,2023,117.9,11.8,28,35,22.6
Jorapokhar,2019,127.6,10.6,30.5,45,18.3
Jorapokhar,2020,281,17.9,21,35.1,21.2
Jorapokhar,2021,76.2,10.2,34.8,43.6,25.6
Jorapokhar,2022,227.6,8.1,26.8,43.5,32
Jorapokhar,2023,185.9,9.2,20.6,44.2,10.2
Talcher,2019,143.2,13,38.4,31.8,20.1
Talcher,2020,56.1,10.1,32.4,35.6,15.2
Talcher,2021,78.9,13.7,33.9,43.4,33.7
Talcher,2022,50.7,14.7,32,41.8,34.1
Talcher,2023,54.2,15.4,36.3,40.2,18.3
Guwahati,2019,247.7,6.5,28.8,40.4,27.3
Guwahati,2020,72.7,8.4,28.2,42.5,32.2
Guwahati,2021,204.7,7,39.6,47.4,22.6
Guwahati,2022,280.6,13.1,38.5,46.6,34.2
Guwahati,2023,279.9,5.5,23.5,37.8,33.8
Aizawl,2019,125,7.4,37.7,38.9,32.7
Aizawl,2020,90.1,14.9,28.8,31.5,27.4
Aizawl,2021,111.8,5.6,21.2,31.2,32.7
Aizawl,2022,235,18.5,33.5,40.6,17.6
Aizawl,2023,299.5,10.4,29.4,37.6,34.5
Amaravati,2019,93.7,9.9,33.6,31.3,25.2
Amaravati,2020,169.4,9.3,24.8,40.3,19.2
Amaravati,2021,164.1,10.1,39.4,32.7,12.4
Amaravati,2022,135.8,13.9,33.2,37.9,35
Amaravati,2023,138,15.8,32.8,46.3,34.4
Brajrajnagar,2019,272.4,16.5,34,36.7,13.7
Brajrajnagar,2020,65.7,8.6,28.6,40.4,29.3
Brajrajnagar,2021,289.7,6.8,22.1,41.8,28.6
Brajrajnagar,2022,262,19,39.7,38,19.5
Brajrajnagar,2023,87,15.3,33.1,47.2,12.4
Kochi,2019,174.4,13.7,24.8,33.4,31.5
Kochi,2020,64.6,12.1,22.3,39.1,34.5
Kochi,2021,155.9,17.9,22.3,35.4,20.1
Kochi,2022,150,15.1,26.9,44.3,26
Kochi,2023,149.8,11.5,32.3,31.4,30.6
Gandhinagar,2019,213.4,15.9,30.7,32.2,20.1
Gandhinagar,2020,151.3,9.8,20.6,44.7,12.7
Gandhinagar,2021,201.6,15.5,32.7,49.2,12.6
Gandhinagar,2022,266.8,5.4,30.7,38.1,23.1
Gandhinagar,2023,141.3,7.9,20.4,40.4,31.1
Indore,2019,143.3,8.3,21.6,31.7,15.5
