Emotion,Song Name,old/new,Movie/Artist name,,
Angry,Aafat ,new, Badshah ,,
Angry,Chandigarh Mein ,new, Chandigarh Kare Aashiqui ,,
Angry,Tere Pyaar Mein ,new, Emiway Bantai ,,
Angry,Tu Bhi Roothe ,new, The Body ,,
Angry,Mere Angne Mein Tu ,new, Coolie No. 1 ,,
Angry,Heer Toh Badi Sad Hai ,new, Badshah ,,
Angry,Chandigarh Ve ,new, Kill Dil ,,
Angry,Aaj Ki Raat ,new, Gold ,,
Angry,Main Hoon ,new, KGF: Chapter 2 ,,
Angry,Yeh Hai Bombay Meri Jaan ,new, Bombay Velvet ,,
Angry,Jumma Chumma De De ,old, Hum,,
Angry,Yeh Mera Dil Pyaar Ka Deewana ,old, Deewana,,
Angry,Aaj Roop Zindagi Hai ,old, Deewana Mastana,,
Angry,Tu Mera Hero Hai ,old, Hero,,
Angry,Maar Dala ,old, Gupt,,
Angry,Naino Mein Sapna ,old, Andaz ,,
Angry,Mere Angne Mein Tumhara Kya Kaam Hai,old,Anamika,,
Angry,Jhoot Bole Kauwa Kate ,old, Teesri Manzil,,
Angry,Likhe Jo Khat Tujhe ,old, Yaadon Ki Baarat ,,
Angry,Main Hoon Hero Hindustan Ka ,old, Hero.,,
Anxiety,Tum Se ,new, Jalebi,,
Anxiety,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety,,
Anxiety,Tum Ho ,new, Rockstar,,
Anxiety,Tere Sang Yaara ,new, Rustom,,
Anxiety,Tum Hi Aana ,new, Marjaavaan,,
Anxiety,Tere Bin ,new, Simmba,,
Anxiety,Tu Jaane Na ,new, Ajab Prem Ki Ghazab Kahani,,
Anxiety,Pehli Nazar Mein ,new, Race,,
Anxiety,Tum Mile ,new, Tum Mile,,
Anxiety,Tera Ban Jaunga ,new, Kabir Singh.,,
Anxiety,Tere Bina Zindagi Se ,old, Aandhi,,
Anxiety,Tum Aa Gaye Ho ,old, Aandhi,,
Anxiety,Tum Paas Aaye ,old, Kuch Kuch Hota Hai,,
Anxiety,Tum Se Hi ,old, Jab We Met,,
Anxiety,Tum Hi Ho ,old, Aashiqui 2,,
Anxiety,Tum Se ,old, Jalebi,,
Anxiety,Tera Yaar Hoon Main ,old, Sonu Ke Titu Ki Sweety,,
Anxiety,Tum Ho ,old, Rockstar,,
Anxiety,Tere Sang Yaara ,old, Rustom,,
Anxiety,Tum Hi Aana ,old, Marjaavaan.,,
Confusion,Pehli Baar ,new, Dil Dhadakne Do,,
Confusion,Bolna ,new, Kapoor & Sons,,
Confusion,Soch Na Sake ,new, Airlift,,
Confusion,Channa Mereya ,new, Ae Dil Hai Mushkil,,
Confusion,Nazm Nazm ,new, Bareilly Ki Barfi,,
Confusion,Dil Diyan Gallan ,new, Tiger Zinda Hai,,
Confusion,Naina Da Kya Kasoor ,new, Andhadhun,,
Confusion,Tera Fitoor ,new, Genius,,
Confusion,Pal ,new, Jalebi,,
Confusion,Dil Mein Ho Tum ,new, Why Cheat India.,,
Confusion,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Confusion,Dil To Pagal Hai ,old, Dil To Pagal Hai,,
Confusion,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai,,
Confusion,Tumko Dekha To ,old, Saath Saath,,
Confusion,Tere Bina Jiya Jaye Na ,old, Ghar,,
Confusion,Dil Kya Kare ,old, Julie,,
Confusion,Tere Bina ,old, Guru,,
Confusion,Tum Mile Dil Khile ,old, Criminal,,
Confusion,Tum Itna Jo Muskura Rahe Ho ,old, Arth,,
Confusion,Tum Se Milke ,old, Parinda.,,
Devotion,Shukran Allah ,new, Kurbaan,,
Devotion,Kun Faya Kun ,new, Rockstar,,
Devotion,Maula Mere Lele Meri Jaan ,new, Chak De India,,
Devotion,O Re Piya ,new, Aaja Nachle,,
Devotion,Piya O Re Piya ,new, Tere Naal Love Ho Gaya,,
Devotion,Ishq Sufiyana ,new, The Dirty Picture,,
Devotion,O Saiyyan ,new, Agneepath,,
Devotion,Nagada Sang Dhol ,new, Goliyon Ki Raasleela Ram-Leela,,
Devotion,Deewani Mastani ,new, Bajirao Mastani,,
Devotion,Ik Vaari Aa ,new, Raabta.,,
Devotion,Yeh Ishq Hai ,old, Jab We Met,,
Devotion,Tere Liye ,old, Veer-Zaara,,
Devotion,Suraj Hua Maddham ,old, Kabhi Khushi Kabhie Gham,,
Devotion,Tere Naam ,old, Tere Naam,,
Devotion,Pehla Pehla Pyar Hai ,old, Hum Aapke Hain Koun,,
Devotion,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Devotion,Bahon Ke Darmiyan :The Musical ,old, Khamoshi,,
Devotion,Pardesi Pardesi ,old, Raja Hindustani,,
Devotion,Dil Hai Ki Manta Nahin ,old, Dil Hai Ki Manta Nahin,,
Devotion,Mere Mehboob Qayamat Hogi ,old, Mr. X in Bombay.,,
Disgust,Sheila Ki Jawani ,new, Tees Maar Khan,,
Disgust,Munni Badnaam Hui ,new, Dabangg,,
Disgust,Fevicol Se ,new, Dabangg 2,,
Disgust,Baby Doll ,new, Ragini MMS 2,,
Disgust,Pink Lips ,new, Hate Story 2,,
Disgust,Chittiyaan Kalaiyaan ,new, Roy,,
Disgust,Selfie Le Le Re ,new, Bajrangi Bhaijaan,,
Disgust,Prem Ratan Dhan Payo ,new, Prem Ratan Dhan Payo,,
Disgust,Laila Main Laila ,new, Raees,,
Disgust,Swag Se Swagat ,new, Tiger Zinda Hai.,,
Disgust,Kanta Laga ,old, Samadhi,,
Disgust,Kaanta Laga ,old, Kaanta Laga,,
Disgust,Chadti Jawani ,old, Caravan,,
Disgust,Mehbooba Mehbooba ,old, Sholay,,
Disgust,Choli Ke Peeche ,old, Khalnayak,,
Disgust,Tip Tip Barsa Paani ,old, Mohra,,
Disgust,Sarkai Lo Khatiya ,old, Raja Babu,,
Disgust,Sexy Sexy ,old, Khuddar,,
Disgust,Ishq Samundar ,old, Kaante,,
Disgust,Dhoom Machale ,old, Dhoom.,,
Excitement,Malang ,new, Malang,,
Excitement,Jai Jai Shivshankar ,new, War,,
Excitement,Ghoomar ,new, Padmaavat,,
Excitement,Aankh Marey ,new, Simmba,,
Excitement,Kar Gayi Chull ,new, Kapoor & Sons,,
Excitement,Nashe Si Chadh Gayi ,new, Befikre,,
Excitement,Ghungroo ,new, War,,
Excitement,Garmi ,new, Street Dancer 3D,,
Excitement,Malhari ,new, Bajirao Mastani,,
Excitement,London Thumakda ,new, Queen.,,
Excitement,Koi Mil Gaya ,old, Kuch Kuch Hota Hai,,
Excitement,Barso Re ,old, Guru,,
Excitement,Kajra Re ,old, Bunty Aur Babli,,
Excitement,Say Shava Shava ,old, Kabhi Khushi Kabhie Gham,,
Excitement,Dhoom Machale ,old, Dhoom,,
Excitement,Desi Girl ,old, Dostana,,
Excitement,Mauja Hi Mauja ,old, Jab We Met,,
Excitement,Dola Re Dola ,old, Devdas,,
Excitement,Ishq Wala Love ,old, Student of the Year,,
Excitement,Chammak Challo ,old, Ra.One.,,
Guilt,Bekhayali ,new, Kabir Singh,,
Guilt,Tum Hi Aana ,new, Marjaavaan,,
Guilt,Tera Ban Jaunga ,new, Kabir Singh,,
Guilt,Phir Bhi Tumko Chaahunga ,new, Half Girlfriend,,
Guilt,Agar Tum Saath Ho ,new, Tamasha,,
Guilt,Tujhe Bhula Diya ,new, Anjaana Anjaani,,
Guilt,Channa Mereya ,new, Ae Dil Hai Mushkil,,
Guilt,Kabira ,new, Yeh Jawaani Hai Deewani,,
Guilt,Hamari Adhuri Kahani ,new, Hamari Adhuri Kahani,,
Guilt,Main Rahoon Ya Na Rahoon ,new, Main Rahoon Ya Na Rahoon.,,
Guilt,Tadap Tadap Ke ,old, Hum Dil De Chuke Sanam,,
Guilt,Kal Ho Naa Ho ,old, Kal Ho Naa Ho,,
Guilt,Tere Naam ,old, Tere Naam,,
Guilt,Do Pal ,old, Veer-Zaara,,
Guilt,Tanhayee ,old, Dil Chahta Hai,,
Guilt,Jaane Kyun ,old, Dil Chahta Hai,,
Guilt,Tere Liye ,old, Veer-Zaara,,
Guilt,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Guilt,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Guilt,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai.,,
Hatred,Badla ,new, Badla,,
Hatred,Gali Gali ,new, KGF: Chapter 1,,
Hatred,Kar Har Maidaan Fateh ,new, Sanju,,
Hatred,Dangal ,new, Dangal,,
Hatred,Sultan ,new, Sultan,,
Hatred,Brothers Anthem ,new, Brothers,,
Hatred,Zinda ,new, Bhaag Milkha Bhaag,,
Hatred,Beedi ,new, Omkara,,
Hatred,Dhan Te Nan ,new, Kaminey,,
Hatred,Haider ,new, Haider.,,
Hatred,Khalnayak ,old, Khalnayak,,
Hatred,Darr ,old, Darr,,
Hatred,Baazigar ,old, Baazigar,,
Hatred,Damini ,old, Damini,,
Hatred,Ghayal ,old, Ghayal,,
Hatred,Ghatak ,old, Ghatak,,
Hatred,Border ,old, Border,,
Hatred,Sarfarosh ,old, Sarfarosh,,
Hatred,Shool ,old, Shool,,
Hatred,Gadar ,old, Gadar.,,
Horror,Kaun Hai Woh ,new, Baahubali: The Beginning,,
Horror,Gumnaam Hai Koi ,new, 1920 London,,
Horror,Aaja Re Moray Saiyaan ,new, Zindagi Na Milegi Dobara,,
Horror,Tum Se Hi ,new, Haunted 3D,,
Horror,Aye Khuda ,new, Murder 2,,
Horror,Labon Ko ,new, Bhool Bhulaiyaa,,
Horror,Tere Bina ,new, Raaz 3,,
Horror,O Jaana ,new, Raaz: The Mystery Continues,,
Horror,Kya Raaz Hai ,new, Raaz 3,,
Horror,Aankhon Hi Aankhon Mein ,new, Emi,,
Horror,Aayega Aanewala ,old, Mahal,,
Horror,O Mere Sona Re ,old, Teesri Manzil,,
Horror,Mere Naina Sawan Bhadon ,old, Mehbooba,,
Horror,Gumnaam Hai Koi ,old, Gumnaam,,
Horror,Naina Barse Rimjhim Rimjhim ,old, Woh Kaun Thi,,
Horror,Raat Akeli Hai ,old, Jewel Thief,,
Horror,Aao Twist Karein ,old, Bhoot Bungla,,
Horror,Aaja Tujhko Pukare Mera Pyaar ,old, Neel Kamal,,
Horror,Lag Jaa Gale ,old, Woh Kaun Thi,,
Horror,Yeh Raat Yeh Chandni Phir Kahan ,old, Jaal,,
Interest,Dil Chahta Hai ,new, Dil Chahta Hai,,
Interest,Pehli Nazar Mein ,new, Race,,
Interest,Tum Se Hi ,new, Jab We Met,,
Interest,Tum Mile ,new, Tum Mile,,
Interest,Ishq Wala Love ,new, Student of the Year,,
Interest,Tum Hi Ho ,new, Aashiqui 2,,
Interest,Tera Ban Jaunga ,new, Kabir Singh,,
Interest,Tum Hi Aana ,new, Marjaavaan,,
Interest,Tere Sang Yaara ,new, Rustom,,
Interest,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety.,,
Interest,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Interest,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Interest,Dil To Pagal Hai ,old, Dil To Pagal Hai,,
Interest,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai,,
Interest,Tere Bina ,old, Guru,,
Interest,Tumko Dekha To ,old, Saath Saath,,
Interest,Tere Bina Jiya Jaye Na ,old, Ghar,,
Interest,Dil Kya Kare ,old, Julie,,
Interest,Tum Itna Jo Muskura Rahe Ho ,old, Arth,,
Interest,Tum Se Milke ,old, Parinda.,,
Kindness,Tera Ban Jaunga ,new, Kabir Singh,,
Kindness,Tum Hi Aana ,new, Marjaavaan,,
Kindness,Tere Sang Yaara ,new, Rustom,,
