Date,Month,Weekday,Season,Holiday,Marketing_Spend,Revenue,Room_Revenue,Occupancy_Rate,ADR,RevPAR,Available_Rooms,Reserved_Rooms,Booking_Channel,Guest_Type,Market_Segment,Guest_Country,Complaints,Compliment,Bookings,No_Shows,Cancellations,Checkouts,New_Bookings,Checkins,Average_Review_Score,Revenue_Managed_Guests,RevPAR_Managed_Guests,Occupancy_Managed_Guests,RevPAR_All,Occupancy_All,Room_Revenue_All,Total_Revenue,Operating_Expenses,Fixed_Costs,Variable_Costs,Total_Costs,Profit
01/01/2024,1,1,Winter,1,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
02/01/2024,1,2,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
03/01/2024,1,3,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
04/01/2024,1,4,Winter,1,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
05/01/2024,1,5,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
06/01/2024,1,6,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
07/01/2024,1,7,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
08/01/2024,1,1,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
09/01/2024,1,2,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
10/01/2024,1,3,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
