City,Year,Household Internet Access (%),Fixed Broadband Subscriptions (%),Wireless Broadband Subscriptions (%),Wireless Broadband Coverage 3G (%),Wireless Broadband Coverage 4G (%),Smart Water Meters (%),Smart Electricity Meters (%),Dynamic Public Transport Information (%),Traffic Monitoring (%),Availability of WIFI in Public Areas (count),Water Supply ICT Monitoring (%),Drainage / Storm Water System ICT Monitoring (%),Electricity Supply ICT Monitoring (%),Demand Response Penetration (%),Intersection Control (%),Open data (%),e-Government (%),Public Sector e-procurement (%)
Mumbai,2019,79.45,48,50.35,91.57,59.19,33.3,43.4,10.04,15.3,137,31.31,20.72,33.88,10.05,15.48,4.85,19.07,24.2
Mumbai,2020,79.45,54.26,53.38,92.58,64.12,34.34,43.4,14.06,20.4,172,36.53,24.86,38.72,13.06,18.57,6.79,22.88,29.04
Mumbai,2021,80.43,54.26,60.42,93.6,69.06,34.34,43.4,18.08,25.49,167,41.74,29,43.56,16.08,21.67,8.73,26.7,33.88
Mumbai,2022,86.32,54.26,66.47,94.62,73.99,34.34,43.4,22.09,30.59,142,46.96,33.15,48.4,19.09,24.76,10.67,30.51,38.73
Mumbai,2023,86.32,54.26,66.47,95.64,78.92,35.38,43.4,26.11,35.69,143,52.18,37.29,53.24,22.11,27.86,12.61,34.32,43.57
Mumbai,2024,86.32,54.26,67.47,96.65,83.85,35.38,43.4,30.13,40.79,168,57.4,41.43,58.08,25.12,30.95,14.55,38.14,48.41
Delhi,2019,88.62,54.7,61.7,88.99,59.02,38.33,31.03,10.12,15.44,149,28.64,20.66,35.79,9.66,15.64,4.87,19.31,24
Delhi,2020,88.62,56.62,61.7,89.98,63.94,38.33,42.67,14.16,20.59,160,33.41,24.79,40.9,12.56,18.76,6.81,23.17,28.8
Delhi,2021,88.62,56.62,65.61,90.97,68.85,38.33,42.67,18.21,25.74,153,38.18,28.92,46.02,15.45,21.89,8.76,27.03,33.6
Delhi,2022,88.62,56.62,65.61,91.96,73.77,38.33,42.67,22.26,30.88,149,42.95,33.05,51.13,18.35,25.02,10.71,30.89,38.4
Delhi,2023,88.62,56.62,65.61,92.95,78.69,38.33,42.67,26.31,36.03,150,47.73,37.18,56.24,21.25,28.15,12.65,34.75,43.2
Delhi,2024,88.62,56.62,65.61,93.93,83.61,38.33,42.67,30.35,41.18,125,52.5,41.32,61.36,24.14,31.27,14.6,38.61,48
Bengaluru,2019,79.1,47.53,67.9,94.31,58.18,21.98,37.43,9.59,14.51,152,31.26,19.64,36.72,9.68,14.32,4.78,20.38,23.97
Bengaluru,2020,80.14,49.47,67.9,95.36,63.03,29.97,37.43,13.43,19.35,140,36.47,23.57,41.97,12.59,17.19,6.69,24.45,28.77
Bengaluru,2021,83.26,56.26,69.93,96.4,67.87,29.97,37.43,17.27,24.18,134,41.67,27.5,47.22,15.49,20.05,8.6,28.53,33.56
Bengaluru,2022,83.26,56.26,69.93,97.45,72.72,31.96,42.35,21.1,29.02,134,46.88,31.43,52.46,18.39,22.92,10.52,32.6,38.36
Bengaluru,2023,87.42,56.26,69.93,98.5,77.57,31.96,42.35,24.94,33.86,149,52.09,35.36,57.71,21.3,25.78,12.43,36.68,43.15
Bengaluru,2024,92.63,56.26,69.93,99.55,82.42,37.96,42.35,28.78,38.69,151,57.3,39.29,62.95,24.2,28.65,14.34,40.75,47.95
