Titile,Year,Total_episodes,Age,Rating,Vote_count,Category
1. Breaking Bad,2008ñ2013,62 eps,18,9.5,(2.2M),TV Series
2. Planet Earth II,2016,6 eps,PG,9.5,(159K),TV Mini Series
3. Planet Earth,2006,11 eps,PG,9.4,(221K),TV Mini Series
4. Band of Brothers,2001,10 eps,15,9.4,(533K),TV Mini Series
5. Chernobyl,2019,5 eps,15,9.3,(876K),TV Mini Series
6. The Wire,2002ñ2008,60 eps,18,9.3,(381K),TV Series
7. Avatar: The Last Airbender,2005ñ2008,62 eps,PG,9.3,(378K),TV Series
8. Blue Planet II,2017,7 eps,U,9.3,(47K),TV Mini Series
9. The Sopranos,1999ñ2007,86 eps,18,9.2,(478K),TV Series
10. Cosmos,2014,13 eps,PG,9.2,(130K),TV Mini Series
11. Cosmos,1980,13 eps,U,9.3,(45K),TV Mini Series
12. Our Planet,2019ñ2023,12 eps,U,9.3,(52K),TV Series
13. Game of Thrones,2011ñ2019,74 eps,18,9.2,(2.3M),TV Series
14. The World at War,1973ñ1974,26 eps,15,9.2,(30K),TV Series
15. Bluey,2018ñ,194 eps,U,9.4,(30K),TV Series
16. Fullmetal Alchemist: Brotherhood,2009ñ2010,68 eps,PG,9.1,(200K),TV Series
17. Rick and Morty,2013,74 eps,15,9.1,(608K),TV Series
18. Life,2009,11 eps,E,9.1,(43K),TV Mini Series
19. The Last Dance,2020,10 eps,15,9.1,(154K),TV Mini Series
20. The Twilight Zone,1959ñ1964,156 eps,12,9.1,(94K),TV Series
21. Sherlock,2010ñ2017,15 eps,15,9.1,(1M),TV Series
22. The Vietnam War,2017,10 eps,15,9.1,(28K),TV Mini Series
23. Attack on Titan,2013ñ2023,98 eps,15,9.1,(525K),TV Series
24. Batman: The Animated Series,1992ñ1995,85 eps,PG,9,(118K),TV Series
25. The Office,2005ñ2013,188 eps,PG,9,(721K),TV Series
26. The Blue Planet,2001,8 eps,E,9,(43K),TV Mini Series
27. Arcane,2021ñ2024,10 eps,15,9,(277K),TV Series
28. Better Call Saul,2015ñ2022,63 eps,PG,9,(657K),TV Series
29. Scam 1992: The Harshad Mehta Story,2020,10 eps,15,9.2,(158K),TV Mini Series
30. Clarkson's Farm,2021ñ,25 eps,15,9,(62K),TV Series
31. Human Planet,2011,8 eps,PG,9,(28K),TV Mini Series
32. Frozen Planet,2011ñ2012,10 eps,E,9,(33K),TV Mini Series
33. Firefly,2002ñ2003,14 eps,PG,8.9,(283K),TV Series
34. Hunter x Hunter,2011ñ2014,148 eps,PG,9,(138K),TV Series
35. Only Fools and Horses,1981ñ2003,64 eps,12,9,(57K),TV Series
36. The Civil War,1990,9 eps,TV-14,9,(19K),TV Mini Series
37. Death Note,2006ñ2007,37 eps,12,8.9,(383K),TV Series
38. Seinfeld,1989ñ1998,173 eps,PG,8.9,(354K),TV Series
39. The Beatles: Get Back,2021,3 eps,15,8.9,(29K),TV Mini Series
40. Dekalog,1989ñ1990,10 eps,15,8.9,(28K),TV Mini Series
41. Gravity Falls,2012ñ2016,41 eps,PG,8.9,(138K),TV Series
42. True Detective,2014ñ,31 eps,18,8.9,(662K),TV Series
43. Cowboy Bebop,1998ñ1999,26 eps,PG,8.9,(141K),TV Series
44. Sahsiyet,2018ñ,22 eps,TV-MA,9,(48K),TV Series
45. Fargo,2014ñ2024,51 eps,15,8.9,(425K),TV Series
46. Nathan for You,2013ñ2017,32 eps,Not Rated,8.9,(39K),TV Series
47. As If,2021ñ,55 eps,,9,(23K),TV Series
48. Taskmaster,2015ñ,171 eps,15,9,(20K),TV Series
