Movie name,Year of release,Watch  hour ,Rating,Ratedby,Film Industry,Genre,Director,Box office collection,User reviews,Awards,Description,Streaming platform
12th Fail,2023,2 hours 27 minutes,8.9,126K,Bollywood (Hindi),"Drama, Biography",Vidhu Vinod Chopra,"$138,288.00",945,23 wins & 32 nominations,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,SonyLIV
Gol Maal,1979,2 hours ,8.5,20K,Bollywood (Hindi),Comedy,Hrishikesh Mukherjee, NIL,48,3 wins & 1 nomination,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,"Amazon Prime Video, YouTube, Zee5"
Maharaja,2024,2 hours 30 minutes,8.6,37K,Kollywood (Tamil),"Crime, Drama",Nithilan Saminathan,"$975,543.00",370,2 nominations,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the e...  ",Netflix
Nayakan,1987,2 hours 25 minutes,8.7,25K,Kollywood (Tamil),"Crime, Drama",Mani Ratnam,"$120,481.93",237,7 wins & 1 nomination,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact ...  ","Amazon Prime Video, YouTube"
The World of Apu,1959,1 hour 45 minutes,8.4,17K,Bengali Cinema,Drama,Satyajit Ray,"$134,241.00",62,4 wins & 2 nominations total,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,"Amazon Prime Video, Hoichoi"
Anbe Sivam,2003,2 hours 40 minutes,8.6,26K,Kollywood (Tamil),"Drama, Comedy",Sundar C., NIL,115,2 wins & 3 nominations,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fat...  ",Disney+ Hotstar
Pariyerum Perumal,2018,2 hours 34 minutes,8.7,19K,Kollywood (Tamil),"Drama, Social",Mari Selvaraj, NIL,169,11 wins & 5 nominations,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",Amazon Prime Video
3 Idiots,2009,2 hours 50 minutes,8.4,441K,Bollywood (Hindi),"Comedy, Drama",Rajkumar Hirani,"$60,262,836.00",1000,64 wins & 30 nominations,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...  ","Netflix, Amazon Prime Video"
#Home,2021,2 hours 38 minutes,8.8,16K,Mollywood (Malayalam),"Drama, Family",Rojin Thomas, NIL,541,3 wins & 2 nominations,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",Amazon Prime Video
Black Friday,2004,2 hours 23 minutes,8.4,22K,Bollywood (Hindi),"Crime, Drama, Thriller",Anurag Kashyap,"$1,610,897.00",88,1 win & 7 nominations,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",YouTube
Manichithrathazhu,1993,2 hours 49 minutes,8.7,13K,Mollywood (Malayalam),"Horror, Thriller, Drama",Fazil,"$843,373.49",53,5 wins,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Disney+ Hotstar
Rocketry: The Nambi Effect,2022,2 hours 37 minutes,8.7,59K,Bollywood (Hindi),"Biography, Drama",Madhavan,"$398,615.00",1100,6 wins & 19 nominations,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",Amazon Prime Video
