Unnamed: 0, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,SimillarHTTP, Bwd Packets/s, Total Fwd Packets,Total Length of Fwd Packets, Flow Duration, Total Length of Bwd Packets, Total Backward Packets, Protocol, Inbound, Timestamp, Source Port, Min Packet Length, Fwd Packet Length Min,Flow ID, Packet Length Mean, Fwd Packet Length Max, Average Packet Size, ACK Flag Count, Avg Fwd Segment Size, Fwd Packet Length Mean,Flow Bytes/s, Max Packet Length, Protocol,Fwd Packets/s, Flow Packets/s,Total Length of Fwd Packets, Subflow Fwd Bytes, Destination Port, act_data_pkt_fwd, Label
73,0,0,6,1.5,1.0,3,1,0,240.22293,1,0,20814,62,5,6,0,2018-11-03 10:09:30.213651,57816,0,0,192.168.50.9-23.194.142.213-57816-443-6,8.857142,0,10.333333,0,0.0,0.0,2978.7644,31,6,48.044585999999995,288.26752,0,0,443,0,BENIGN
75,0,0,276,138.0,190.91884,273,3,0,87.89921,1,6,34130,18,3,6,0,2018-11-03 10:09:30.213678,44764,6,6,192.168.50.9-8.43.72.113-44764-443-6,6.0,6,7.5,0,6.0,6.0,703.1936599999999,6,6,29.299736,117.198944,6,6,443,0,BENIGN
161222,0,0,4,1.3333334,0.57735026,2,1,0,39215.687999999995,1,0,102,24,4,6,1,2018-11-03 10:09:30.234465,443,0,0,192.168.50.9-23.194.142.213-57816-443-6,4.0,0,4.8,0,0.0,0.0,235294.12,6,6,9803.921999999999,49019.61,0,0,57816,0,BENIGN
112233,0,0,3,3.0,0.0,3,3,0,31250.0,1,0,64,0,2,6,1,2018-11-03 10:09:30.238839,443,0,0,192.168.50.9-69.172.216.58-43898-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,15625.0,46875.0,0,0,43898,0,BENIGN
194026,0,0,2,2.0,0.0,2,2,0,21505.377,1,6,93,12,2,6,1,2018-11-03 10:09:30.247810,443,6,6,192.168.50.9-8.43.72.113-44764-443-6,6.0,6,8.0,0,6.0,6.0,193548.39,6,6,10752.688,32258.064,6,6,44764,0,BENIGN
17644,3,3,0,0.0,0.0,0,0,0,0.0,2,458,3,0,0,17,1,2018-11-03 10:09:30.539514,631,229,229,172.16.0.5-192.168.50.4-631-8822-17,229.0,229,343.5,0,229.0,229.0,152666670.0,229,17,666666.7,666666.7,458,458,8822,1,NetBIOS
63355,3,3,0,0.0,0.0,0,0,0,0.0,2,458,3,0,0,17,1,2018-11-03 10:09:30.544563,632,229,229,172.16.0.5-192.168.50.4-632-50070-17,229.0,229,343.5,0,229.0,229.0,152666670.0,229,17,666666.7,666666.7,458,458,50070,1,NetBIOS
183441,2,2,0,0.0,0.0,0,0,0,0.0,2,458,2,0,0,17,1,2018-11-03 10:09:30.550982,633,229,229,172.16.0.5-192.168.50.4-633-56211-17,229.0,229,343.5,0,229.0,229.0,229000000.0,229,17,1000000.0,1000000.0,458,458,56211,1,NetBIOS
39274,3,3,0,0.0,0.0,0,0,0,0.0,2,458,3,0,0,17,1,2018-11-03 10:09:30.604357,634,229,229,172.16.0.5-192.168.50.4-634-59340-17,229.0,229,343.5,0,229.0,229.0,152666670.0,229,17,666666.7,666666.7,458,458,59340,1,NetBIOS
28525,567110,2,0,0.0,0.0,0,0,0,0.0,4,916,567114,0,0,17,0,2018-11-03 10:09:31.238419,538,229,229,172.16.0.5-192.168.50.4-26331-538-17,229.0,229,286.25,0,229.0,229.0,1615.1956,229,17,7.0532556,7.0532556,916,916,26331,3,NetBIOS
173198,3,3,0,0.0,0.0,0,0,0,0.0,2,494,3,0,0,17,1,2018-11-03 10:09:31.269818,648,247,247,172.16.0.5-192.168.50.4-648-8410-17,247.0,247,370.5,0,247.0,247.0,164666670.0,247,17,666666.7,666666.7,494,494,8410,1,NetBIOS
174605,2,2,0,0.0,0.0,0,0,0,0.0,2,494,2,0,0,17,1,2018-11-03 10:09:31.282432,635,247,247,172.16.0.5-192.168.50.4-635-57159-17,247.0,247,370.5,0,247.0,247.0,247000000.0,247,17,1000000.0,1000000.0,494,494,57159,1,NetBIOS
77,0,0,0,0.0,0.0,0,0,0,0.0,2,31,0,0,0,6,0,2018-11-03 10:09:32.214179,55788,0,0,192.168.50.9-69.172.216.111-55788-443-6,20.666666,31,31.0,0,15.5,15.5,-1.0,31,6,0.0,-1.0,31,31,443,0,BENIGN
79,1,1,0,0.0,0.0,0,0,0,0.0,2,31,1,0,0,6,0,2018-11-03 10:09:32.214248,55786,0,0,192.168.50.9-69.172.216.111-55786-443-6,20.666666,31,31.0,0,15.5,15.5,31000000.0,31,6,2000000.0,2000000.0,31,31,443,0,BENIGN
81,1,1,0,0.0,0.0,0,0,0,0.0,2,31,1,0,0,6,0,2018-11-03 10:09:32.214251,60054,0,0,192.168.50.9-52.85.89.10-60054-443-6,20.666666,31,31.0,0,15.5,15.5,31000000.0,31,6,2000000.0,2000000.0,31,31,443,0,BENIGN
82,262,2,0,0.0,0.0,0,0,0,0.0,3,0,264,0,0,6,1,2018-11-03 10:09:32.239523,443,0,0,192.168.50.9-69.172.216.111-55788-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,11363.636999999999,11363.636999999999,0,0,55788,0,BENIGN
15871,0,0,2,2.0,0.0,2,2,0,76923.08,1,0,26,0,2,6,1,2018-11-03 10:09:32.239790,443,0,0,192.168.50.9-69.172.216.111-55788-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,38461.54,115384.62,0,0,55788,0,BENIGN
83,3,1,0,0.0,0.0,0,0,0,0.0,3,0,4,0,0,6,1,2018-11-03 10:09:32.240067,443,0,0,192.168.50.9-69.172.216.111-55786-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,750000.0,750000.0,0,0,55786,0,BENIGN
121286,0,0,0,0.0,0.0,0,0,0,2000000.0,1,0,1,0,2,6,1,2018-11-03 10:09:32.240072,443,0,0,192.168.50.9-69.172.216.111-55786-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,1000000.0,3000000.0,0,0,55786,0,BENIGN
84,2,2,0,0.0,0.0,0,0,0,0.0,2,0,2,0,0,6,1,2018-11-03 10:09:32.253349,443,0,0,192.168.50.9-52.85.89.10-60054-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,1000000.0,1000000.0,0,0,60054,0,BENIGN
108197,2,2,0,0.0,0.0,0,0,0,0.0,2,0,2,0,0,6,0,2018-11-03 10:09:32.253411,60054,0,0,192.168.50.9-52.85.89.10-60054-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,1000000.0,1000000.0,0,0,443,0,BENIGN
85,227,2,0,0.0,0.0,0,0,0,0.0,4,129,231,0,0,6,0,2018-11-03 10:09:32.910148,55291,6,6,172.217.12.202-192.168.50.6-443-55291-6,35.0,46,43.75,0,32.25,32.25,558441.56,46,6,17316.018,17316.018,129,129,443,3,BENIGN
86,1,1,0,0.0,0.0,0,0,0,0.0,2,37,1,0,0,6,0,2018-11-03 10:09:32.910380,55291,6,6,172.217.12.202-192.168.50.6-443-55291-6,22.666666,31,34.0,0,18.5,18.5,37000000.0,31,6,2000000.0,2000000.0,37,37,443,1,BENIGN
87,2,1,0,0.0,0.0,0,0,0,0.0,3,18,3,0,0,6,1,2018-11-03 10:09:32.951536,443,6,6,172.217.12.202-192.168.50.6-443-55291-6,6.0,6,8.0,0,6.0,6.0,6000000.0,6,6,1000000.0,1000000.0,18,18,55291,2,BENIGN
31461,0,0,3,3.0,0.0,3,3,0,10416.667,1,6,192,12,2,6,1,2018-11-03 10:09:32.951540,443,6,6,172.217.12.202-192.168.50.6-443-55291-6,6.0,6,8.0,0,6.0,6.0,93750.0,6,6,5208.3335,15625.0,6,6,55291,0,BENIGN
89,0,0,0,0.0,0.0,0,0,0,4926.1084,1,0,203,0,1,6,1,2018-11-03 10:09:34.705591,443,0,0,192.168.50.9-68.67.180.43-57062-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,4926.1084,9852.216999999999,0,0,57062,0,BENIGN
68232,0,0,3,3.0,0.0,3,3,0,94.23294,1,0,21224,0,2,6,0,2018-11-03 10:09:34.705796,57062,0,0,192.168.50.9-68.67.180.43-57062-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,47.11647,141.34941,0,0,443,0,BENIGN
178187,2,2,2,2.0,0.0,2,2,0,14388.489,2,12,139,12,2,6,1,2018-11-03 10:09:34.910302,46116,6,6,172.16.0.5-192.168.50.4-46116-8118-6,6.0,6,7.5,1,6.0,6.0,172661.88,6,6,14388.489,28776.979,12,12,8118,1,NetBIOS
91,0,0,195,97.5,136.4716,194,1,0,13636.363000000001,1,0,220,0,3,6,1,2018-11-03 10:09:35.201279,443,0,0,192.168.50.9-69.172.216.55-38536-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,4545.4546,18181.818,0,0,38536,0,BENIGN
127147,0,0,8815,2938.3333,5085.0127,8810,2,0,157.65411,1,0,25372,0,4,6,0,2018-11-03 10:09:35.201501,38536,0,0,192.168.50.9-69.172.216.55-38536-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,39.41353,197.06763,0,0,443,0,BENIGN
206874,3,3,0,0.0,0.0,0,0,0,0.0,2,458,3,0,0,17,1,2018-11-03 10:09:35.778358,636,229,229,172.16.0.5-192.168.50.4-636-42182-17,229.0,229,343.5,0,229.0,229.0,152666670.0,229,17,666666.7,666666.7,458,458,42182,1,NetBIOS
74505,3,3,0,0.0,0.0,0,0,0,0.0,2,458,3,0,0,17,0,2018-11-03 10:09:35.778488,636,229,229,172.16.0.5-192.168.50.4-42182-636-17,229.0,229,343.5,0,229.0,229.0,152666670.0,229,17,666666.7,666666.7,458,458,42182,1,NetBIOS
201226,3,3,0,0.0,0.0,0,0,0,0.0,2,566,3,0,0,17,1,2018-11-03 10:09:36.152743,648,283,283,172.16.0.5-192.168.50.4-648-14195-17,283.0,283,424.5,0,283.0,283.0,188666670.0,283,17,666666.7,666666.7,566,566,14195,1,NetBIOS
179328,3,3,0,0.0,0.0,0,0,0,0.0,2,566,3,0,0,17,0,2018-11-03 10:09:36.152949,648,283,283,172.16.0.5-192.168.50.4-14195-648-17,283.0,283,424.5,0,283.0,283.0,188666670.0,283,17,666666.7,666666.7,566,566,14195,1,NetBIOS
522,67501307,2,0,0.0,0.0,0,0,0,0.0,6,0,107499829,0,0,0,0,2018-11-03 10:09:39.902269,0,0,0,8.0.6.4-8.6.0.1-0-0-0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.055814043,0.055814043,0,0,0,0,BENIGN
93,0,0,99,49.5,65.76093,96,3,0,13636.363000000001,1,0,220,0,3,6,1,2018-11-03 10:09:40.243467,443,0,0,192.168.50.9-69.172.216.111-55778-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,4545.4546,18181.818,0,0,55778,0,BENIGN
206382,0,0,2,2.0,0.0,2,2,0,79.19537,1,0,25254,0,2,6,0,2018-11-03 10:09:40.243690,55778,0,0,192.168.50.9-69.172.216.111-55778-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,39.597687,118.79306000000001,0,0,443,0,BENIGN
95,0,0,26,13.0,14.142135999999999,23,3,0,24390.244,1,0,123,0,3,6,1,2018-11-03 10:09:40.246594,443,0,0,192.168.50.9-69.172.216.111-55780-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,8130.0815,32520.326,0,0,55780,0,BENIGN
