ID,Movie,Year,Genre,RunTime,Description,IMDB_Score
0,Eternals,-2021,"Action,Adventure,Drama",0,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",0
1,Loki,(2021– ),"Action,Adventure,Fantasy",0,A new Marvel chapter with Loki at its center.,0
2,The Falcon and the Winter Soldier,-2021,"Action,Adventure,Drama",50 min,"Following the events of 'Avengers: Endgame,' Sam Wilson/Falcon and Bucky Barnes/Winter Soldier team up in a global adventure that tests their abilities -- and their patience.",7.5
3,WandaVision,-2021,"Action,Comedy,Drama",350 min,"Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.",8.1
4,Spider-Man: No Way Home,-2021,"Action,Adventure,Sci-Fi",0,A continuation of Spider-Man: Far From Home.,0
5,Black Widow,-2021,"Action,Adventure,Sci-Fi",133 min,A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.,0
6,Avengers: Endgame,-2019,"Action,Adventure,Drama",181 min,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4
7,Guardians of the Galaxy,-2014,"Action,Adventure,Comedy",121 min,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8
8,Thor: Love and Thunder,-2022,"Action,Adventure,Fantasy",0,The sequel to Thor: Ragnarok and the fourth movie in the Thor saga.,0
9,Spider-Man: Far from Home,-2019,"Action,Adventure,Sci-Fi",129 min,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",7.5
10,Thor: Ragnarok,-2017,"Action,Adventure,Comedy",130 min,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9
11,Avengers: Infinity War,-2018,"Action,Adventure,Sci-Fi",149 min,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4
12,Black Panther,-2018,"Action,Adventure,Sci-Fi",134 min,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",7.3
13,Captain Marvel,-2019,"Action,Adventure,Sci-Fi",123 min,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,6.9
14,Shang-Chi and the Legend of the Ten Rings,-2021,"Action,Adventure,Fantasy",0,"The movie, based on Marvel Comics, will focus on Shang-Chi; 'The Master of Kung-Fu'.",0
15,Spider-Man: Homecoming,-2017,"Action,Adventure,Sci-Fi",133 min,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",7.4
16,Avengers: Age of Ultron,-2015,"Action,Adventure,Sci-Fi",141 min,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3
17,Captain America: The First Avenger,-2011,"Action,Adventure,Sci-Fi",124 min,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",6.9
18,Guardians of the Galaxy Vol. 2,-2017,"Action,Adventure,Comedy",136 min,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",7.6
19,Thor,-2011,"Action,Adventure,Fantasy",115 min,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",7
20,Iron Man,-2008,"Action,Adventure,Sci-Fi",126 min,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9
21,Captain America: Civil War,-2016,"Action,Adventure,Sci-Fi",147 min,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8
22,The Avengers,-2012,"Action,Adventure,Sci-Fi",143 min,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8
23,Doctor Strange in the Multiverse of Madness,-2022,"Action,Adventure,Fantasy",0,Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.,0
24,Brightburn,-2019,"Drama,Horror,Mystery",90 min,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",6.1
25,Doctor Strange,-2016,"Action,Adventure,Fantasy",115 min,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",7.5
26,Ant-Man,-2015,"Action,Adventure,Comedy",117 min,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",7.3
27,Captain America: The Winter Soldier,-2014,"Action,Adventure,Sci-Fi",136 min,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",7.7
28,Iron Man 3,-2013,"Action,Adventure,Sci-Fi",130 min,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.1
29,What If...?,(2021– ),"Animation,Action,Adventure",0,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.",0
30,Black Panther: Wakanda Forever,-2022,"Action,Adventure,Drama",0,A sequel that will continue to explore the incomparable world of Wakanda and all the rich and varied characters introduced in the 2018 film.,0
31,Thor: The Dark World,-2013,"Action,Adventure,Fantasy",112 min,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",6.9
32,Iron Man 2,-2010,"Action,Adventure,Sci-Fi",124 min,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7
33,Spider-Man 3,-2007,"Action,Adventure,Sci-Fi",139 min,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.2
34,Ant-Man and the Wasp,-2018,"Action,Adventure,Comedy",118 min,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",7
35,The Incredible Hulk,-2008,"Action,Adventure,Sci-Fi",112 min,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.7
36,Hawkeye,(2021– ),"Action,Adventure,Crime",60 min,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton.",0
37,Guardians of the Galaxy Vol. 3,-2023,"Action,Adventure,Comedy",0,Plot unknown. Third installment of the 'Guardians of the Galaxy' franchise.,0
38,The Marvels,-2022,"Action,Adventure,Fantasy",0,Sequel of the 2019 title 'Captain Marvel'.,0
39,Moon Knight,(2022– ),"Action,Adventure,Drama",0,"Marc Spector is a former CIA agent whose life is saved by the Moon God, Khonshu.",0
40,Long Shot,-2019,"Comedy,Romance",125 min,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",6.8
41,Ralph Breaks the Internet,-2018,"Animation,Adventure,Comedy",112 min,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",7
42,Fantastic 4: Rise of the Silver Surfer,-2007,"Action,Adventure,Fantasy",92 min,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,5.6
43,Ms. Marvel,(2021– ),"Action,Adventure,Comedy",0,New Jersey raised Kamala Khan learns she has polymorphous powers.,0
44,Fantastic Four,,"Action,Adventure,Comedy",0,One of Marvel's most iconic families makes it to the big screen: the Fantastic Four.,0
45,She-Hulk,(2022– ),"Action,Adventure,Comedy",0,Jennifer Walters acquires Hulk-like qualities.,0
46,Secret Invasion,,"Action,Adventure,Drama",0,Fury and Talos try to stop the Skrulls who have infiltrated the highest spheres of the Marvel Universe.,0
47,Deadpool 3,,"Action,Comedy,Sci-Fi",0,"The film is rumored to involve another popular group in the X-Men mythos, X-Force.",0
48,Blade,,"Action,Adventure,Fantasy",0,Plot is unknown at this time.,0
49,Guardians of the Galaxy: Inferno,(2017 Video),"Short,Comedy,Music",4 min,"A Guardians of the Galaxy video, the Guardians Inferno, featuring 80s pop star Zardu Hasselfrau.",8.1
50,Ironheart,,"Action,Adventure,Drama",0,The genius teenage-girl inventor Riri Williams creates the most advanced suit of armor since Iron Man.,0
51,Armor Wars,,"Action,Adventure,Drama",0,Find out in this series what would happen if Tony Stark's tech fell into the wrong hands.,0
52,Punisher: War Zone,-2008,"Action,Crime,Drama",103 min,"Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.",5.9
53,Ant-Man and the Wasp: Quantumania,-2023,"Action,Adventure,Comedy",0,The further adventures of Ant-Man and the Wasp.,0
54,I Am Groot,,"Action,Adventure,Comedy",0,A series of shorts featuring the seedling Groot along with several new and unusual characters.,0
55,Marvel Studios: Legends,(2021– ),"Action,Fantasy,Sci-Fi",7 min,This series showcases individual characters from the MCU viewers have come to know and love over the years and revisit some of their most iconic moments.,6.5
56,Mutant X,(2001–2004),"Action,Adventure,Drama",60 min,"A fugitive geneticist and four of his ""creations"" search for others of their kind while attempting to stay a step ahead of a morally ambiguous government agent.",5.9
57,Captain America 4,,"Action,Adventure,Sci-Fi",0,Plot kept under wraps. Fourth movie in the Captain America franchise.,0
58,Marvel Studios: Assembled,(2021– ),Documentary,58 min,"Assembled is a comprehensive documentary series that chronicles the creation of Marvel Studios' thrilling new shows and theatrical releases. Assembled is an immersive, and in-depth examination of the next phase of the MCU.",8
59,The Guardians of the Galaxy Holiday Special,(2022 TV Special),"Action,Adventure,Comedy",0,"Watch the Guardians Star-Lord, Gamora, Drax, Rocket, and Groot engage in some spirited shenanigans in an all-new original special created for Disney+.",0
60,X-Men,-2011,"Animation,Action,Sci-Fi",0,"X-Men, still grieving over the death of Phoenix (Jean Grey), are investigating a case of a missing mutant girl in Northern Japan. This leads them to a mysterious virus that turns mutants into monsters. U-Men and the Inner Circle want it.",6.9
61,Iron Man: Armored Adventures,(2008–2012),"Animation,Action,Adventure",22 min,A teenage Tony Stark battles evil with his revolutionary power armor technology.,6.5
62,Marvel One-Shot: Agent Carter,(2013 Video),"Short,Action,Adventure",15 min,"Frustrated at being marginalized at work, Peggy Carter goes on an unauthorized solo field mission.",7.6
63,Team Thor,(2016 Video),"Short,Comedy,Fantasy",4 min,"The story of what the hammer-wielding Nordic god Thor was up to while the rest of the Avengers were battling each other in ""Captain America: Civil War"". He moves into a flat with office worker Darryl Jacobson in Australia.",8.1
64,The Oscars,(2014 TV Special),"Comedy,Music",175 min,The Academy of Motion Picture Arts and Sciences celebrates the previous year's (2013) achievements in film.,7.8
65,Hulk Vs.,(2009 Video),"Animation,Action,Adventure",82 min,Two stories featuring Marvel's anti-hero The Incredible Hulk and his encounters with the X-Man Wolverine and the god known as Thor.,7
66,Wolverine,(2011– ),"Animation,Action,Sci-Fi",23 min,"Logan is asked by his old friend, a cop from Japan, to help him take down Shingen Yashida's crime syndicate and save Mariko, Logan's lost love, from forced marriage arranged by her father Shingen. Yukio, a female assassin, helps him.",6.4
67,The Oscars,(2020 TV Special),Music,170 min,The 92nd Academy Awards for film achievements in 2019 are presented by the Academy of Motion Picture Arts and Sciences.,6.6
68,Avengers: Damage Control,(2019 Video Game),Action,0,"Join Shuri on an adventure where you are the hero. Combining Wakandan and stark technology you will become a superhero yourself. Fight along Doctor Strange, Ant-Man, The Wasp and many more against an old foe from long ago..",6.6
69,The Sinister Six,,Sci-Fi,0,Plot unknown. Feature film based on the Marvel Comics series about a team of supervillians.,0
70,Ultimate Avengers: The Movie,(2006 Video),"Animation,Action,Adventure",72 min,"To confront an alien menace, General Fury assembles a team of superheroes lead by a recently resuscitated Captain America.",6.7
71,The Oscars,(2016 TV Special),"Comedy,Music",175 min,The 88th Academy Awards ceremony honors achievement in film in 2015.,6.4
72,The Oscars,(2015 TV Special),"Comedy,Music",223 min,The Academy of Motion Picture Arts and Sciences celebrates the year's achievements in film.,6.6
73,Iron Man,-2010,"Animation,Action,Sci-Fi",25 min,"When Tony Stark branches his company into Japan, he is opposed by the nefarious Zodiac organization. It's up to Stark's Iron Man to defeat the Zodiac, and defend Japan.",6.4
74,Marvel One-Shot: Item 47,(2012 Video),"Short,Action,Sci-Fi",12 min,SHIELD agent Sitwell is assigned to recover an abandoned Chitauri weapon being used by a young couple robbing a bank.,6.7
75,Marvel One-Shot: The Consultant,(2011 Video),"Short,Sci-Fi",4 min,"Agents Coulson and Sitwell plan to derail General Thaddeus ""Thunderbolt"" Ross from interfering with S.H.I.E.L.D. affairs with a very special person.",6.6
