Position,Country,Gold,Silver,Bronze,Total Medals
1,United States (USA),40,44,43,127
2,China (CHN),40,27,24,91
3,Japan (JPN),20,12,13,45
4,Australia (AUS),18,19,16,53
5,France (FRA),16,26,22,64
6,Netherlands (NED),15,7,12,34
7,United Kingdom (GBR),14,22,29,65
8,South Korea (KOR),13,9,10,32
9,Italy (ITA),12,13,15,40
10,Germany (GER),12,13,8,33
11,New Zealand (NZL),10,7,3,20
12,Canada (CAN),9,7,11,27
13,Uzbekistan (UZB),8,2,3,13
14,Hungary (HUN),6,7,6,19
15,Spain (ESP),5,4,9,18
16,Sweden (SWE),4,4,3,11
17,Kenya (KEN),4,2,5,11
18,Norway (NOR),4,1,3,8
19,Ireland (IRL),4,0,3,7
20,Brazil (BRA),3,7,10,20
21,Iran (IRI),3,6,3,12
22,Ukraine (UKR),3,5,4,12
23,Romania (ROU),3,4,2,9
24,Belgium (BEL),3,1,6,10
25,Bulgaria (BUL),3,1,3,7
26,Serbia (SRB),3,1,1,5
27,Czech Republic (CZE),3,0,2,5
28,Poland (POL),2,4,5,11
29,Georgia (GEO),2,3,1,6
30,Denmark (DEN),2,2,5,9
31,Azerbaijan (AZE),2,2,3,7
32,Croatia (CRO),2,2,3,7
33,Cuba (CUB),2,1,6,9
34,Bahrain (BRN),2,1,1,4
35,Slovenia (SLO),2,1,0,3
36,Chinese Taipei (TPE),2,0,5,7
37,Austria (AUT),2,0,3,5
38,Philippines (PHI),2,0,2,4
39,Hong Kong (HKG),2,0,2,4
40,Algeria (ALG),2,0,1,3
41,Indonesia (INA),2,0,1,3
42,Israel (ISR),1,5,1,7
43,Kazakhstan (KAZ),1,3,3,7
44,Jamaica (JAM),1,3,2,6
45,South Africa (RSA),1,3,2,6
46,Thailand (THA),1,3,2,6
47,Ethiopia (ETH),1,3,0,4
48,Switzerland (SUI),1,2,5,8
49,Ecuador (ECU),1,2,2,5
50,Portugal (POR),1,2,1,4
51,Greece (GRE),1,1,6,8
52,Argentina (ARG),1,1,1,3
53,Egypt (EGY),1,1,1,3
54,Tunisia (TUN),1,1,1,3
55,Botswana (BOT),1,1,0,2
56,Chile (CHI),1,1,0,2
57,Saint Lucia (LCA),1,1,0,2
58,Uganda (UGA),1,1,0,2
59,Dominican Republic (DOM),1,0,2,3
60,Guatemala (GUA),1,0,1,2
61,Morocco (MAR),1,0,1,2
62,Dominica (DMA),1,0,0,1
63,Pakistan (PAK),1,0,0,1
64,Turkey (TUR),0,3,5,8
65,Mexico (MEX),0,3,2,5
66,Armenia (ARM),0,3,1,4
67,Colombia (COL),0,3,1,4
68,North Korea (PRK),0,2,4,6
69,Kyrgyzstan (KGZ),0,2,4,6
70,Lithuania (LTU),0,2,2,4
71,India (IND),0,1,5,6
72,Moldova (MDA),0,1,3,4
73,Kosovo (KOS),0,1,1,2
74,Panama (PAN),0,1,1,2
75,Cyprus (CYP),0,1,0,1
76,Fiji (FIY),0,1,0,1
77,Mongolia (MGL),0,1,0,1
78,Tajikistan (TJK),0,0,3,3
79,Albania (ALB),0,0,2,2
80,Grenada (GRN),0,0,2,2
81,Malaysia (MAL),0,0,2,2
82,Puerto Rico (PUR),0,0,2,2
83,Refugee Olympic Team (EOR),0,0,1,1
84,Cape Verde (CPV),0,0,1,1
85,Qatar (QAT),0,0,1,1
86,Ivory Coast (CIV),0,0,1,1
87,Slovakia (SVK),0,0,1,1
88,Peru (PER),0,0,1,1
89,Singapore (SGP),0,0,1,1
90,Zambia (ZAM),0,0,1,1
