Region,Year,Gender,Nationality,Population estimates
Madinah,"2,014",Female,Saudi,"562,344"
Tabouk,"2,010",Female,Saudi,"239,792"
Hail,"2,013",Female,Saudi,"211,727"
Eastern Region,"2,016",Male,Saudi,"1,308,467"
Al-Baha,"2,018",Female,Non-Saudi,"16,951"
Northern Region,"2,016",Female,Non-Saudi,"21,111"
Al-Jouf,"2,013",Male,Saudi,"181,436"
Northern Region,"2,019",Female,Non-Saudi,"21,056"
Madinah,"2,013",Female,Saudi,"546,260"
Qaseem,"2,021",Male,Saudi,"451,061"
Najran,"2,012",Female,Saudi,"156,915"
Eastern Region,"2,012",Female,Non-Saudi,"347,508"
Qaseem,"2,017",Male,Non-Saudi,"377,965"
Madinah,"2,018",Male,Saudi,"613,235"
Madinah,"2,019",Male,Saudi,"628,057"
Al-Baha,"2,019",Male,Non-Saudi,"69,631"
Riyadh,"2,022",Female,Non-Saudi,"1,012,243"
Qaseem,"2,022",Male,Saudi,"461,032"
Al-Jouf,"2,011",Male,Saudi,"173,361"
Makkah,"2,022",Male,Saudi,"2,073,878"
Madinah,"2,019",Female,Saudi,"633,571"
Jazan,"2,016",Female,Non-Saudi,"108,131"
Riyadh,"2,022",Female,Saudi,"2,197,165"
Aseer,"2,011",Female,Non-Saudi,"86,040"
Makkah,"2,014",Female,Saudi,"1,703,946"
Qaseem,"2,019",Male,Saudi,"429,850"
Eastern Region,"2,022",Female,Non-Saudi,"410,580"
Al-Baha,"2,016",Female,Non-Saudi,"18,333"
Riyadh,"2,013",Female,Non-Saudi,"909,928"
Aseer,"2,021",Female,Non-Saudi,"92,727"
Northern Region,"2,014",Male,Non-Saudi,"68,037"
Tabouk,"2,011",Female,Saudi,"244,726"
Najran,"2,019",Female,Saudi,"185,115"
Tabouk,"2,021",Female,Saudi,"309,466"
Eastern Region,"2,019",Male,Non-Saudi,"1,609,979"
Eastern Region,"2,017",Female,Saudi,"1,284,399"
Tabouk,"2,022",Female,Non-Saudi,"42,458"
Riyadh,"2,016",Male,Saudi,"1,948,993"
Riyadh,"2,017",Male,Saudi,"1,988,653"
Qaseem,"2,018",Female,Saudi,"422,996"
Madinah,"2,017",Male,Non-Saudi,"646,360"
Riyadh,"2,021",Female,Saudi,"2,148,761"
Qaseem,"2,014",Female,Saudi,"384,306"
Tabouk,"2,022",Male,Saudi,"321,704"
Makkah,"2,014",Male,Saudi,"1,707,937"
Tabouk,"2,014",Female,Saudi,"263,944"
Riyadh,"2,011",Male,Non-Saudi,"2,348,331"
Al-Baha,"2,010",Female,Saudi,"94,797"
Al-Baha,"2,010",Male,Saudi,"92,422"
Najran,"2,016",Male,Non-Saudi,"156,000"
Qaseem,"2,011",Male,Saudi,"353,873"
Aseer,"2,019",Female,Saudi,"677,910"
Aseer,"2,017",Male,Saudi,"638,272"
Riyadh,"2,017",Female,Saudi,"1,951,078"
Tabouk,"2,012",Male,Saudi,"254,504"
Najran,"2,013",Male,Saudi,"161,411"
Tabouk,"2,016",Female,Non-Saudi,"42,964"
Al-Baha,"2,010",Female,Non-Saudi,"16,209"
Northern Region,"2,018",Male,Non-Saudi,"73,503"
Northern Region,"2,016",Male,Saudi,"120,146"
Jazan,"2,018",Male,Non-Saudi,"297,971"
Jazan,"2,020",Male,Saudi,"477,821"
Jazan,"2,019",Female,Non-Saudi,"97,252"
Makkah,"2,012",Female,Non-Saudi,"1,107,492"
Hail,"2,017",Male,Saudi,"236,237"
Makkah,"2,020",Male,Saudi,"1,981,969"
Eastern Region,"2,012",Male,Saudi,"1,171,807"
Makkah,"2,022",Female,Non-Saudi,"1,062,692"
Qaseem,"2,016",Female,Non-Saudi,"83,675"
Madinah,"2,013",Male,Non-Saudi,"558,493"
Riyadh,"2,013",Female,Saudi,"1,758,368"
Tabouk,"2,011",Female,Non-Saudi,"35,867"
Najran,"2,020",Female,Non-Saudi,"45,978"
Hail,"2,022",Female,Saudi,"262,778"
Aseer,"2,021",Male,Saudi,"701,135"
Al-Baha,"2,016",Male,Saudi,"106,956"
Najran,"2,019",Male,Saudi,"185,427"
Eastern Region,"2,020",Female,Saudi,"1,382,219"
Makkah,"2,022",Female,Saudi,"2,079,845"
Eastern Region,"2,017",Male,Saudi,"1,335,326"
Qaseem,"2,018",Male,Saudi,"419,545"
Makkah,"2,019",Female,Non-Saudi,"1,053,771"
Northern Region,"2,018",Female,Saudi,"123,943"
Riyadh,"2,021",Male,Non-Saudi,"2,855,565"
Al-Jouf,"2,016",Male,Saudi,"195,224"
