Rank,US City,US State,Population 2024,Population 2020,Annual Change,Density (/mile2),Area (mile2)
1,New York,New York,8097282,8740292,-0.0195,26950,300.46
2,Los Angeles,California,3795936,3895848,-0.0065,8068,470.52
3,Chicago,Illinois,2638159,2743329,-0.0099,11584,227.75
4,Houston,Texas,2319119,2299269,0.0021,3620,640.61
5,Phoenix,Arizona,1662607,1612459,0.0076,3208,518.33
6,Philadelphia,Pennsylvania,1533828,1600684,-0.0108,11416,134.36
7,San Antonio,Texas,1513974,1439257,0.0125,3034,498.92
8,San Diego,California,1388996,1386292,0.0005,4260,326.09
9,Dallas,Texas,1302753,1303212,-0.0001,3835,339.68
10,Jacksonville,Florida,997164,951880,0.0115,1334,747.26
11,Fort Worth,Texas,996756,923602,0.0187,2846,350.27
12,Austin,Texas,984567,965827,0.0048,3017,326.37
13,San Jose,California,956433,1009319,-0.0136,5375,177.94
14,Charlotte,North Carolina,923164,875752,0.013,2971,310.76
15,Columbus,Ohio,915427,906418,0.0025,4147,220.72
16,Indianapolis (balance),Indiana,876665,887177,-0.003,2428,361.02
17,San Francisco,California,788478,870518,-0.0254,16884,46.7
18,Seattle,Washington,759915,740565,0.0064,9047,84.0
19,Denver,Colorado,716234,717606,-0.0005,4679,153.07
20,Oklahoma City,Oklahoma,709330,683078,0.0093,1170,606.48
21,Nashville (balance),Tennessee,687150,689700,-0.0009,1445,475.57
22,Washington,District of Columbia,681683,670839,0.004,11152,61.13
23,El Paso,Texas,678859,679255,-0.0001,2623,258.79
24,Las Vegas,Nevada,665640,646794,0.0071,4692,141.86
25,Boston,Massachusetts,646622,675466,-0.011,13377,48.34
26,Detroit,Michigan,631524,638300,-0.0027,4552,138.74
27,Portland,Oregon,622882,653344,-0.0121,4666,133.49
28,Louisville/Jefferson County (balance),Kentucky,620004,631912,-0.0048,2357,263.06
29,Memphis,Tennessee,613110,635225,-0.0089,2070,296.2
30,Baltimore,Maryland,559266,583157,-0.0106,6909,80.95
31,Albuquerque,New Mexico,558736,564888,-0.0027,2984,187.27
32,Milwaukee,Wisconsin,556111,577207,-0.0094,5782,96.17
33,Tucson,Arizona,548772,542638,0.0028,2266,242.19
34,Fresno,California,546718,542710,0.0018,4720,115.82
35,Sacramento,California,526669,525528,0.0005,5339,98.65
36,Atlanta,Georgia,514465,499896,0.0071,3804,135.25
37,Mesa,Arizona,513567,505890,0.0038,3632,141.38
38,Kansas City,Missouri,511532,508220,0.0016,1626,314.68
39,Colorado Springs,Colorado,491441,480331,0.0057,2434,201.87
40,Raleigh,North Carolina,487942,465354,0.0117,3265,149.45
41,Omaha,Nebraska,480194,492758,-0.0065,3358,142.98
42,Miami,Florida,460289,442827,0.0096,12787,36.0
43,Virginia Beach,Virginia,451637,459684,-0.0044,1846,244.72
44,Long Beach,California,444095,465585,-0.012,8764,50.67
45,Oakland,California,435024,440943,-0.0034,7773,55.96
46,Minneapolis,Minnesota,423250,430710,-0.0044,7838,54.0
47,Bakersfield,California,416081,405280,0.0065,2769,150.27
48,Tulsa,Oklahoma,411308,413651,-0.0014,2080,197.76
49,Tampa,Florida,408510,387924,0.0128,3595,113.64
50,Arlington,Texas,399825,394248,0.0035,4172,95.84
51,Aurora,Colorado,397811,386773,0.007,2440,163.01
52,Wichita,Kansas,395484,398024,-0.0016,2427,162.94
53,Cleveland,Ohio,359606,371806,-0.0084,4626,77.73
54,New Orleans,Louisiana,357767,383241,-0.0175,2111,169.5
55,Henderson,Nevada,343382,319072,0.018,2849,120.52
56,Honolulu,Hawaii,339558,347181,-0.0065,5601,60.62
57,Anaheim,California,338463,346658,-0.006,6731,50.28
58,Orlando,Florida,325044,307834,0.0134,2922,111.24
59,Riverside,California,320121,315067,0.004,3945,81.15
60,Lexington,Kentucky,319329,322627,-0.0026,1125,283.86
61,Stockton,California,319065,320976,-0.0015,5057,63.09
62,Irvine,California,316691,308411,0.0066,4827,65.61
