sampleID,Acetic_acid,Propanoic_acid,Propanoic_acid._2.methyl.,Butanoic_acid,Butanoic_acid._3.methyl.,Butanoic_acid._2.methyl.,Pentanoic_acid,Pentanoic_acid._2.methyl.,Pentanoic_acid._3.methyl.,Pentanoic_acid._4.methyl.,Hexanoic_acid,Hexanoic_acid._2.methyl.,Heptanoic_acid
RB1.DC1.Ivc.37.4L,37.66159434,9.411428636,0.624088677,12.43917304,0.851821437,0.401878586,0,0,0,0,0,0.007681672,0
RB1.DC1.Ivc.38L,36.54362165,8.659041352,0.557820263,11.69713812,0.751044845,0.362064558,0,0,0,0,0,0.007681672,0
RB1.DC1.Ivc.41L,46.42998823,11.49410385,0.878145462,15.87599425,1.230503639,0.932703091,0,0,0,0,0,0.007681672,0
RB1.DC2.Ivc.37.4L,40.64480555,14.71487172,0.739808724,8.11806787,0.855893763,0.408351807,0,0,0,0,0,0.007681672,0
RB1.DC2.Ivc.38L,53.10719017,18.57595914,1.010024893,10.3769005,1.250880642,0.721941643,0,0,0,0,0,0.007681672,0
RB1.DC2.Ivc.41L,49.0469703,16.71039723,1.001821095,9.781429728,1.173382715,0.720010999,0,0,0,0,0,0.007681672,0
RB1.DC3.Ivc.37.4L,36.28034749,11.39282294,0.047909545,16.74343306,0.057047978,0,0,0,0,0,0,0.007681672,0
RB1.DC3.Ivc.38L,50.49978265,15.40854549,0.142632777,21.98812242,0.24153146,0.141153138,0,0,0,0,0,0.007681672,0
RB1.DC3.Ivc.41L,43.88390316,14.18234868,0.031893741,18.49434761,0.021114413,0.024135954,0,0,0,0,0,0.007681672,0
RB1.UC1.Ivc.37.1L,26.91355837,4.150075819,0,6.412034313,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.Ivc.37.2L,34.90473668,5.871025175,0,8.770265691,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.Ivc.37.3L,23.80399051,3.929655136,0,6.244594286,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.Ivc.37.4L,26.0322524,4.084566235,0,6.500282942,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.Ivc.38L,35.78216292,6.556168692,0,10.39694836,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.Ivc.41L,36.2827554,6.578212149,0,10.20134548,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.Ivc.37.1L,28.12151207,5.855085133,0,1.085344494,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.Ivc.37.2L,30.09267399,6.694030508,0,1.146613097,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.Ivc.37.3L,36.47246295,8.597614943,0,1.735404097,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.Ivc.37.4L,30.80303597,6.444159827,0,1.214940983,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.Ivc.38L,32.29565337,6.702945937,0,1.297556237,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.Ivc.41L,42.2127652,9.863205454,0,1.953158665,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.Ivc.37.1L,14.40958251,2.29600468,0,8.486731018,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.Ivc.37.2L,13.2257063,2.283728807,0,7.421125071,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.Ivc.37.3L,16.52474138,3.057562455,0,9.136367873,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.Ivc.37.4L,13.88163852,2.575707253,0,7.444437597,0,0,0,0,0,0,0,0.007681672,0
