STATE/UT,YEAR,No. Of Cases In Which Offenders Were Known To The Victims,No. Of Cases In Which Offenders Were Parents / Close Family Members,No. Of Cases In Which Offenders Were Relatives,No. Of Cases In Which Offenders Were Neighbours,No. Of Cases In Which Offenders Were Other Known Persons
Andhra Pradesh,2001,871,4,81,247,539
Andhra Pradesh,2002,999,5,94,302,598
Andhra Pradesh,2003,946,15,82,299,550
Andhra Pradesh,2004,924,5,69,313,537
Andhra Pradesh,2005,935,18,98,399,420
Andhra Pradesh,2006,1049,1,192,404,452
Andhra Pradesh,2007,1070,7,102,469,492
Andhra Pradesh,2008,1257,13,116,513,615
Andhra Pradesh,2009,1188,2,36,335,815
Andhra Pradesh,2010,1362,0,20,507,835
Andhra Pradesh,2011,1442,0,29,362,1051
Andhra Pradesh,2012,1341,0,9,521,811
Arunachal Pradesh,2001,33,0,1,1,31
Arunachal Pradesh,2002,38,0,0,4,34
Arunachal Pradesh,2003,31,0,1,9,21
Arunachal Pradesh,2004,42,0,3,7,32
Arunachal Pradesh,2005,35,0,0,0,35
Arunachal Pradesh,2006,37,0,0,6,31
Arunachal Pradesh,2007,48,0,0,9,39
Arunachal Pradesh,2008,42,0,0,2,40
Arunachal Pradesh,2009,59,0,1,6,52
Arunachal Pradesh,2010,47,0,0,2,45
Arunachal Pradesh,2011,42,0,0,5,37
Arunachal Pradesh,2012,46,0,1,2,43
Assam,2001,817,8,26,146,637
Assam,2002,970,10,25,286,649
Assam,2003,1095,19,75,458,543
Assam,2004,1171,15,65,510,581
Assam,2005,1182,7,40,444,691
Assam,2006,1214,12,108,555,539
Assam,2007,1404,1,112,336,955
Assam,2008,1438,7,34,204,1193
Assam,2009,1620,9,220,689,702
Assam,2010,1721,13,66,438,1204
Assam,2011,1700,0,72,418,1210
Assam,2012,1716,0,29,268,1419
Bihar,2001,888,8,2,382,496
Bihar,2002,1040,3,4,340,693
Bihar,2003,963,1,17,352,593
Bihar,2004,1383,6,5,678,694
Bihar,2005,1147,10,0,508,629
Bihar,2006,1232,7,0,634,591
Bihar,2007,1555,2,15,615,923
Bihar,2008,1302,3,14,593,692
Bihar,2009,929,1,0,519,409
Bihar,2010,795,2,0,479,314
Bihar,2011,934,2,18,408,506
Bihar,2012,908,5,40,479,384
Chhattisgarh,2001,959,6,13,217,723
Chhattisgarh,2002,992,63,123,283,523
Chhattisgarh,2003,898,39,47,151,661
Chhattisgarh,2004,969,78,66,232,593
Chhattisgarh,2005,981,110,137,254,480
Chhattisgarh,2006,995,97,108,342,448
Chhattisgarh,2007,982,63,82,370,467
Chhattisgarh,2008,971,31,72,333,535
Chhattisgarh,2009,976,24,127,323,502
Chhattisgarh,2010,1012,21,81,379,531
Chhattisgarh,2011,1053,39,135,392,487
