,Channel Name,User Name,Subscribers,Views,Videos,Channel Description
0,T-Series,@tseries,248M,232B,19430,"'""Music can change the world"". T-Series is India\'s largest Music Label & Movie Studio, believes in bringing world close t...'"
1,MrBeast,@mrbeast,181M,31B,747,"'SUBSCRIBE FOR A COOKIE!\nAccomplishments:\n- Raised $20,000,000 To Plant 20,000,000 Trees\n- Removed 30,000,000 pounds of t...'"
2,YouTube Movies,YouTube Movies,173M,0,0,"""YouTube's movies destination featuring the latest new releases, blockbusters and more."""
3,Cocomelon - Nursery Rhymes,@cocomelon,164M,168B,1001,"'At CoComelon, our primary goal has always been to engage families with entertaining and educational content that makes u...'"
4,SET India,@setindia,161M,151B,118126,'Sony Entertainment Television is one of the leading Hindi General Entertainment channels in India. Since its launch in O...'
5,Music,Music,119M,0,0,"'Visit the YouTube Music Channel to find today’s top talent, featured artists, and playlists. Subscribe to see the late...'"
6,✿ Kids Diana Show,@kidsdianashow,113M,95B,1119,"'Welcome to Diana and Roma world - where Diana, Roma, little Oliver and their parents play, learn, sing, explore and shar...'"
7,PewDiePie,@pewdiepie,111M,29B,4718,'I make videos.'
8,Like Nastya,@likenastyaofficial,107M,92B,822,"""Welcome to Nastya's universe - where Nastya and her parents play, learn, sing, explore and share their life experiences...."""
9,Vlad And Niki,@vladandniki,100M,78B,589,'“Vlad & Niki” is the global preschool phenomenon and highest rated kids channel on YouTube starring the imaginative ...'
10,Zee Music Company,@zeemusiccompany,99M,60B,8859,"""Zee Music Company is part of India's leading television media and entertainment companies. It is amongst the largest pro..."""
11,WWE,@wwe,97M,79B,71109,'WWE on YouTube is your number one spot to catch WWE original shows and exclusives!\n\nWatch videos from all of your favori...'
12,Gaming,@gaming,94M,0,0,"""YouTube's gaming channel, featuring news, reviews, playthroughs, and more.\nThis channel was generated automatically by Y..."""
13,BLACKPINK,@blackpink,91M,33B,564,"'BLACKPINK Official YouTube Channel\n블랙핑크 공식 유튜브 채널입니다.\n\nJISOO, JENNIE, ROSÉ, LISA\n지수, �...'"
14,Goldmines,@goldminestelefilms,89M,25B,6672,'Welcome to Goldmines Telefilms. One of the Finest Destination for Entertainment Content on Youtube. Now Watch Premiere o...'
15,Sony SAB,@sonysab,85M,103B,72717,"'Sony SAB brings you stories and characters, that inspire hope and happiness; to add a little bit of meaning to your life...'"
16,5-Minute Crafts,@5minutecraftsyoutube,80M,26B,6508,"'Fun diy-projects, crafts, experience the joy of doing it yourself!\nOFFICIAL CHANNEL.\n\n5-MINUTE CRAFTS SHOP: https://link...'"
17,BANGTANTV,@bts,76M,21B,2321,'This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.'
18,Sports,Sports,75M,0,0,
19,HYBE LABELS,@hybelabels,73M,30B,1413,"'Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Ente...'"
20,Zee TV,@zeetv,72M,76B,133541,"'Launched in 1992, ZEE TV is the pioneer of television entertainment industry in India. Official account of India’s pio...'"
21,Justin Bieber,@justinbieber,72M,31B,249,'Help change the world. JUSTICE the album out now https://JustinBieber.lnk.to/Justice'
22,Pinkfong Baby Shark - Kids' Songs & Stories,@pinkfong,69M,40B,2935,"""Welcome to Pinkfong's official YouTube channel. Meet Pinkfong’s fun, educational videos that captured the hearts of mi..."""
23,ChuChu TV Nursery Rhymes & Kids Songs,@chuchutv,67M,47B,665,"""ChuChu TV's Toddler Learning Videos are designed to engage kids with fun nursery rhymes and educational songs featuring ..."""
24,Canal KondZilla,@kondzilla,67M,37B,2627,'Somos o maior canal de FUNK do MUNDO! Com muita alegria trabalhamos para você encontrar aqui e curtir os maiores hits d...'
25,Shemaroo Filmi Gaane,@filmigaane,66M,29B,8615,"'Welcome to Shemaroo Filmi Gaane, a treat for every music lover and Bollywood connoisseur! Chart buster songs from super-...'"
