Unnamed: 0, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,SimillarHTTP, Bwd Packets/s, Total Fwd Packets,Total Length of Fwd Packets, Flow Duration, Total Length of Bwd Packets, Total Backward Packets, Protocol, Inbound, Timestamp, Source Port, Min Packet Length, Fwd Packet Length Min,Flow ID, Packet Length Mean, Fwd Packet Length Max, Average Packet Size, ACK Flag Count, Avg Fwd Segment Size, Fwd Packet Length Mean,Flow Bytes/s, Max Packet Length, Protocol,Fwd Packets/s, Flow Packets/s,Total Length of Fwd Packets, Subflow Fwd Bytes, Destination Port, act_data_pkt_fwd, Label
31324,0,0,1,1.0,0.0,1,1,0,500000.0,1,31,4,12,2,6,1,2018-11-03 11:07:18.627337,443,6,31,172.104.166.61-192.168.50.9-443-51516-6,18.5,31,24.666666,0,31.0,31.0,10750000.0,31,6,250000.0,750000.0,31,31,51516,0,BENIGN
32212,0,0,2,2.0,0.0,2,2,0,15503.876,1,31,129,12,2,6,1,2018-11-03 11:07:18.628682,443,6,31,172.104.166.61-192.168.50.9-443-51518-6,18.5,31,24.666666,0,31.0,31.0,333333.34,31,6,7751.938,23255.814,31,31,51518,0,BENIGN
98495,3,3,0,0.0,0.0,0,0,0,0.0,2,884,3,0,0,17,1,2018-11-03 11:07:21.089287,61850,442,442,172.16.0.5-192.168.50.4-61850-24251-17,442.0,442,663.0,0,442.0,442.0,294666660.0,442,17,666666.7,666666.7,884,884,24251,1,UDP
90772,3,3,0,0.0,0.0,0,0,0,0.0,2,884,3,0,0,17,0,2018-11-03 11:07:21.089411,61850,442,442,172.16.0.5-192.168.50.4-24251-61850-17,442.0,442,663.0,0,442.0,442.0,294666660.0,442,17,666666.7,666666.7,884,884,24251,1,UDP
67657,3,3,0,0.0,0.0,0,0,0,0.0,2,884,3,0,0,17,1,2018-11-03 11:07:22.315693,61850,442,442,172.16.0.5-192.168.50.4-61850-8610-17,442.0,442,663.0,0,442.0,442.0,294666660.0,442,17,666666.7,666666.7,884,884,8610,1,UDP
3398,3,3,0,0.0,0.0,0,0,0,0.0,2,884,3,0,0,17,0,2018-11-03 11:07:22.315932,61850,442,442,172.16.0.5-192.168.50.4-8610-61850-17,442.0,442,663.0,0,442.0,442.0,294666660.0,442,17,666666.7,666666.7,884,884,8610,1,UDP
426,5001182,1,537591,107518.2,147914.53,289008,2,0,1.0916395,12,1267,5496320,282,6,6,0,2018-11-03 11:07:22.863151,51520,0,0,172.104.166.61-192.168.50.9-443-51520-6,81.52631,567,86.05556,1,105.58333600000002,105.58333600000002,281.82492,567,6,2.183279,3.2749186000000003,1267,1267,443,5,BENIGN
111744,2,2,0,0.0,0.0,0,0,0,0.0,2,884,2,0,0,17,1,2018-11-03 11:07:24.804778,61850,442,442,172.16.0.5-192.168.50.4-61850-56167-17,442.0,442,663.0,0,442.0,442.0,442000000.0,442,17,1000000.0,1000000.0,884,884,56167,1,UDP
101969,3,3,0,0.0,0.0,0,0,0,0.0,2,884,3,0,0,17,0,2018-11-03 11:07:24.804966,61850,442,442,172.16.0.5-192.168.50.4-56167-61850-17,442.0,442,663.0,0,442.0,442.0,294666660.0,442,17,666666.7,666666.7,884,884,56167,1,UDP
59761,3,3,0,0.0,0.0,0,0,0,0.0,2,884,3,0,0,17,1,2018-11-03 11:07:28.250300,61850,442,442,172.16.0.5-192.168.50.4-61850-5926-17,442.0,442,663.0,0,442.0,442.0,294666660.0,442,17,666666.7,666666.7,884,884,5926,1,UDP
44154,2,2,0,0.0,0.0,0,0,0,0.0,2,884,2,0,0,17,0,2018-11-03 11:07:28.250444,61850,442,442,172.16.0.5-192.168.50.4-5926-61850-17,442.0,442,663.0,0,442.0,442.0,442000000.0,442,17,1000000.0,1000000.0,884,884,5926,1,UDP
427,1,1,0,0.0,0.0,0,0,0,0.0,2,31,1,0,0,6,0,2018-11-03 11:07:28.359472,51520,0,0,172.104.166.61-192.168.50.9-443-51520-6,20.666666,31,31.0,0,15.5,15.5,31000000.0,31,6,2000000.0,2000000.0,31,31,443,0,BENIGN
428,1318,1,2,2.0,0.0,2,2,0,1511.7158,5,463,1323,12,2,6,1,2018-11-03 11:07:28.605969,443,0,0,172.104.166.61-192.168.50.9-443-51520-6,59.375,216,67.85714,0,92.6,92.6,359032.5,216,6,3779.2896,5291.0054,463,463,51520,3,BENIGN
49310,0,0,1,1.0,0.0,1,1,0,1000000.0,1,31,2,12,2,6,1,2018-11-03 11:07:28.607295,443,6,31,172.104.166.61-192.168.50.9-443-51520-6,18.5,31,24.666666,0,31.0,31.0,21500000.0,31,6,500000.0,1500000.0,31,31,51520,0,BENIGN
18617,3,3,0,0.0,0.0,0,0,0,0.0,2,850,3,0,0,17,1,2018-11-03 11:07:29.266551,61850,425,425,172.16.0.5-192.168.50.4-61850-44432-17,425.0,425,637.5,0,425.0,425.0,283333340.0,425,17,666666.7,666666.7,850,850,44432,1,UDP
77907,3,3,0,0.0,0.0,0,0,0,0.0,2,850,3,0,0,17,0,2018-11-03 11:07:29.266674,61850,425,425,172.16.0.5-192.168.50.4-44432-61850-17,425.0,425,637.5,0,425.0,425.0,283333340.0,425,17,666666.7,666666.7,850,850,44432,1,UDP
86749,2,2,0,0.0,0.0,0,0,0,0.0,2,884,2,0,0,17,1,2018-11-03 11:07:30.114843,61850,442,442,172.16.0.5-192.168.50.4-61850-61084-17,442.0,442,663.0,0,442.0,442.0,442000000.0,442,17,1000000.0,1000000.0,884,884,61084,1,UDP
30260,2,2,0,0.0,0.0,0,0,0,0.0,2,884,2,0,0,17,0,2018-11-03 11:07:30.115012,61850,442,442,172.16.0.5-192.168.50.4-61084-61850-17,442.0,442,663.0,0,442.0,442.0,442000000.0,442,17,1000000.0,1000000.0,884,884,61084,1,UDP
105037,3,3,0,0.0,0.0,0,0,0,0.0,2,850,3,0,0,17,1,2018-11-03 11:07:31.165663,61850,425,425,172.16.0.5-192.168.50.4-61850-64166-17,425.0,425,637.5,0,425.0,425.0,283333340.0,425,17,666666.7,666666.7,850,850,64166,1,UDP
