id,viewCount,likeCount,favoriteCount,commentCount
c_VrTcIY8kA,233296,82028,0,13239
GHyHfi7fnGQ,81592,4432,0,535
SIN9YUhH6cU,31523,1436,0,209
tPRge7PMVeM,45149,997,0,127
UlrZOaT8ays,26186,2108,0,42
y6nr2sG5OZ0,1776544,74229,0,1433
mTFJD15hXWw,111169,4417,0,267
4pcM_HpbzMI,46642,1163,0,41
qsOInR6wpIA,95727,3554,0,200
3gcFHK4QeqY,29069,1228,0,20
0Tycs6nzd9k,140487,3330,0,209
pbyuP4nadWM,4543,108,0,22
CUFH39lnvV0,3874,117,0,20
__Yh0_T4UaM,5871,170,0,18
e1_NScEPKic,5832657,95242,0,11615
zwygjPKjIYI,21714,1057,0,19
ydy40asPC-Y,11249,443,0,13
hToxMLub0YU,48507,1578,0,213
J4iRh03kcwc,3682,92,0,23
W3TCMSkNslI,3732,96,0,19
fhkiCS3A0fU,3912,104,0,17
MwiX-jR6zlk,4856,99,0,11
eLZJCxadlAc,40639,861,0,183
-g-wa8jW6vI,140751,10919,0,64
jFoDXAAfJ6o,105487,4114,0,240
alQpO-Z4TR4,38810,3851,0,25
i76nTkgiK1M,140052,14308,0,2148
D6MOuX980gc,18068366,239229,0,8667
-kD3mlcuGFs,25922,870,0,90
C1W-BqUYVP4,10316,217,0,47
JPuyrmY4CJY,17543,629,0,33
_kZZERUTY3s,78470,3039,0,244
O1dQr59Haa0,18771,414,0,176
_CX8NDQbEbA,5548,108,0,18
xPDzRxVhbmc,3873,78,0,29
17IlZw1Df3M,3678,104,0,20
j3HsnbXqqpk,3799,78,0,25
G3hU02IENy4,191202,8142,0,332
DKb1k9tkzv0,117500,3828,0,54
G0E2BGOjpNg,13799,622,0,29
8f_3C0Zi1r0,337410,11400,0,383
a03TnDEQJTg,20783,357,0,95
kWwyn367-KM,371448,12197,0,360
y1fUR9WeKLo,1713508,89493,0,1786
L3W6VZZwJU0,80020,2851,0,176
G9JKO73eHl8,56788,1452,0,40
