Light Type,Model Lamp,Location,Site,Standardized Moon,Standardized Mean Temp,Standardized Mean Humidity,Standardized Max Wind,% Moon Visible,Start Tem,End Temp,Mean Temp,Humid Start,Humid End,Mean Humidity,Max Wind,Illumination,Diptera,Hymenoptera,Hemiptera,Psocoptera,Coleoptera,Collembola,Arachnid,Thysanura,Isoptera,Lepidoptera,Neuroptera,Larave,Orthoptera,Unident,Total,Other Orders
A,3500 Custom,BG,B3,0.9243604,0.448717949,0.628571429,0,93,18.3,15,16.65,61,65,63,0,1675,23,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1
B,2700 Custom,BG,B4,0.9243604,0.448717949,0.628571429,0,93,18.3,15,16.65,61,65,63,0,1145,21,2,0,0,0,0,0,0,0,0,0,0,0,0,23,2
C,2700 Custom,BG,B2,0.9243604,0.448717949,0.628571429,0,93,18.3,15,16.65,61,65,63,0,1830,8,0,0,0,0,2,0,0,0,0,0,0,0,1,11,3
LED,LED,BG,B5,0.9243604,0.448717949,0.628571429,0,93,18.3,15,16.65,61,65,63,0,275,4,0,1,2,0,2,0,0,0,0,0,0,0,0,9,5
CFL,CFL,BG,B1,0.9243604,0.448717949,0.628571429,0,93,18.3,15,16.65,61,65,63,0,253,2,0,0,0,0,3,1,0,0,0,0,0,0,0,6,4
No,No,BG,B6,0.9243604,0.448717949,0.628571429,0,93,18.3,15,16.65,61,65,63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2
A,3500 Custom,Stunt,S3,0.775305895,0.320512821,0.385714286,1,79.6,15.4,13.9,14.65,50,42,46,1.6,1675,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2
B,2700 Custom,Stunt,S2,0.775305895,0.320512821,0.385714286,1,79.6,15.4,13.9,14.65,50,42,46,1.6,1145,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2
C,2700 Custom,Stunt,S1,0.775305895,0.320512821,0.385714286,1,79.6,15.4,13.9,14.65,50,42,46,1.6,1830,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2
LED,LED,Stunt,S6,0.775305895,0.320512821,0.385714286,1,79.6,15.4,13.9,14.65,50,42,46,1.6,275,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CFL,CFL,Stunt,S4,0.775305895,0.320512821,0.385714286,1,79.6,15.4,13.9,14.65,50,42,46,1.6,253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
No,No,Stunt,S5,0.775305895,0.320512821,0.385714286,1,79.6,15.4,13.9,14.65,50,42,46,1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
A,3500 Custom,BG,B4,0.676307008,0.509615385,0.528571429,0,70.7,23.5,11.7,17.6,54,58,56,0,1675,212,1,0,0,0,1,4,2,0,0,0,0,0,1,221,9
B,2700 Custom,BG,B5,0.676307008,0.509615385,0.528571429,0,70.7,23.5,11.7,17.6,54,58,56,0,1145,51,0,1,0,0,0,0,4,0,0,0,0,0,0,56,5
C,2700 Custom,BG,B3,0.676307008,0.509615385,0.528571429,0,70.7,23.5,11.7,17.6,54,58,56,0,1830,73,4,2,0,1,2,1,5,0,2,0,0,0,1,91,16
LED,LED,BG,B6,0.676307008,0.509615385,0.528571429,0,70.7,23.5,11.7,17.6,54,58,56,0,275,30,3,0,0,0,0,0,0,0,0,0,0,0,0,33,3
CFL,CFL,BG,B2,0.676307008,0.509615385,0.528571429,0,70.7,23.5,11.7,17.6,54,58,56,0,253,11,0,0,0,0,1,0,4,0,4,0,0,0,0,20,5
No,No,BG,B1,0.676307008,0.509615385,0.528571429,0,70.7,23.5,11.7,17.6,54,58,56,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,7,2
A,3500 Custom,BG,B5,0.409343715,0.192307692,0.55,0,46.7,17.3,8,12.65,48,67,57.5,0,1675,12,2,0,0,0,6,0,1,0,2,0,0,0,0,23,9
B,2700 Custom,BG,B6,0.409343715,0.192307692,0.55,0,46.7,17.3,8,12.65,48,67,57.5,0,1145,13,0,0,0,1,3,1,1,0,0,0,0,0,0,19,6
C,2700 Custom,BG,B4,0.409343715,0.192307692,0.55,0,46.7,17.3,8,12.65,48,67,57.5,0,1830,38,0,0,0,0,3,0,0,0,2,0,0,0,1,44,4
LED,LED,BG,B1,0.409343715,0.192307692,0.55,0,46.7,17.3,8,12.65,48,67,57.5,0,275,6,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1
CFL,CFL,BG,B3,0.409343715,0.192307692,0.55,0,46.7,17.3,8,12.65,48,67,57.5,0,253,9,0,1,0,1,12,1,1,0,2,0,0,0,0,27,16
No,No,BG,B2,0.409343715,0.192307692,0.55,0,46.7,17.3,8,12.65,48,67,57.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
