Breed,Age (Years),Weight (kg),Color,Gender
Airedale Terrier,13,35,White,Male
Jack Russell Terrier,10,43,Tan,Female
Dogo Argentino,2,16,Spotted,Female
Labrador Retriever,9,57,Bicolor,Male
French Bulldog,12,39,Spotted,Male
French Bulldog,9,8,Black and Tan,Female
Bull Terrier,7,54,Red,Female
Boxer,1,47,Black,Female
Cocker Spaniel,13,5,Brindle,Male
Shetland Sheepdog,1,11,Cream,Female
Whippet,3,38,Black and Tan,Female
Weimaraner,4,34,Black and Tan,Male
Havanese,13,26,Tan,Female
Beagle,3,19,Black and Tan,Female
Maltese,2,57,Spotted,Male
Maltese,12,27,White,Female
Siberian Husky,10,32,Brindle,Male
German Shepherd,6,8,Gray,Female
Bloodhound,7,54,Brindle,Female
Bull Terrier,2,35,Blue,Male
Havanese,13,44,White,Male
Irish Setter,11,51,Bicolor,Female
Maltese,12,28,Black,Male
Doberman Pinscher,13,29,Black and Tan,Female
Vizsla,9,48,Red,Female
Bernese Mountain Dog,12,18,Gray,Male
Shih Tzu,13,37,Tan,Female
Yorkshire Terrier,8,37,Brown,Male
Boxer,12,55,Bicolor,Male
Boston Terrier,8,59,Black,Male
Chinese Shar-Pei,4,54,Tan,Female
Pug,5,30,Brown,Female
Chinese Shar-Pei,10,14,Tan,Female
Poodle,7,42,Black and White,Female
Australian Shepherd,10,49,Merle,Female
Jack Russell Terrier,7,22,Tricolor,Female
Labrador Retriever,5,28,White,Female
Miniature Schnauzer,12,40,Brown,Female
Saint Bernard,2,40,Cream,Female
Maltese,3,39,Merle,Male
Rottweiler,1,25,Spotted,Male
Chinese Shar-Pei,1,10,Cream,Female
Pekingese,11,25,Brindle,Female
Cocker Spaniel,8,11,White,Female
Cocker Spaniel,7,13,Tricolor,Male
Chihuahua,3,5,Red,Female
Bull Terrier,11,49,Brindle,Male
Shiba Inu,12,30,Merle,Female
German Shepherd,10,43,Black and White,Male
Boxer,11,12,Merle,Male
Shiba Inu,13,14,Brown,Female
Schnauzer,14,11,Cream,Female
Dachshund,9,34,Bicolor,Female
Papillon,9,10,Red,Male
Havanese,3,41,Black and Tan,Male
Saint Bernard,2,34,Gray,Female
Pembroke Welsh Corgi,11,44,White,Male
Whippet,13,24,Bicolor,Male
Great Dane,3,52,Tan,Female
Akita,12,27,Merle,Female
Labrador Retriever,8,8,Sable,Female
Labrador Retriever,7,12,Gray,Female
Weimaraner,7,34,Brown,Male
Dogo Argentino,3,25,Tricolor,Male
Poodle,12,13,Tricolor,Female
Bloodhound,2,23,Cream,Male
Basenji,6,27,Black,Female
Papillon,7,27,Black and White,Female
Doberman Pinscher,10,26,Spotted,Female
Australian Shepherd,13,51,Brown,Male
Bulldog,10,44,Brindle,Male
Belgian Malinois,4,39,Brindle,Female
West Highland White Terrier,10,39,Bicolor,Male
Schnauzer,12,21,Spotted,Female
German Shepherd,5,18,Brindle,Male
German Shepherd,12,33,Brindle,Female
Bull Terrier,3,18,Gray,Female
Belgian Malinois,2,38,Black,Male
Saint Bernard,7,31,Bicolor,Female
Bloodhound,1,18,Sable,Male
Pembroke Welsh Corgi,3,15,Black and Tan,Male
Irish Setter,14,28,Red,Female
Miniature Schnauzer,7,26,Gray,Male
Bichon Frise,4,32,Tan,Male
Labrador Retriever,8,50,Brown,Female
Chihuahua,6,26,Spotted,Female
Saint Bernard,14,36,Red,Female
Dogo Argentino,14,43,Sable,Male
Siberian Husky,11,23,Brown,Female
West Highland White Terrier,11,32,White,Female
Boston Terrier,3,31,Black and White,Male
Pembroke Welsh Corgi,7,28,Black,Male
Bulldog,7,12,Black and Tan,Female
Beagle,11,18,Tricolor,Male
Bulldog,12,25,Cream,Female
