ID,Gender,Experience (Years),Position,Salary
1,F,4,DevOps Engineer,109976
2,M,6,DevOps Engineer,120088
3,M,17,Web Developer,181301
4,M,7,Systems Administrator,77530
5,F,13,Systems Administrator,152397
6,F,13,Web Developer,114998
7,F,11,Systems Administrator,82328
8,M,2,DevOps Engineer,111494
9,F,6,DevOps Engineer,105563
10,F,6,IT Manager,162706
11,F,19,Network Administrator,158856
12,M,2,DevOps Engineer,103940
13,F,16,Database Administrator (DBA),137662
14,M,9,DevOps Engineer,139069
15,F,7,IT Manager,150286
16,M,13,IT Security Analyst,115698
17,M,4,IT Security Analyst,111156
18,F,16,Database Administrator (DBA),188681
19,F,5,IT Security Analyst,129205
20,M,5,Software Engineer,84342
21,F,20,Network Administrator,139766
22,F,19,IT Security Analyst,232972
23,F,0,Software Engineer,71220
24,F,13,IT Manager,235235
25,F,3,Web Developer,71211
26,F,10,IT Manager,146668
27,F,5,IT Manager,158855
28,M,17,Database Administrator (DBA),158415
29,M,20,Network Administrator,116964
30,F,20,IT Security Analyst,168554
31,M,8,IT Security Analyst,146153
32,M,7,DevOps Engineer,135205
33,M,15,IT Support Specialist,120102
34,M,3,IT Security Analyst,97240
35,M,13,Network Administrator,101107
36,M,1,IT Manager,87871
37,M,14,Software Engineer,171297
38,F,7,Systems Analyst,137535
39,F,2,IT Support Specialist,87698
40,F,4,Database Administrator (DBA),138718
41,M,11,IT Security Analyst,149040
42,M,1,Database Administrator (DBA),122207
43,F,19,Network Administrator,149342
44,M,4,Systems Administrator,65646
45,F,1,IT Manager,112471
46,F,10,Network Administrator,136474
47,F,1,Software Engineer,114166
48,F,1,Software Engineer,86362
49,M,15,IT Support Specialist,130119
50,M,6,IT Manager,181711
51,F,13,Network Administrator,115201
52,F,12,Systems Administrator,150854
53,M,17,IT Manager,196175
54,M,14,Network Administrator,137302
55,F,12,IT Manager,143412
56,M,20,Systems Administrator,190672
57,F,10,IT Manager,180757
58,F,16,IT Security Analyst,152107
59,M,0,IT Manager,111250
60,M,2,Systems Analyst,75749
61,M,7,Database Administrator (DBA),105182
62,M,17,IT Manager,260594
63,F,9,Network Administrator,73364
64,F,6,Cloud Solutions Architect,156504
65,M,2,IT Support Specialist,48710
66,M,17,DevOps Engineer,173720
67,M,9,IT Manager,186239
68,M,3,Systems Analyst,126171
69,M,2,IT Security Analyst,79108
70,M,1,Network Administrator,86110
71,F,19,Cloud Solutions Architect,226461
72,F,5,Cloud Solutions Architect,110321
73,F,19,DevOps Engineer,172582
74,F,1,Software Engineer,66956
75,F,19,Database Administrator (DBA),142525
76,F,2,Cloud Solutions Architect,141623
77,M,15,Software Engineer,134111
78,M,2,DevOps Engineer,132249
79,M,12,Cloud Solutions Architect,176976
80,F,7,Web Developer,77058
81,F,12,Web Developer,117934
82,F,0,Software Engineer,109573
83,F,10,Cloud Solutions Architect,197617
84,F,20,Systems Administrator,132670
85,F,5,Web Developer,64220
86,M,3,Cloud Solutions Architect,110084
87,F,0,IT Support Specialist,54739
88,F,1,IT Security Analyst,70941
89,M,11,Database Administrator (DBA),156027
90,F,13,Database Administrator (DBA),146249
91,M,3,Web Developer,57567
92,M,15,Systems Administrator,140147
93,M,2,IT Security Analyst,97051
94,M,16,IT Security Analyst,128620
95,F,8,IT Security Analyst,150869
96,M,1,Systems Administrator,102783
97,F,12,IT Manager,207518
98,F,10,IT Support Specialist,101278
99,M,3,IT Manager,157705
100,M,4,Cloud Solutions Architect,131176
101,M,4,IT Support Specialist,62204
102,M,1,DevOps Engineer,123049
103,F,3,IT Support Specialist,90049
104,M,9,Cloud Solutions Architect,161408
105,F,16,Systems Analyst,153779
106,M,3,Database Administrator (DBA),86225
107,M,6,IT Security Analyst,135066
108,M,14,IT Manager,205579
109,M,2,Software Engineer,108575
110,M,14,Database Administrator (DBA),123370
111,M,9,Systems Analyst,147270
112,F,1,IT Support Specialist,43643
113,M,2,IT Manager,162398
114,F,18,Software Engineer,164112
115,F,4,Systems Analyst,116668
116,M,18,IT Manager,269950
117,M,16,DevOps Engineer,214282
118,F,2,Systems Administrator,55964
119,F,13,Database Administrator (DBA),184309
120,F,17,DevOps Engineer,230965
121,F,18,IT Manager,268774
122,M,13,Network Administrator,145856
123,F,12,Systems Analyst,100616
124,M,18,Software Engineer,215034
125,F,10,Software Engineer,99469
126,F,18,IT Support Specialist,114492
127,M,5,Systems Analyst,88697
128,M,10,IT Support Specialist,90393
129,F,11,Systems Analyst,120142
130,F,14,IT Support Specialist,95631
